id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	directionality	classification	CM|CM	CM|EN_H	CM|EP	CM|FB_H	CM|UN	EN_H|CM	EN_H|EN_H	EN_H|EP	EN_H|FB_H	EN_H|UN	EP|CM	EP|EN_H	EP|EP	EP|FB_H	EP|UN	FB_H|CM	FB_H|EN_H	FB_H|EP	FB_H|FB_H	FB_H|UN	UN|CM	UN|EN_H	UN|EP	UN|FB_H	UN|UN
CPI-CS09B8977D7	Dehydroepiandrosterone_bySTS_ESR1	complex:Dehydroepiandrosterone_bySTS	simple:P03372		ESR1	True	False	True	curated	False	Ligand-Receptor	Signaling by Dehydroepiandrosterone	0.001	0.005	0.0	0.0	0.005	0.011	0.015	0.0	0.0	0.015	0.007	0.011	0.0	0.0	0.011	0.007	0.011	0.0	0.0	0.011	0.002	0.006	0.0	0.0	0.006
CPI-SS0ECD9BB5E	CCL21_ACKR4	simple:O00585	simple:Q9NPB9	CCL21	ACKR4	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0.1	0.106	0.0	0.1	0.109	0.015	0.021	0.0	0.014	0.024	0.004	0.009	0.0	0.003	0.013	0.139	0.145	0.0	0.139	0.148	0.022	0.027	0.0	0.021	0.031
CPI-SS0CCD89E02	CCL25_ACKR4	simple:O15444	simple:Q9NPB9	CCL25	ACKR4	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.009	0.0	0.003	0.012
CPI-CS0917E42F5	DHEAsulfate_bySULT1E1_PPARG	complex:DHEAsulfate_bySULT1E1	simple:P37231		PPARG	True	False	True	curated	False	Ligand-Receptor	Signaling by Dehydroepiandrosterone	0.002	0.167	0.315	0.05	0.002	0.0	0.0	0.0	0.0	0.0	0.123	0.288	0.436	0.171	0.123	0.0	0.0	0.0	0.0	0.0	0.004	0.169	0.317	0.052	0.005
CPI-SS0E23CEB91	LGALS9_HAVCR2	simple:O00182	simple:Q8TDQ0	LGALS9	HAVCR2	True	False	True	curated	False	Ligand-Receptor	Signaling by Galectin	0.002	0.015	0.0	0.0	0.007	0.003	0.015	0.0	0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.007	0.02	0.0	0.0	0.013	0.007	0.019	0.0	0.0	0.012
CPI-SS0B9B3870A	VEGFA_FLT1	simple:P15692	simple:P17948	VEGFA	FLT1	True	False	True	curated	False	Ligand-Receptor	Signaling by Vascular endothelial growth factor	0.541	2.107	0.551	0.807	0.567	0.336	1.902	0.346	0.601	0.362	0.704	2.269	0.713	0.969	0.73	0.711	2.277	0.721	0.977	0.737	0.604	2.169	0.613	0.869	0.63
CPI-SC0AFC650CD	VEGFA_FLT1_complex	simple:P15692	complex:FLT1_complex	VEGFA		True	False	True	curated	False	Ligand-Receptor	Signaling by Vascular endothelial growth factor	0.541	1.334	0.551	0.606	0.567	0.336	1.129	0.346	0.401	0.362	0.704	1.496	0.713	0.769	0.73	0.711	1.504	0.721	0.776	0.737	0.604	1.396	0.613	0.669	0.63
CPI-SS046F8AD8B	VEGFA_NRP2	simple:P15692	simple:O60462	VEGFA	NRP2	True	False	True	curated	False	Ligand-Receptor	Signaling by Vascular endothelial growth factor	0.645	1.436	0.54	0.595	0.621	0.44	1.231	0.335	0.39	0.416	0.807	1.599	0.702	0.758	0.784	0.815	1.606	0.71	0.765	0.791	0.707	1.499	0.602	0.658	0.684
CPI-CS0FADCFDB9	PGD2_byPTGDS_PTGDR	complex:PGD2_byPTGDS	simple:Q13258		PTGDR	True	False	True	curated	False	Ligand-Receptor	Signaling by Prostaglandin	0.0	0.0	0.0	0.226	0.226	0.0	0.0	0.0	0.028	0.028	0.0	0.0	0.0	0.04	0.04	0.0	0.0	0.0	0.53	0.53	0.0	0.0	0.0	0.105	0.105
CPI-CS08EE9E5CE	atRetinoicAcid_byALDH1A1_RORB	complex:atRetinoicAcid_byALDH1A1	simple:Q92753		RORB	True	False	True	curated	False	Ligand-Receptor	Signaling by Retinoic Acid	0.002	0.0	0.0	0.056	0.012	0.0	0.0	0.0	0.0	0.0	0.642	0.0	0.0	0.696	0.651	0.004	0.0	0.0	0.058	0.014	0.005	0.0	0.0	0.059	0.015
CPI-SS0FE594C97	SST_SSTR2	simple:P61278	simple:P30874	SST	SSTR2	True	False	True	curated	False	Ligand-Receptor	Signaling by Somatostatin	0.002	0.0	0.039	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.0	0.044	0.0	0.013	0.004	0.0	0.041	0.0	0.011
CPI-SS0C03F7CDC	VEGFA_KDR	simple:P15692	simple:P35968	VEGFA	KDR	True	False	True	curated	False	Ligand-Receptor	Signaling by Vascular endothelial growth factor	0.682	1.334	0.554	0.606	0.598	0.477	1.129	0.349	0.401	0.393	0.845	1.496	0.717	0.769	0.761	0.852	1.504	0.724	0.776	0.769	0.745	1.396	0.617	0.669	0.661
CPI-SS04C672963	ESAM_ESAM	simple:Q96AP7	simple:Q96AP7	ESAM	ESAM	False	False	False	curated	False	Adhesion-Adhesion		0.002	0.775	0.0	0.037	0.009	0.775	1.548	0.0	0.81	0.782	0.0	0.0	0.0	0.0	0.0	0.037	0.81	0.0	0.073	0.044	0.009	0.782	0.0	0.044	0.016
