id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	directionality	classification	CM|CM	CM|EN_H	CM|EP	CM|FB_H	CM|UN	EN_H|CM	EN_H|EN_H	EN_H|EP	EN_H|FB_H	EN_H|UN	EP|CM	EP|EN_H	EP|EP	EP|FB_H	EP|UN	FB_H|CM	FB_H|EN_H	FB_H|EP	FB_H|FB_H	FB_H|UN	UN|CM	UN|EN_H	UN|EP	UN|FB_H	UN|UN
CPI-SS00C24ED50	CDH5_CDH5	simple:P33151	simple:P33151	CDH5	CDH5	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by Cadherin	0.001	0.396	0.0	0.004	0.002	0.396	0.791	0.0	0.398	0.396	0.0	0.0	0.0	0.0	0.0	0.004	0.398	0.0	0.006	0.004	0.002	0.396	0.0	0.004	0.002
CPI-SS0C53F7672	CDH6_CDH6	simple:P55285	simple:P55285	CDH6	CDH6	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by Cadherin	0.002	0.0	0.023	0.013	0.002	0.0	0.0	0.0	0.0	0.0	0.023	0.0	0.044	0.034	0.023	0.013	0.0	0.034	0.024	0.013	0.002	0.0	0.023	0.013	0.001
CPI-SS0BE3D537D	CDH7_CDH7	simple:Q9ULB5	simple:Q9ULB5	CDH7	CDH7	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by Cadherin	0.009	0.018	0.007	0.037	0.008	0.018	0.028	0.017	0.047	0.018	0.007	0.017	0.005	0.036	0.006	0.037	0.047	0.036	0.066	0.037	0.008	0.018	0.006	0.037	0.007
CPI-SS001BF66E8	CEACAM6_CEACAM6	simple:P40199	simple:P40199	CEACAM6	CEACAM6	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by CEAM	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS01A7DC3C1	CLSTN2_NRXN3	simple:Q9H4D0	simple:Q9HDB5	CLSTN2	NRXN3	False	False	False	curated	False	Ligand-Receptor	Signaling by Calsyntenin	0.007	0.0	0.0	0.01	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.0	0.0	0.009	0.004	0.005	0.0	0.0	0.009	0.004
CPI-SS026EC3854	LRRTM3_NRXN3	simple:Q86VH5	simple:Q9HDB5	LRRTM3	NRXN3	False	False	False	curated	False	Ligand-Receptor	Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein	0.008	0.0	0.0	0.012	0.007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.008	0.003	0.033	0.0	0.0	0.036	0.031
CPI-SS0F97A06CD	LRRTM4_NRXN3	simple:Q86VH4	simple:Q9HDB5	LRRTM4	NRXN3	False	False	False	curated	False	Ligand-Receptor	Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein	0.006	0.0	0.0	0.01	0.005	0.007	0.0	0.0	0.011	0.006	0.0	0.0	0.0	0.0	0.0	0.012	0.0	0.0	0.016	0.011	0.006	0.0	0.0	0.009	0.004
CPI-SS0837C7966	NLGN4Y_NRXN3	simple:Q8NFZ3	simple:Q9HDB5	NLGN4Y	NRXN3	False	False	False	curated	False	Ligand-Receptor		0.016	0.0	0.0	0.02	0.015	0.039	0.0	0.0	0.042	0.037	0.02	0.0	0.0	0.023	0.018	0.03	0.0	0.0	0.034	0.029	0.016	0.0	0.0	0.019	0.014
CPI-SS04829AC68	GJA1_GJA1	simple:P17302	simple:P17302	GJA1	GJA1	False	False	False	curated	False	Gap-Gap	Adhesion by GAP junction	0.198	0.553	0.108	0.366	0.126	0.553	0.909	0.464	0.722	0.482	0.108	0.464	0.018	0.277	0.037	0.366	0.722	0.277	0.535	0.295	0.126	0.482	0.037	0.295	0.055
CPI-SS058209EC7	F2_F2R	simple:P00734	simple:P25116	F2	F2R	True	False	True	curated	False	Ligand-Receptor	Adhesion by Prothrombin	0.021	0.281	0.029	0.328	0.02	0.0	0.0	0.0	0.0	0.0	0.468	0.728	0.476	0.775	0.467	0.0	0.0	0.0	0.0	0.0	0.022	0.282	0.03	0.33	0.021
