0	HOWT_1	HOWT_2	HOWT_3	HOET_1	HOET_2	HOET_3
CREBRF	327	305	352	693	404	452
CREBZF	1141	1333	1357	1035	1040	1037
CREG1	1456	1709	1915	652	864	832
CREG2	26	27	30	30	36	24
CRELD1	1027	1497	1543	1444	1618	1624
CRELD2	300	417	405	153	217	198
CREM	1359	1733	1821	890	1149	1012
CRH	40	56	53	9	22	17
CRHBP	237	315	373	358	422	369
CRHR1	0	0	0	1	0	0
CRHR1-IT1	186	191	259	102	121	125
CRHR2	6	0	1	0	2	3
CRIM1	236	264	326	560	580	632
CRIP1	667	899	1038	449	600	508
CRIP2	5106	7247	7962	5466	7275	6734
CRIP3	17	31	33	14	10	9
CRIPAK	192	281	262	198	230	257
CRIPT	279	272	288	158	235	180
CRISP1	0	0	0	0	0	0
CRISP2	0	0	0	0	0	0
CRISP3	0	0	0	0	0	0
CRISPLD1	465	573	585	310	392	359
CRISPLD2	38	43	48	8	17	17
CRK	605	672	867	624	720	774
CRKL	1542	1993	2475	3389	3780	3790
CRLF1	6	10	9	4	17	11
CRLF2	0	0	0	0	0	0
CRLF3	129	177	219	450	560	583
CRLS1	489	599	683	620	789	760
CRMP1	820	1190	1181	460	601	580
CRNDE	290	255	308	106	101	102
CRNKL1	451	594	614	394	456	394
CRNN	0	0	0	0	0	0
CROCC	299	382	503	185	269	301
CROCCP2	187	308	322	256	319	356
CROCCP3	382	435	575	154	143	134
CROT	145	185	195	80	84	73
CRP	0	0	0	0	0	0
CRSP8P	9	1	3	4	12	10
CRTAC1	16	15	15	9	10	17
CRTAM	0	0	0	0	0	0
CRTAP	1992	2546	2954	1533	1589	1667
CRTC1	656	893	912	389	531	575
CRTC2	449	618	604	694	874	903
CRTC3	569	674	881	400	582	528
CRTC3-AS1	0	3	1	0	0	0
CRX	0	5	6	0	1	2
CRY1	599	782	776	2086	2271	2452
CRY2	1023	1432	1462	4664	5847	5825
CRYAA	0	0	0	1	3	0
CRYAB	536	742	770	29085	38274	36179
CRYBA1	0	0	0	0	0	0
CRYBA2	0	0	0	0	0	0
CRYBA4	1	0	0	0	0	0
CRYBB1	1	0	1	0	0	0
CRYBB2	2	2	2	0	1	0
CRYBB2P1	153	139	200	316	377	334
CRYBB3	0	2	0	1	8	9
CRYBG3	904	807	1196	1150	871	838
CRYGA	0	0	0	0	0	0
CRYGB	0	0	0	0	0	0
CRYGC	0	0	0	0	0	0
CRYGD	0	0	0	0	0	0
CRYGN	1	1	3	2	1	0
CRYGS	16	19	19	17	15	14
CRYL1	254	296	401	138	171	182
CRYM	11	13	11	7	10	11
CRYM-AS1	3	1	0	0	1	0
CRYZ	576	668	694	1493	1665	1788
CRYZL1	229	274	331	327	245	228
CS	3543	4950	5339	7911	10338	9690
CSAD	307	391	431	337	542	408
CSAG1	0	0	0	0	0	0
CSAG3	0	0	0	0	0	0
CSAG4	0	0	0	0	0	0
CSDC2	59	132	144	1058	1453	1430
CSDE1	7611	9568	10770	9461	10668	10968
CSE1L	1846	2444	2697	1183	1316	1180
CSE1L-AS1	0	1	1	0	0	0
CSF1	128	160	205	101	165	144
CSF1R	0	2	6	7	4	13
CSF2	0	0	0	0	1	0
CSF2RA	36	60	66	43	68	67
CSF2RB	0	0	3	0	0	0
CSF3	0	0	0	0	0	0
CSF3R	46	80	75	28	44	38
CSGALNACT1	5	2	10	2	4	3
CSGALNACT2	241	298	309	282	311	373
CSH1	0	0	0	0	0	0
CSH2	0	0	0	0	0	0
CSHL1	0	0	0	0	0	0
CSK	1068	1532	1639	526	709	662
CSMD1	0	1	0	0	0	0
CSMD2	1	0	0	9	3	3
CSMD2-AS1	0	0	0	0	0	0
CSMD3	4	4	4	8	1	1
CSN1S1	0	0	0	0	0	0
CSN1S2AP	0	0	0	0	0	0
CSN1S2BP	0	0	0	0	0	0
CSN2	0	0	0	0	0	2
CSN3	0	0	0	0	0	0
CSNK1A1	2473	3204	3564	3565	3905	3724
CSNK1A1L	0	0	0	0	0	0
CSNK1A1P1	2	3	4	1	0	7
CSNK1D	1460	1996	2237	1766	2475	2367
CSNK1E	27	18	41	25	64	67
CSNK1G1	584	683	868	824	703	773
CSNK1G2	643	940	1003	1015	1233	1363
CSNK1G2-AS1	0	0	0	0	0	0
CSNK1G3	441	437	553	573	526	494
CSNK2A1	1435	1804	1982	2132	2567	2548
CSNK2A2	348	427	527	483	574	628
CSNK2A3	10	6	9	6	5	6
CSNK2B	1263	1598	1864	1935	2633	2488
CSPG4	427	565	687	1040	1459	1412
CSPG4P1Y	0	0	0	0	0	0
CSPG5	43	105	111	76	129	67
CSPP1	352	448	476	278	254	276
CSRNP1	119	177	207	1741	2034	2050
CSRNP2	638	873	888	679	895	875
CSRNP3	517	412	541	161	82	119
CSRP1	547	795	805	1016	1240	1317
CSRP2	1327	1814	2070	2609	3292	3068
CSRP2BP	312	411	417	142	181	203
CSRP3	824	1200	1423	6734	9031	8358
CST1	1	3	2	1	0	1
CST11	0	0	0	0	0	0
CST13P	0	0	0	0	0	0
CST2	0	0	0	0	0	0
CST3	765	1187	1232	1047	1424	1319
CST4	0	0	1	0	0	0
CST5	0	0	0	0	0	1
CST6	1	0	3	0	1	0
CST7	0	0	0	0	0	0
CST8	0	0	0	0	0	0
CST9	0	0	0	0	0	0
CST9L	0	0	0	0	0	0
CSTA	0	0	0	0	0	0
CSTB	385	591	742	464	727	613
CSTF1	527	675	767	657	733	681
CSTF2	390	497	499	332	361	305
CSTF2T	683	874	931	450	609	545
CSTF3	672	837	895	541	746	646
CSTF3-AS1	2	3	3	2	5	0
CSTL1	0	0	0	0	0	0
CT45A1	0	0	0	0	0	0
CT45A10	0	0	0	0	0	0
CT45A2	0	0	0	0	0	0
CT45A3	0	0	0	0	0	0
CT45A4	0	0	0	0	0	0
CT45A5	0	0	0	0	0	0
CT45A6	0	0	0	0	0	0
CT45A7	0	0	0	0	0	0
CT45A8	0	0	0	0	0	0
CT45A9	0	0	0	0	0	0
CT47A1	0	0	0	0	0	0
CT47A10	0	0	0	0	0	0
CT47A11	0	0	0	0	0	0
CT47A12	0	0	0	0	0	0
CT47A2	0	0	0	0	0	0
CT47A3	0	0	0	0	0	0
CT47A4	0	0	0	0	0	0
CT47A5	0	0	0	0	0	0
CT47A6	0	0	0	0	0	0
CT47A7	0	0	0	0	0	0
CT47A8	0	0	0	0	0	0
CT47A9	0	0	0	0	0	0
CT47B1	0	0	0	0	0	0
CT55	0	3	7	0	2	0
CT62	0	0	0	0	0	1
CT83	0	0	0	0	0	0
CTAG1A	0	0	0	0	0	0
CTAG1B	0	0	0	0	0	0
CTAG2	0	0	0	0	0	0
CTAGE1	0	0	0	0	0	0
CTAGE10P	0	0	0	0	0	1
CTAGE11P	0	0	0	0	0	1
CTAGE15	0	0	2	0	0	1
CTAGE4	3	4	3	0	0	0
CTAGE5	410	535	523	496	550	571
CTAGE6	0	0	0	0	0	0
CTAGE7P	0	0	0	0	0	0
CTAGE8	0	3	3	0	2	0
CTAGE9	0	0	0	0	0	0
CTB-113P19.1	0	0	0	0	0	0
CTB-12O2.1	1	1	2	0	0	0
CTB-178M22.2	3	13	11	9	12	9
CTB-7E3.1	0	0	0	0	0	0
CTBP1	1548	2312	2263	1435	1978	1872
CTBP1-AS	1	0	0	0	2	1
CTBP1-AS2	233	359	356	106	168	151
CTBP2	761	933	982	535	689	654
CTBS	186	202	191	311	312	354
CTC-338M12.4	81	106	122	51	54	85
CTC-436P18.1	4	3	1	0	0	2
CTC1	405	530	593	370	436	423
CTCF	852	1094	1187	526	601	583
CTCFL	1	6	14	0	0	1
CTD-2151A2.1	0	0	0	0	0	0
CTD-2194D22.4	2	0	3	8	0	4
CTD-2201E9.1	0	0	0	0	0	0
CTD-2201I18.1	1	7	4	0	0	1
CTD-2270F17.1	0	3	2	0	0	0
CTD-2297D10.2	3	15	8	0	1	4
CTD-2350J17.1	0	0	0	0	0	0
CTD-3080P12.3	11	14	12	1	0	2
CTDNEP1	1102	1555	1737	1557	2174	2058
CTDP1	318	509	577	721	879	886
CTDSP1	2233	3281	3612	908	1307	1171
CTDSP2	2905	3745	4140	2567	3025	2901
CTDSPL	272	350	412	177	236	214
CTDSPL2	826	844	1036	708	620	610
CTF1	88	111	174	145	201	184
CTGF	80	97	109	13965	17266	17718
CTGLF12P	1	2	5	0	0	0
CTH	54	53	85	63	89	80
CTHRC1	103	101	133	102	149	119
CTIF	438	645	777	2803	3852	3888
CTLA4	0	0	0	0	0	0
CTNNA1	4632	6365	6854	22117	26261	26560
CTNNA2	141	180	155	26	32	32
CTNNA3	2330	2062	2579	3028	2357	2163
CTNNAL1	978	1272	1440	1187	1456	1542
CTNNB1	7713	9740	11113	7189	8418	7939
CTNNBIP1	898	1198	1311	571	824	740
CTNNBL1	348	552	645	283	350	326
CTNND1	122	185	213	78	55	54
CTNND2	374	432	417	591	649	688
CTNS	249	326	382	530	622	776
CTPS1	377	535	550	739	839	862
CTPS2	485	611	598	296	347	318
CTR9	1133	1405	1600	1028	1154	1108
CTRB1	0	0	0	0	0	0
CTRB2	0	0	0	0	1	1
CTRC	1	0	0	0	0	0
CTRL	7	13	14	13	27	21
CTSA	588	840	824	861	1202	1223
CTSB	1958	2664	2915	2996	3778	3848
CTSC	1662	1962	2260	1005	1236	1189
CTSD	2875	3996	4274	1927	2568	2573
CTSE	76	130	134	16	15	27
CTSF	0	0	0	0	0	0
CTSG	0	0	0	0	0	0
CTSH	53	54	65	49	45	64
CTSK	49	49	64	62	69	91
CTSL	680	913	1089	658	952	855
CTSL3P	0	0	0	0	0	0
CTSLP2	9	15	14	15	19	11
CTSLP8	0	0	0	0	0	0
CTSO	151	153	157	27	18	28
CTSS	2	15	9	10	5	7
CTSV	793	1150	1377	80	83	121
CTSW	0	0	0	1	0	0
CTSZ	803	1083	1285	699	899	821
CTTN	2119	3133	3489	2864	3626	3834
CTTNBP2	955	1046	1325	664	537	624
CTTNBP2NL	464	480	636	810	844	866
CTU1	48	66	81	79	100	110
CTU2	92	159	132	113	194	199
CTXN1	155	190	221	98	111	87
CTXN2	1	5	0	0	0	0
CTXN3	0	0	0	0	0	0
CUBN	108	115	188	43	30	43
CUEDC1	330	659	640	351	454	448
CUEDC2	788	1033	1119	674	830	750
CUL1	1683	2204	2300	1060	1229	1192
CUL2	811	1038	1160	700	818	840
CUL3	1232	1552	1803	1728	1946	1943
CUL4A	1803	2261	2648	1195	1310	1404
CUL4B	1189	1329	1502	1061	1124	999
CUL5	924	971	1174	996	846	827
CUL7	1166	1657	1734	1324	1634	1564
CUL9	494	720	724	497	531	532
CUTA	995	1368	1495	1776	2321	2172
CUTC	136	201	230	312	372	394
CUX1	2743	3110	3651	2457	2555	2451
CUX2	225	317	269	367	429	446
CUZD1	0	0	0	0	0	0
CWC15	497	644	777	553	656	716
CWC22	344	503	566	367	528	413
CWC25	208	262	336	437	563	537
CWC27	398	581	692	379	525	518
CWF19L1	310	395	458	416	552	587
CWF19L2	211	171	257	171	141	158
CWH43	0	0	0	0	0	0
CX3CL1	16	35	33	119	212	188
CX3CR1	24	21	42	3	4	4
CXADR	734	762	800	1727	1520	1517
CXADRP2	0	0	0	0	0	0
CXADRP3	0	0	0	0	0	0
CXCL1	0	1	0	3	2	1
CXCL10	0	0	1	0	0	0
CXCL11	0	0	0	0	0	0
CXCL12	1350	1665	2002	149	198	171
CXCL13	1	0	0	0	1	1
CXCL14	30	34	47	8	8	8
CXCL16	19	17	13	23	54	41
CXCL17	1	1	0	0	0	0
CXCL2	0	0	0	6	2	4
CXCL3	0	0	1	1	1	1
CXCL5	0	4	0	0	0	0
CXCL6	0	0	0	0	0	1
CXCL8	0	0	0	2	15	1
CXCL9	0	0	0	0	0	0
CXCR1	0	0	0	0	0	0
CXCR2	15	8	16	12	2	9
CXCR2P1	1	1	0	0	0	0
CXCR3	0	0	0	0	0	0
CXCR4	22	9	19	188	233	242
CXCR5	0	1	0	0	0	2
CXCR6	0	0	0	0	0	0
CXXC1	384	657	690	393	604	609
CXXC1P1	0	0	0	0	0	0
CXXC4	477	489	570	356	361	334
CXXC5	370	550	514	626	829	819
CXorf21	0	0	0	0	0	0
CXorf23	204	223	265	185	196	162
CXorf36	9	3	5	0	1	1
CXorf38	141	204	255	210	217	235
CXorf40A	65	150	169	368	497	448
CXorf40B	128	206	285	436	586	615
CXorf49	0	0	0	0	0	0
CXorf49B	0	0	0	0	0	0
CXorf51A	0	0	0	0	0	0
CXorf51B	0	0	0	0	0	0
CXorf56	222	344	328	213	238	236
CXorf57	117	111	140	53	66	62
CXorf58	1	0	2	1	4	0
CXorf65	0	0	0	0	0	0
CXorf66	0	0	0	0	0	0
CXorf67	2	1	0	0	0	0
CYB561	146	223	220	78	81	85
CYB561A3	174	243	248	48	78	78
CYB561D1	198	216	286	131	149	144
CYB561D2	53	103	114	55	66	88
CYB5A	1034	1322	1421	732	906	895
CYB5B	952	1252	1365	947	1188	1163
CYB5D1	388	506	562	486	528	509
CYB5D2	215	241	269	104	120	117
CYB5R1	394	636	618	1453	1943	1906
CYB5R2	16	28	26	20	45	36
CYB5R3	3998	5549	5610	4897	6033	5758
CYB5R4	97	138	143	86	126	103
CYB5RL	82	104	116	52	56	79
CYBA	359	486	564	258	319	344
CYBB	26	36	29	8	6	5
CYBRD1	43	56	57	12	4	6
CYC1	1181	1550	1886	2242	2935	2799
CYCS	2714	3166	2876	8406	9994	9093
CYCSP52	0	0	0	0	0	0
CYFIP1	636	834	878	582	744	659
CYFIP2	4194	5301	6031	4566	5482	5525
CYGB	51	70	81	149	175	134
CYHR1	524	724	877	387	499	486
CYLC1	0	0	0	0	0	0
CYLC2	2	2	2	0	0	0
CYLD	482	556	704	352	373	386
CYMP	0	3	0	3	3	1
CYP11A1	33	50	58	52	75	98
CYP11B1	0	0	0	0	0	0
CYP11B2	0	0	0	0	0	0
CYP17A1	0	0	0	3	9	6
CYP19A1	3	5	2	0	0	0
CYP1A1	132	224	267	208	365	336
CYP1A2	1	1	3	0	1	3
CYP1B1	2	9	11	6	5	12
CYP1B1-AS1	0	2	1	0	0	0
CYP20A1	353	440	509	216	276	288
CYP21A1P	10	4	4	4	4	2
CYP21A2	0	6	5	2	0	2
CYP24A1	9	8	2	3	1	4
CYP26A1	0	1	9	186	260	211
CYP26B1	36	44	37	44	30	51
CYP26C1	0	0	0	0	2	2
CYP27A1	356	543	615	69	97	77
CYP27B1	6	13	9	8	12	18
CYP27C1	64	75	98	27	8	22
CYP2A13	0	0	0	0	0	0
CYP2A6	0	1	0	0	0	0
CYP2A7	0	0	0	0	0	0
CYP2B6	0	0	0	0	0	0
CYP2B7P	4	2	5	5	20	22
CYP2C18	8	7	7	1	1	0
CYP2C19	45	60	61	2	2	2
CYP2C8	61	97	106	29	40	40
CYP2C9	28	45	45	10	7	6
CYP2D6	0	0	0	0	0	0
CYP2D7	30	32	36	15	33	28
CYP2E1	13	9	17	15	14	26
CYP2F1	0	0	0	0	0	0
CYP2G1P	24	25	28	68	37	41
CYP2J2	48	94	88	958	1252	1411
CYP2R1	93	152	182	100	98	103
CYP2S1	20	21	38	23	43	48
CYP2U1	142	183	200	153	120	150
CYP2W1	2	8	0	0	0	3
CYP39A1	57	50	61	24	40	23
CYP3A4	0	0	0	0	0	0
CYP3A43	0	0	1	2	0	2
CYP3A5	14	17	10	1	1	0
CYP3A7	0	0	0	0	0	0
CYP3A7-CYP3A51P	0	0	0	0	0	0
CYP46A1	193	315	312	99	109	128
CYP4A11	2	1	0	0	0	0
CYP4A22	0	0	0	0	0	0
CYP4B1	0	0	0	0	0	2
CYP4F11	0	0	0	0	0	0
CYP4F12	0	0	0	0	0	0
CYP4F2	0	0	0	0	0	0
CYP4F22	0	0	0	0	0	0
CYP4F24P	0	0	0	0	0	0
CYP4F29P	0	0	0	0	0	0
CYP4F3	0	0	0	0	0	0
CYP4F30P	5	2	7	5	1	0
CYP4F35P	0	0	0	0	1	0
CYP4F62P	1	0	0	0	0	2
CYP4F8	0	0	0	0	0	0
CYP4V2	87	100	132	20	19	11
CYP4X1	6	18	21	0	5	3
CYP4Z1	1	0	0	0	0	0
CYP4Z2P	0	0	0	0	0	0
CYP51A1	986	1435	1385	3518	3771	3776
CYP51A1-AS1	3	1	12	4	3	2
CYP7A1	2	0	2	0	0	0
CYP7B1	66	46	68	14	4	2
CYP8B1	1	2	0	0	0	0
CYR61	98	155	145	7898	9408	9900
CYS1	1	21	11	1	9	5
CYSLTR1	1	4	5	1	1	0
CYSLTR2	3	1	10	0	2	0
CYSRT1	14	27	23	10	26	10
CYSTM1	224	363	379	1014	1356	1325
CYTH1	441	596	627	508	670	688
CYTH2	1735	2531	2800	1059	1365	1333
CYTH3	437	747	773	573	633	664
CYTH4	0	0	0	0	0	0
CYTIP	1	0	4	0	0	0
CYTL1	0	4	3	0	3	2
CYYR1	52	69	76	9	10	9
D21S2088E	0	0	1	0	0	0
D2HGDH	192	315	329	138	178	198
DAAM1	787	925	1083	831	609	678
DAAM2	255	349	337	143	178	208
DAB1	96	106	173	82	69	97
DAB1-AS1	0	0	0	0	0	0
DAB2	323	394	437	195	207	239
DAB2IP	1783	2413	2684	1077	1394	1331
DACH1	204	214	286	117	101	69
DACH2	5	6	15	0	3	4
DACT1	938	1293	1558	860	984	1184
DACT2	9	9	8	2	4	5
DACT3	1255	1766	2104	2033	2623	2662
DACT3-AS1	44	73	116	9	33	9
DAD1	553	859	956	1377	1953	1789
DAG1	5934	8197	8602	6928	8810	8344
DAGLA	157	247	244	65	105	144
DAGLB	200	279	312	269	390	358
DALRD3	254	361	400	169	280	221
DANCR	540	710	720	859	1064	1053
DAND5	3	1	2	0	0	0
DAO	3	5	0	0	0	0
DAOA	0	0	0	0	0	0
DAOA-AS1	0	0	0	0	0	0
DAP	1284	1851	1946	1976	2439	2421
DAP3	1214	1724	1903	1628	2241	2271
DAPK1	755	939	1024	255	264	259
DAPK2	7	2	9	0	8	5
DAPK3	628	1023	1195	3490	4749	4715
DAPL1	0	1	0	0	0	0
DAPP1	3	6	4	0	6	4
DARS	1601	1982	2262	2098	2407	2480
DARS-AS1	47	44	52	37	39	29
DARS2	544	777	805	415	531	480
DAW1	0	0	1	5	7	12
DAXX	549	781	860	334	452	359
DAZ1	0	0	0	0	0	0
DAZ2	0	0	0	0	0	0
DAZ3	0	0	0	0	0	0
DAZ4	0	0	0	0	0	0
DAZAP1	851	1167	1303	1188	1614	1599
DAZAP2	1156	1633	1820	1894	2321	2486
DAZL	0	0	0	0	0	0
DBET	0	0	0	0	0	0
DBF4	203	301	298	199	208	205
DBF4B	384	480	526	189	219	219
DBH	1	0	0	0	0	0
DBH-AS1	51	72	99	31	40	48
DBI	668	959	994	728	948	951
DBIL5P	10	10	11	17	28	16
DBIL5P2	0	1	3	1	0	1
DBN1	2262	3220	3761	1201	1722	1580
DBNDD1	177	223	258	205	238	167
DBNDD2	44	57	54	38	50	62
DBNL	986	1441	1486	830	1066	996
DBP	133	140	171	134	136	177
DBR1	126	196	225	144	148	156
DBT	544	525	792	727	710	669
DBX1	0	0	0	0	0	0
DBX2	0	0	0	0	1	0
DCAF10	478	561	719	603	541	540
DCAF11	1116	1611	1814	1597	2112	1814
DCAF12	810	1015	1129	922	1053	1181
DCAF12L1	0	0	0	0	1	0
DCAF12L2	8	20	29	1	2	2
DCAF13	465	591	636	709	864	900
DCAF13P3	4	4	0	1	1	3
DCAF15	430	610	660	316	504	457
DCAF16	737	787	1051	842	969	952
DCAF17	441	467	569	311	304	290
DCAF4	86	118	121	98	103	125
DCAF4L1	24	51	18	109	110	96
DCAF4L2	0	0	0	0	0	0
DCAF5	1948	2638	2952	2106	2408	2380
DCAF6	1935	2517	2699	2026	2387	2324
DCAF7	2888	3603	4466	3757	4102	3994
DCAF8	2422	3449	3900	2515	2817	2947
DCAF8L1	0	0	0	0	0	0
DCAF8L2	2	0	0	0	0	0
DCAKD	603	847	952	872	1165	1143
DCANP1	0	0	0	0	0	0
DCBLD1	75	67	88	104	109	106
DCBLD2	1930	2184	2357	1977	2001	1924
DCC	1	0	2	0	0	1
DCD	0	0	0	0	0	0
DCDC1	3	0	4	0	0	0
DCDC2	70	96	114	34	42	37
DCDC2B	0	1	5	0	0	0
DCDC2C	0	0	0	0	0	0
DCDC5	22	28	61	4	2	1
DCHS1	2093	2609	2977	2141	2479	2535
DCHS2	11	13	17	8	2	2
DCK	203	294	250	101	96	111
DCLK1	2	0	0	9	10	1
DCLK2	277	408	379	428	600	567
DCLK3	5	14	7	5	0	6
DCLRE1A	249	291	281	65	82	97
DCLRE1B	149	193	195	51	37	66
DCLRE1C	222	274	286	121	113	109
DCN	9	47	15	10	7	4
DCP1A	978	1158	1344	2134	2285	2155
DCP1B	169	247	232	150	175	166
DCP2	581	563	676	938	688	703
DCPS	179	275	228	68	77	106
DCST1	4	0	2	1	2	2
DCST2	21	34	20	15	46	47
DCSTAMP	0	0	0	0	0	0
DCT	3	0	6	0	0	2
DCTD	604	696	771	456	648	618
DCTN1	3071	4336	4615	2976	3687	3525
DCTN1-AS1	0	0	1	0	0	0
DCTN2	1480	1989	2226	2451	3128	3004
DCTN3	473	650	665	333	395	336
DCTN4	1205	1541	1606	1249	1384	1424
DCTN5	1335	1318	1837	980	900	901
DCTN6	517	651	688	457	480	516
DCTPP1	228	298	319	286	288	305
DCUN1D1	720	852	814	462	465	423
DCUN1D2	306	449	486	618	731	705
DCUN1D3	102	142	158	340	360	287
DCUN1D4	909	1030	1066	839	901	840
DCUN1D5	465	699	742	992	1066	1077
DCX	1	3	4	1	0	0
DCXR	245	421	423	661	878	847
DDA1	655	854	943	1095	1496	1459
DDAH1	245	247	294	1467	1686	1620
DDAH2	436	651	680	979	1411	1450
DDB1	5286	7365	8138	10312	12612	12716
DDB2	229	307	275	379	516	510
DDC	17	41	30	2	2	2
DDC-AS1	0	0	0	0	0	0
DDHD1	648	702	949	614	567	541
DDHD2	835	1111	1255	1111	1164	1182
DDI1	0	0	0	0	0	0
DDI2	117	121	207	99	38	28
DDIAS	158	183	194	21	21	14
DDIT3	159	225	270	980	1301	1322
DDIT4	2635	3283	4012	6812	8878	8618
DDIT4L	39	40	54	48	59	72
DDN	94	150	131	190	216	219
DDO	4	2	0	0	0	0
DDOST	2142	3056	3536	1910	2548	2421
DDR1	3244	4552	5150	3476	4800	4854
DDR2	13	8	26	13	10	4
DDRGK1	334	511	547	429	514	519
DDT	277	395	391	372	455	450
DDTL	46	39	65	19	30	36
DDX1	1349	1654	2014	1432	1775	1632
DDX10	194	257	259	185	229	274
DDX11	211	352	339	81	114	71
DDX11-AS1	14	32	15	6	18	3
DDX11L1	0	0	2	0	0	4
DDX11L10	0	0	0	0	0	0
DDX11L16	0	0	0	0	0	0
DDX11L2	0	3	0	0	0	2
DDX11L5	1	0	1	0	0	0
DDX11L9	0	0	0	0	0	0
DDX12P	148	214	220	56	83	79
DDX17	15591	19239	21956	13226	13046	12963
DDX18	982	1424	1513	968	1110	989
DDX19A	764	1059	1204	1139	1520	1525
DDX19B	316	353	455	266	339	298
DDX20	392	540	548	153	186	208
DDX21	1056	1209	1473	1277	1346	1321
DDX23	1084	1354	1573	593	729	721
DDX24	2841	3757	4456	5033	6163	6214
DDX25	42	57	80	10	23	15
DDX26B	1641	2234	2610	876	883	936
DDX26B-AS1	0	1	2	0	0	0
DDX27	460	667	730	774	881	973
DDX28	118	182	210	67	71	85
DDX31	152	206	202	150	175	170
DDX39A	437	676	681	322	467	463
DDX39B	8	13	21	8	8	13
DDX3X	3825	4554	5209	3688	3979	3909
DDX3Y	1509	1779	2000	4299	3880	3815
DDX4	3	1	1	1	3	5
DDX41	952	1284	1340	1403	1790	1770
DDX42	2122	2835	3302	2588	2738	3043
DDX43	0	0	0	0	0	0
DDX46	1068	1370	1547	825	744	649
DDX47	524	689	777	737	947	952
DDX49	365	574	621	337	470	384
DDX5	8234	11095	11933	8757	10408	10413
DDX50	833	1082	1140	1157	1465	1484
DDX51	236	377	448	302	383	416
DDX52	551	707	815	395	472	439
DDX53	0	0	0	0	0	0
DDX54	619	993	1095	581	796	755
DDX55	177	282	300	228	308	302
DDX56	890	1205	1333	1123	1419	1495
DDX58	166	224	276	135	137	149
DDX59	134	235	229	157	205	223
DDX6	2340	2761	3247	1442	1478	1398
DDX60	126	137	179	58	42	42
DDX60L	116	117	120	45	53	22
DEAF1	638	790	831	532	701	784
DEAR	0	0	0	0	0	0
DEC1	0	0	0	0	0	0
DECR1	756	1066	1134	1214	1406	1352
DECR2	331	465	494	227	281	327
DEDD	701	826	1016	500	622	591
DEDD2	281	439	425	777	1026	941
DEF6	14	42	27	5	8	8
DEF8	495	761	789	485	705	659
DEFA1	0	0	0	0	0	0
DEFA10P	0	0	0	0	0	0
DEFA11P	0	0	0	0	0	0
DEFA1B	0	0	0	0	0	0
DEFA3	0	0	0	0	0	0
DEFA4	0	0	0	0	0	0
DEFA5	0	0	0	0	0	0
DEFA6	0	0	0	0	0	0
DEFA8P	0	0	0	0	0	0
DEFA9P	0	0	0	0	0	0
DEFB1	0	0	0	0	2	0
DEFB103A	0	0	0	0	0	0
DEFB103B	0	0	0	0	0	0
DEFB104A	0	0	0	0	0	0
DEFB104B	0	0	0	0	0	0
DEFB105A	0	0	0	0	0	0
DEFB105B	0	0	0	0	0	0
DEFB106A	0	0	0	0	0	0
DEFB106B	0	0	0	0	0	0
DEFB107A	0	0	0	0	0	0
DEFB107B	0	0	0	0	0	0
DEFB108B	0	0	0	0	0	0
DEFB109P1	0	0	0	0	0	0
DEFB109P1B	0	0	0	0	0	0
DEFB110	0	0	0	0	0	0
DEFB112	0	0	0	0	0	0
DEFB113	0	0	0	0	0	0
DEFB114	0	0	0	0	0	0
DEFB115	0	0	0	0	0	0
DEFB116	0	0	0	0	0	0
DEFB118	0	0	0	0	0	0
DEFB119	0	0	0	0	0	0
DEFB121	0	0	0	0	0	0
DEFB122	0	0	0	0	0	0
DEFB123	0	0	0	0	0	0
DEFB124	0	0	0	0	0	0
DEFB125	0	0	0	0	0	0
DEFB126	0	0	0	0	0	0
DEFB127	0	0	0	0	0	0
DEFB128	0	0	0	0	0	0
DEFB129	0	0	0	0	0	0
DEFB130	0	0	0	0	0	0
DEFB131	0	0	0	0	0	0
DEFB132	0	0	0	0	0	0
DEFB133	0	0	0	0	0	0
DEFB134	0	1	0	0	0	0
DEFB135	0	0	0	0	0	0
DEFB136	0	0	0	0	0	0
DEFB4A	0	0	0	0	0	0
DEFB4B	0	0	0	0	0	0
DEFT1P	0	0	0	0	0	0
DEFT1P2	0	0	0	0	0	0
DEGS1	744	1089	1265	614	735	751
DEGS2	8	12	19	22	37	28
DEK	2428	2940	3024	1899	2305	2039
DENND1A	427	600	643	524	656	675
DENND1B	385	382	431	344	201	201
DENND1C	17	18	13	24	26	29
DENND2A	244	321	388	56	89	89
DENND2C	66	76	82	233	178	194
DENND2D	9	3	8	8	10	1
DENND3	119	150	148	492	498	558
DENND4A	290	306	404	274	161	201
DENND4B	1032	1520	1562	2185	2851	2671
DENND4C	1012	954	1379	885	516	552
DENND5A	3394	4523	5103	6595	7522	7830
DENND5B	2327	2274	3392	2901	1897	1901
DENND5B-AS1	0	7	1	0	0	1
DENND6A	372	405	455	206	296	250
DENND6B	77	122	127	32	42	25
DENR	1091	1361	1559	855	1099	1043
DEPDC1	890	1083	989	170	260	169
DEPDC1-AS1	0	1	0	0	0	1
DEPDC1B	140	158	171	27	33	15
DEPDC4	10	25	25	7	6	4
DEPDC5	219	278	352	265	275	312
DEPDC7	26	44	41	21	23	13
DEPTOR	25	33	35	12	13	15
DERA	169	228	224	147	162	158
DERL1	775	1010	1054	875	1125	1136
DERL2	307	419	475	311	374	377
DERL3	250	283	278	139	123	161
