id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	directionality	classification	CM|CM	CM|EC	CM|EP	CM|PV	CM|UN	EC|CM	EC|EC	EC|EP	EC|PV	EC|UN	EP|CM	EP|EC	EP|EP	EP|PV	EP|UN	PV|CM	PV|EC	PV|EP	PV|PV	PV|UN	UN|CM	UN|EC	UN|EP	UN|PV	UN|UN
CPI-SS04829AC68	GJA1_GJA1	simple:P17302	simple:P17302	GJA1	GJA1	False	False	False	curated	False	Gap-Gap	Adhesion by GAP junction	0.198	0.55	0.108	0.359	0.126	0.55	0.903	0.461	0.712	0.479	0.108	0.461	0.018	0.269	0.037	0.359	0.712	0.269	0.52	0.288	0.126	0.479	0.037	0.288	0.055
CPI-SS058209EC7	F2_F2R	simple:P00734	simple:P25116	F2	F2R	True	False	True	curated	False	Ligand-Receptor	Adhesion by Prothrombin	0.021	0.282	0.029	0.325	0.02	0.0	0.0	0.0	0.0	0.0	0.468	0.729	0.476	0.773	0.467	0.0	0.0	0.0	0.0	0.0	0.022	0.283	0.03	0.327	0.021
CPI-SS0C93E48D7	THBS1_CD36	simple:P07996	simple:P16671	THBS1	CD36	False	False	True	curated	False	Ligand-Receptor	Signaling by Thrombospondin precursor	0.015	0.0	0.0	0.014	0.0	0.067	0.0	0.0	0.066	0.0	0.005	0.0	0.0	0.004	0.0	0.045	0.0	0.0	0.044	0.0	0.008	0.0	0.0	0.007	0.0
CPI-SS05996C8FD	AGT_AGTR1	simple:P01019	simple:P30556	AGT	AGTR1	True	False	True	curated	False	Ligand-Receptor	Signaling by Angiotensinogen	0.02	0.023	0.312	0.027	0.026	0.0	0.0	0.0	0.0	0.0	0.478	0.481	0.77	0.485	0.484	0.029	0.032	0.321	0.036	0.035	0.01	0.012	0.301	0.016	0.015
CPI-SS0BA601DC4	BDNF_NTRK2	simple:P23560	simple:Q16620	BDNF	NTRK2	True	False	True	curated	False	Ligand-Receptor	Signaling by Brain-derived neurotrophic factor	0.005	0.01	0.0	0.113	0.01	0.012	0.017	0.0	0.12	0.017	0.0	0.0	0.0	0.0	0.0	0.006	0.011	0.0	0.114	0.011	0.004	0.009	0.0	0.112	0.009
CPI-SS09A6C048C	CLSTN2_NRXN1	simple:Q9H4D0	simple:Q9ULB1	CLSTN2	NRXN1	False	False	False	curated	False	Ligand-Receptor	Signaling by Calsyntenin	0.317	0.035	0.033	0.075	0.086	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.316	0.034	0.032	0.074	0.085	0.315	0.033	0.032	0.074	0.084
CPI-SS043D3630C	LRRTM1_NRXN1	simple:Q86UE6	simple:Q9ULB1	LRRTM1	NRXN1	False	False	False	curated	False	Ligand-Receptor	Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein	0.314	0.032	0.031	0.073	0.083	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.317	0.035	0.033	0.076	0.086	0.316	0.034	0.033	0.075	0.085
CPI-SS0626DF0EB	LRRTM3_NRXN1	simple:Q86VH5	simple:Q9ULB1	LRRTM3	NRXN1	False	False	False	curated	False	Ligand-Receptor	Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein	0.319	0.036	0.035	0.077	0.087	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.32	0.038	0.037	0.079	0.089	0.343	0.061	0.059	0.101	0.111
CPI-SS03466C597	LRRTM4_NRXN1	simple:Q86VH4	simple:Q9ULB1	LRRTM4	NRXN1	False	False	False	curated	False	Ligand-Receptor	Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein	0.316	0.034	0.033	0.075	0.085	0.317	0.035	0.034	0.076	0.086	0.0	0.0	0.0	0.0	0.0	0.322	0.04	0.038	0.081	0.091	0.316	0.034	0.032	0.074	0.084
CPI-SS0ECD9BB5E	CCL21_ACKR4	simple:O00585	simple:Q9NPB9	CCL21	ACKR4	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0.1	0.106	0.0	0.1	0.109	0.015	0.02	0.0	0.014	0.024	0.004	0.009	0.0	0.003	0.013	0.137	0.143	0.0	0.137	0.146	0.022	0.027	0.0	0.021	0.031
CPI-SS0CCD89E02	CCL25_ACKR4	simple:O15444	simple:Q9NPB9	CCL25	ACKR4	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.009	0.0	0.003	0.012
CPI-SS083B5EBAB	CXCL13_ACKR4	simple:O43927	simple:Q9NPB9	CXCL13	ACKR4	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0.001	0.007	0.0	0.001	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS08102DC9E	CXCL1_CXCR2	simple:P09341	simple:P25025	CXCL1	CXCR2	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.011	0.0	0.0	0.012	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS09185EA8F	CXCL3_CXCR2	simple:P19876	simple:P25025	CXCL3	CXCR2	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.0	0.008	0.0	0.003	0.0	0.0	0.003	0.0
CPI-SS0315F51DD	CXCL8_CXCR2	simple:P10145	simple:P25025	CXCL8	CXCR2	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0.0	0.0	0.0	0.0	0.0	0.031	0.0	0.0	0.032	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0A28DCA72	CXCL12_CXCR4	simple:P48061	simple:P61073	CXCL12	CXCR4	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0.088	0.207	0.0	0.203	0.088	0.0	0.0	0.0	0.0	0.0	0.054	0.173	0.0	0.169	0.054	0.072	0.191	0.0	0.187	0.071	0.029	0.148	0.0	0.144	0.029
CPI-SS0669CC233	CXCL14_CXCR4	simple:O95715	simple:P61073	CXCL14	CXCR4	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0.009	0.128	0.0	0.124	0.009	0.0	0.0	0.0	0.0	0.0	0.06	0.179	0.0	0.175	0.059	0.016	0.135	0.0	0.131	0.016	0.006	0.125	0.0	0.121	0.006
CPI-SS0F62347D4	C1QL1_ADGRB3	simple:O75973	simple:O60242	C1QL1	ADGRB3	True	False	True	curated	False	Ligand-Receptor	Signaling by Complement	0.024	0.028	0.0	0.062	0.036	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.013	0.0	0.047	0.021	0.012	0.016	0.0	0.049	0.023
CPI-CS0917E42F5	DHEAsulfate_bySULT1E1_PPARG	complex:DHEAsulfate_bySULT1E1	simple:P37231		PPARG	True	False	True	curated	False	Ligand-Receptor	Signaling by Dehydroepiandrosterone	0.002	0.167	0.315	0.048	0.002	0.0	0.0	0.0	0.0	0.0	0.123	0.287	0.436	0.169	0.123	0.0	0.0	0.0	0.0	0.0	0.004	0.169	0.317	0.05	0.005
CPI-SS0D8632EB4	EDN1_EDNRA	simple:P05305	simple:P25101	EDN1	EDNRA	True	False	True	curated	False	Ligand-Receptor	Signaling by Endothelin	0.055	0.008	0.002	0.099	0.014	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.068	0.021	0.015	0.112	0.026	0.0	0.0	0.0	0.0	0.0
CPI-SS056AA08CF	EDN2_EDNRA	simple:P20800	simple:P25101	EDN2	EDNRA	True	False	True	curated	False	Ligand-Receptor	Signaling by Endothelin	0.055	0.007	0.002	0.099	0.013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS03D5CBF55	EDN3_EDNRA	simple:P14138	simple:P25101	EDN3	EDNRA	True	False	True	curated	False	Ligand-Receptor	Signaling by Endothelin	0.054	0.007	0.002	0.099	0.013	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0FC01B947	EFNA5_EPHA4	simple:P52803	simple:P54764	EFNA5	EPHA4	False	False	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.24	0.032	0.031	0.028	0.125	0.232	0.024	0.023	0.02	0.117	0.228	0.02	0.019	0.016	0.113	0.28	0.072	0.071	0.067	0.164	0.235	0.027	0.026	0.023	0.12
CPI-SS087E0E3FB	EFNB2_EPHA4	simple:P52799	simple:P54764	EFNB2	EPHA4	False	True	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.269	0.061	0.06	0.057	0.154	0.403	0.195	0.194	0.191	0.288	0.259	0.051	0.05	0.047	0.144	0.275	0.067	0.066	0.063	0.16	0.246	0.038	0.037	0.034	0.131
CPI-SS09E3F5044	EFNA5_EPHA5	simple:P52803	simple:P54756	EFNA5	EPHA5	False	False	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.015	0.0	0.0	0.0	0.016	0.007	0.0	0.0	0.0	0.008	0.003	0.0	0.0	0.0	0.004	0.054	0.0	0.0	0.0	0.056	0.01	0.0	0.0	0.0	0.011
CPI-SS05ABE6795	EFNB2_EPHB6	simple:P52799	simple:O15197	EFNB2	EPHB6	True	True	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.05	0.047	0.061	0.137	0.052	0.183	0.181	0.195	0.271	0.185	0.039	0.037	0.051	0.127	0.041	0.055	0.053	0.067	0.143	0.057	0.026	0.024	0.038	0.114	0.028
CPI-SS052119104	AREG_EGFR	simple:P15514	simple:P00533	AREG	EGFR	True	False	True	curated	False	Ligand-Receptor	Signaling by Epidermal growth factor	0.092	0.094	0.229	0.214	0.101	0.112	0.113	0.249	0.234	0.121	0.279	0.28	0.416	0.401	0.288	0.052	0.053	0.189	0.174	0.061	0.054	0.056	0.191	0.176	0.063
CPI-SS01F67987A	FGF2_FGFR1	simple:P09038	simple:P11362	FGF2	FGFR1	True	False	True	curated	False	Ligand-Receptor	Signaling by Fibroblast growth factor	0.117	0.31	0.053	0.25	0.093	0.0	0.0	0.0	0.0	0.0	0.137	0.33	0.073	0.27	0.113	0.136	0.328	0.072	0.268	0.111	0.118	0.311	0.054	0.25	0.094
CPI-SS01333FFA6	FGF5_FGFR1	simple:P12034	simple:P11362	FGF5	FGFR1	True	False	True	curated	False	Ligand-Receptor	Signaling by Fibroblast growth factor	0.108	0.3	0.044	0.24	0.084	0.115	0.308	0.051	0.248	0.091	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS08BFFB96E	FLRT3_ADGRL2	simple:Q9NZU0	simple:O95490	FLRT3	ADGRL2	False	False	True	curated	False	Ligand-Receptor	Signaling by Fibronectin	0.039	0.404	0.019	0.259	0.037	0.055	0.42	0.034	0.275	0.053	0.108	0.473	0.087	0.328	0.106	0.054	0.419	0.034	0.275	0.052	0.036	0.401	0.016	0.256	0.034
CPI-SS083BB1EB3	TENM1_ADGRL2	simple:Q9UKZ4	simple:O95490	TENM1	ADGRL2	False	False	True	curated	False	Ligand-Receptor	Signaling by Teneurin	0.035	0.4	0.014	0.255	0.033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.035	0.4	0.014	0.255	0.033
CPI-SS075F456AF	TENM3_ADGRL2	simple:Q9P273	simple:O95490	TENM3	ADGRL2	False	False	True	curated	False	Ligand-Receptor	Signaling by Teneurin	0.059	0.425	0.039	0.28	0.058	0.042	0.407	0.022	0.262	0.04	0.0	0.0	0.0	0.0	0.0	0.143	0.509	0.123	0.364	0.142	0.05	0.415	0.03	0.27	0.048
CPI-SS07AF9303D	GRP_GRPR	simple:P07492	simple:P30550	GRP	GRPR	True	False	True	curated	False	Ligand-Receptor	Signaling by Gastrin	0.004	0.0	0.0	0.0	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.005	0.002	0.0	0.0	0.0	0.004
CPI-SS027E12A36	MDK_PTPRZ1	simple:P21741	simple:P23471	MDK	PTPRZ1	True	False	False	curated	False	Ligand-Receptor	Signaling by Midkine	0.481	0.0	0.0	0.0	0.482	0.055	0.0	0.0	0.0	0.056	0.585	0.0	0.0	0.0	0.585	1.097	0.0	0.0	0.0	1.098	0.187	0.0	0.0	0.0	0.187
CPI-SS04E690D72	PTN_PTPRZ1	simple:P21246	simple:P23471	PTN	PTPRZ1	True	False	False	curated	False	Ligand-Receptor	Signaling by Pleiotrophin	0.235	0.0	0.0	0.0	0.235	0.01	0.0	0.0	0.0	0.01	0.024	0.0	0.0	0.0	0.025	0.699	0.0	0.0	0.0	0.699	0.075	0.0	0.0	0.0	0.076
CPI-SS0730D1EF3	CNTN1_MCAM	simple:Q12860	simple:P43121	CNTN1	MCAM	False	False	False	curated	False	Adhesion-Adhesion		0.104	0.441	0.016	0.038	0.053	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.437	0.012	0.034	0.049	0.104	0.442	0.017	0.039	0.053
CPI-SS007AA9FDE	DLK1_NOTCH3	simple:P80370	simple:Q9UM47	DLK1	NOTCH3	False	False	True	curated	False	Ligand-Receptor	Signaling by Notch	0.053	0.075	0.049	0.137	0.039	0.429	0.451	0.426	0.513	0.415	1.077	1.099	1.073	1.161	1.063	1.211	1.233	1.207	1.295	1.197	0.133	0.155	0.129	0.217	0.119
CPI-SS0B99F22A2	JAG1_NOTCH3	simple:P78504	simple:Q9UM47	JAG1	NOTCH3	False	False	True	curated	False	Ligand-Receptor	Signaling by Notch	0.108	0.13	0.104	0.192	0.094	0.262	0.284	0.258	0.345	0.248	0.075	0.097	0.072	0.159	0.061	0.204	0.226	0.2	0.288	0.19	0.085	0.107	0.081	0.169	0.071
CPI-SS07361522F	PGF_FLT1	simple:P49763	simple:P17948	PGF	FLT1	True	False	True	curated	False	Ligand-Receptor	Signaling by Placenta growth factor	0.031	1.596	0.041	0.291	0.057	0.144	1.709	0.154	0.404	0.17	0.034	1.599	0.044	0.294	0.06	0.073	1.637	0.082	0.332	0.098	0.029	1.594	0.038	0.288	0.054
CPI-SS0B9B3870A	VEGFA_FLT1	simple:P15692	simple:P17948	VEGFA	FLT1	True	False	True	curated	False	Ligand-Receptor	Signaling by Vascular endothelial growth factor	0.541	2.106	0.551	0.801	0.567	0.332	1.897	0.341	0.592	0.358	0.704	2.269	0.713	0.964	0.73	0.709	2.274	0.718	0.968	0.734	0.604	2.169	0.613	0.863	0.63
CPI-SC0B51DC960	PGF_FLT1_complex	simple:P49763	complex:FLT1_complex	PGF		True	False	True	curated	False	Ligand-Receptor	Signaling by Placenta growth factor	0.031	0.826	0.041	0.093	0.057	0.144	0.939	0.154	0.206	0.17	0.034	0.829	0.044	0.096	0.06	0.073	0.867	0.082	0.134	0.098	0.029	0.823	0.038	0.091	0.054
CPI-SC0AFC650CD	VEGFA_FLT1_complex	simple:P15692	complex:FLT1_complex	VEGFA		True	False	True	curated	False	Ligand-Receptor	Signaling by Vascular endothelial growth factor	0.541	1.336	0.551	0.603	0.567	0.332	1.127	0.341	0.394	0.358	0.704	1.499	0.713	0.766	0.73	0.709	1.503	0.718	0.771	0.734	0.604	1.399	0.613	0.666	0.63
CPI-SS065D9259F	PGF_NRP2	simple:P49763	simple:O60462	PGF	NRP2	True	False	True	curated	False	Ligand-Receptor	Signaling by Placenta growth factor	0.135	0.916	0.03	0.085	0.111	0.248	1.029	0.143	0.198	0.224	0.138	0.919	0.033	0.088	0.114	0.176	0.957	0.071	0.127	0.152	0.132	0.914	0.027	0.083	0.109
CPI-SS046F8AD8B	VEGFA_NRP2	simple:P15692	simple:O60462	VEGFA	NRP2	True	False	True	curated	False	Ligand-Receptor	Signaling by Vascular endothelial growth factor	0.645	1.426	0.54	0.595	0.621	0.435	1.217	0.331	0.386	0.412	0.807	1.589	0.702	0.758	0.784	0.812	1.593	0.707	0.763	0.788	0.707	1.489	0.602	0.658	0.684
CPI-SS0B70EB09E	PDGFA_PDGFRA	simple:P04085	simple:P16234	PDGFA	PDGFRA	True	False	True	curated	False	Ligand-Receptor	Signaling by Platelet-derived growth factor	0.051	0.058	0.0	0.321	0.066	0.397	0.405	0.0	0.667	0.412	0.025	0.033	0.0	0.295	0.04	0.114	0.122	0.0	0.384	0.129	0.024	0.031	0.0	0.294	0.039
CPI-SS0666DE74B	NPY_NPY1R	simple:P01303	simple:P25929	NPY	NPY1R	True	False	True	curated	False	Ligand-Receptor	Signaling by Pro-neuregulin	0.035	0.005	0.01	0.007	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05	0.02	0.025	0.023	0.02	0.035	0.005	0.01	0.007	0.005
CPI-SS0E2083FAC	NPY_NPY2R	simple:P01303	simple:P49146	NPY	NPY2R	True	False	True	curated	False	Ligand-Receptor	Signaling by Pro-neuregulin	0.001	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016	0.0	0.0	0.019	0.0	0.001	0.0	0.0	0.003	0.0
CPI-SS0D9BC4188	GNRH2_GNRHR	simple:O43555	simple:P30968	GNRH2	GNRHR	True	False	True	curated	False	Ligand-Receptor	Signaling by Progonadoliberin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.045	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0
CPI-CS0F0453B03	ProstaglandinE2_byPTGES_PTGER2	complex:ProstaglandinE2_byPTGES	simple:P43116		PTGER2	True	False	True	curated	False	Ligand-Receptor	Signaling by Prostaglandin	0.0	0.0	0.0	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.021	0.0	0.0	0.0	0.0	0.004	0.0
CPI-CS023F349AF	ProstaglandinE2_byPTGES_PTGER4	complex:ProstaglandinE2_byPTGES	simple:P35408		PTGER4	True	False	True	curated	False	Ligand-Receptor	Signaling by Prostaglandin	0.003	0.005	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.018	0.02	0.0	0.024	0.0	0.001	0.003	0.0	0.007	0.0
CPI-SS056D0AD0D	RSPO2_LGR5	simple:Q6UXX9	simple:O75473	RSPO2	LGR5	True	False	True	curated	False	Ligand-Receptor	Signaling by R-spondin	0.0	0.0	0.021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0C3906934	RSPO3_LGR5	simple:Q9BXY4	simple:O75473	RSPO3	LGR5	True	False	True	curated	False	Ligand-Receptor	Signaling by R-spondin	0.626	0.0	0.647	0.0	0.0	0.007	0.0	0.028	0.0	0.0	0.076	0.0	0.097	0.0	0.0	0.158	0.0	0.179	0.0	0.0	0.295	0.0	0.316	0.0	0.0
CPI-CS08EE9E5CE	atRetinoicAcid_byALDH1A1_RORB	complex:atRetinoicAcid_byALDH1A1	simple:Q92753		RORB	True	False	True	curated	False	Ligand-Receptor	Signaling by Retinoic Acid	0.002	0.0	0.0	0.054	0.012	0.0	0.0	0.0	0.0	0.0	0.642	0.0	0.0	0.694	0.651	0.004	0.0	0.0	0.056	0.014	0.005	0.0	0.0	0.057	0.015
CPI-CS033058D2B	atRetinoicAcid_byALDH1A2_RORB	complex:atRetinoicAcid_byALDH1A2	simple:Q92753		RORB	True	False	True	curated	False	Ligand-Receptor	Signaling by Retinoic Acid	0.002	0.0	0.0	0.054	0.012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.053	0.011
CPI-CS0C61C245A	atRetinoicAcid_byALDH1A3_RORB	complex:atRetinoicAcid_byALDH1A3	simple:Q92753		RORB	True	False	True	curated	False	Ligand-Receptor	Signaling by Retinoic Acid	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.057	0.014	0.0	0.0	0.0	0.0	0.0
CPI-SS0F3A089DE	SEMA3E_PLXND1	simple:O15041	simple:Q9Y4D7	SEMA3E	PLXND1	True	False	True	curated	False	Ligand-Receptor	Signaling by Semaphorin	0.071	0.479	0.017	0.136	0.055	0.067	0.475	0.013	0.132	0.051	0.0	0.0	0.0	0.0	0.0	0.072	0.481	0.018	0.138	0.057	0.069	0.478	0.015	0.134	0.054
CPI-SS0FE594C97	SST_SSTR2	simple:P61278	simple:P30874	SST	SSTR2	True	False	True	curated	False	Ligand-Receptor	Signaling by Somatostatin	0.002	0.0	0.039	0.0	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.0	0.043	0.0	0.013	0.004	0.0	0.041	0.0	0.011
CPI-SS0D681D90E	SDC2_ADGRA2	simple:P34741	simple:Q96PE1	SDC2	ADGRA2	True	False	True	curated	False	Ligand-Receptor	Signaling by Syndecan	0.159	0.187	0.135	0.303	0.163	0.045	0.073	0.021	0.189	0.048	0.45	0.479	0.426	0.594	0.454	0.343	0.371	0.319	0.487	0.347	0.072	0.101	0.048	0.217	0.076
CPI-SS02A8BD654	TAC1_TACR1	simple:P20366	simple:P25103	TAC1	TACR1	True	False	True	curated	False	Ligand-Receptor	Signaling by Tachykinins	0.005	0.0	0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.383	0.0	0.0	0.385	0.0	0.012	0.0	0.0	0.014	0.0
CPI-SS05A3055C3	TNFSF10_TNFRSF11B	simple:P50591	simple:O00300	TNFSF10	TNFRSF11B	True	False	False	curated	False	Ligand-Receptor	Signaling by Tumor necrosis factor	0.0	0.0	0.0	0.0	0.0	0.004	0.018	0.006	0.006	0.0	0.03	0.044	0.032	0.032	0.0	0.012	0.026	0.014	0.014	0.0	0.002	0.016	0.005	0.004	0.0
CPI-SS0C03F7CDC	VEGFA_KDR	simple:P15692	simple:P35968	VEGFA	KDR	True	False	True	curated	False	Ligand-Receptor	Signaling by Vascular endothelial growth factor	0.682	1.336	0.554	0.603	0.598	0.473	1.127	0.345	0.394	0.389	0.845	1.499	0.717	0.766	0.761	0.849	1.503	0.721	0.771	0.766	0.745	1.399	0.617	0.666	0.661
