gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	CF	CM	EC	OTH
SULT1E1	P49888	True	ST1E1_HUMAN	DHEAsulfate_bySULT1E1	CPI-CS0917E42F5	SULT1E1	0.001	0.002	0.0	0.304
ALDH1A1	P00352	True	AL1A1_HUMAN	atRetinoicAcid_byALDH1A1	CPI-CS08EE9E5CE	ALDH1A1	0.007	0.003	0.0	1.596
ALDH1A2	O94788	True	AL1A2_HUMAN	atRetinoicAcid_byALDH1A2	CPI-CS033058D2B	ALDH1A2	0.0	0.001	0.0	0.006
ALDH1A3	P47895	True	AL1A3_HUMAN	atRetinoicAcid_byALDH1A3	CPI-CS0C61C245A	ALDH1A3	0.004	0.0	0.0	0.0
PTGES	O14684	True	PTGES_HUMAN	ProstaglandinE2_byPTGES	CPI-CS023F349AF	PTGES	0.05	0.004	0.0	0.0
CDH5	P33151	False	CADH5_HUMAN		CPI-SS00C24ED50	CDH5	0.008	0.002	1.069	0.008
CDH6	P55285	False	CADH6_HUMAN		CPI-SS0C53F7672	CDH6	0.043	0.002	0.0	0.026
CDH7	Q9ULB5	False	CADH7_HUMAN		CPI-SS0BE3D537D	CDH7	0.038	0.004	0.014	0.0
CEACAM6	P40199	False	CEAM6_HUMAN		CPI-SS001BF66E8	CEACAM6	0.0	0.0	0.0	0.097
CLSTN2	Q9H4D0	False	CSTN2_HUMAN		CPI-SS01A7DC3C1	CLSTN2	0.003	0.007	0.0	0.005
LRRTM1	Q86UE6	False	LRRT1_HUMAN		CPI-SS0EEFFA23C	LRRTM1	0.002	0.001	0.0	0.0
LRRTM3	Q86VH5	False	LRRT3_HUMAN		CPI-SS026EC3854	LRRTM3	0.01	0.012	0.0	0.0
LRRTM4	Q86VH4	False	LRRT4_HUMAN		CPI-SS0F97A06CD	LRRTM4	0.015	0.004	0.0	0.0
FN1	P02751	False	FINC_HUMAN		CPI-SC034EE8AAA	FN1	2.845	0.27	0.894	1.97
VCAM1	P19320	False	VCAM1_HUMAN		CPI-SC06C0A2080	VCAM1	0.077	1.47	0.024	0.188
GJA1	P17302	False	CXA1_HUMAN		CPI-SS04829AC68	GJA1	0.722	0.254	0.965	0.044
F2	P00734	False	THRB_HUMAN		CPI-SS058209EC7	F2	0.003	0.002	0.0	1.171
THBS1	P07996	False	TSP1_HUMAN		CPI-SS0C93E48D7	THBS1	0.203	0.039	0.088	0.017
AGT	P01019	False	ANGT_HUMAN		CPI-SS05996C8FD	AGT	0.111	0.028	0.003	1.695
BDNF	P23560	False	BDNF_HUMAN		CPI-SS0BA601DC4	BDNF	0.024	0.004	0.0	0.0
CLSTN2	Q9H4D0	False	CSTN2_HUMAN		CPI-SS09A6C048C	CLSTN2	0.003	0.007	0.0	0.005
LRRTM1	Q86UE6	False	LRRT1_HUMAN		CPI-SS043D3630C	LRRTM1	0.002	0.001	0.0	0.0
LRRTM3	Q86VH5	False	LRRT3_HUMAN		CPI-SS0626DF0EB	LRRTM3	0.01	0.012	0.0	0.0
LRRTM4	Q86VH4	False	LRRT4_HUMAN		CPI-SS03466C597	LRRTM4	0.015	0.004	0.0	0.0
CCL21	O00585	False	CCL21_HUMAN		CPI-SS0ECD9BB5E	CCL21	0.345	0.229	0.037	0.022
CXCL1	P09341	False	GROA_HUMAN		CPI-SS08102DC9E	CXCL1	0.025	0.0	0.0	0.0
CXCL3	P19876	False	CXCL3_HUMAN		CPI-SS09185EA8F	CXCL3	0.016	0.0	0.0	0.0
CXCL6	P80162	False	CXCL6_HUMAN		CPI-SS093B46106	CXCL6	0.011	0.0	0.0	0.0
CXCL8	P10145	False	IL8_HUMAN		CPI-SS0315F51DD	CXCL8	0.046	0.0	0.025	0.0
CXCL12	P48061	False	SDF1_HUMAN		CPI-SS0A28DCA72	CXCL12	0.294	0.21	0.0	0.058
CXCL14	O95715	False	CXL14_HUMAN		CPI-SS0669CC233	CXCL14	0.023	0.017	0.0	0.187
C1QL1	O75973	False	C1QRF_HUMAN		CPI-SS0F62347D4	C1QL1	0.019	0.025	0.0	0.014
EDN1	P05305	False	EDN1_HUMAN		CPI-SS0D8632EB4	EDN1	0.137	0.004	0.084	0.069
EDN2	P20800	False	EDN2_HUMAN		CPI-SS056AA08CF	EDN2	0.0	0.001	0.0	0.0
EDN3	P14138	False	EDN3_HUMAN		CPI-SS03D5CBF55	EDN3	0.001	0.0	0.0	0.0
EFNA5	P52803	False	EFNA5_HUMAN		CPI-SS0FC01B947	EFNA5	0.102	0.021	0.0	0.0
EFNB2	P52799	False	EFNB2_HUMAN		CPI-SS087E0E3FB	EFNB2	0.114	0.063	0.521	0.051
EFNA5	P52803	False	EFNA5_HUMAN		CPI-SS09E3F5044	EFNA5	0.102	0.021	0.0	0.0
EFNB2	P52799	False	EFNB2_HUMAN		CPI-SS05ABE6795	EFNB2	0.114	0.063	0.521	0.051
AREG	P15514	False	AREG_HUMAN		CPI-SS052119104	AREG	0.074	0.133	0.053	0.491
FGF2	P09038	False	FGF2_HUMAN		CPI-SS01F67987A	FGF2	0.077	0.018	0.018	0.053
FGF5	P12034	False	FGF5_HUMAN		CPI-SS01333FFA6	FGF5	0.016	0.002	0.0	0.0
FLRT3	Q9NZU0	False	FLRT3_HUMAN		CPI-SS08BFFB96E	FLRT3	0.011	0.003	0.0	0.153
TENM1	Q9UKZ4	False	TEN1_HUMAN		CPI-SS083BB1EB3	TENM1	0.005	0.002	0.0	0.0
TENM3	Q9P273	False	TEN3_HUMAN		CPI-SS075F456AF	TENM3	0.211	0.039	0.007	0.033
GRP	P07492	False	GRP_HUMAN		CPI-SS07AF9303D	GRP	0.002	0.006	0.0	0.0
PENK	P01210	False	PENK_HUMAN		CPI-SS09F7A6011	PENK	0.839	0.008	0.0	0.002
MDK	P21741	False	MK_HUMAN		CPI-SS027E12A36	MDK	2.054	1.007	0.22	1.395
PTN	P21246	False	PTN_HUMAN		CPI-SS04E690D72	PTN	1.313	0.483	0.0	0.026
CNTN1	Q12860	False	CNTN1_HUMAN		CPI-SS0730D1EF3	CNTN1	0.004	0.021	0.0	0.0
DLK1	P80370	False	DLK1_HUMAN		CPI-SS007AA9FDE	DLK1	1.587	0.041	0.481	2.078
JAG1	P78504	False	JAG1_HUMAN		CPI-SS0B99F22A2	JAG1	0.33	0.16	0.36	0.065
PGF	P49763	False	PLGF_HUMAN		CPI-SS07361522F	PGF	0.092	0.018	0.252	0.019
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SS0B9B3870A	VEGFA	1.178	0.797	0.408	1.336
PGF	P49763	False	PLGF_HUMAN		CPI-SC0B51DC960	PGF	0.092	0.018	0.252	0.019
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SC0AFC650CD	VEGFA	1.178	0.797	0.408	1.336
PGF	P49763	False	PLGF_HUMAN		CPI-SS065D9259F	PGF	0.092	0.018	0.252	0.019
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SS046F8AD8B	VEGFA	1.178	0.797	0.408	1.336
PDGFA	P04085	False	PDGFA_HUMAN		CPI-SS0B70EB09E	PDGFA	0.216	0.052	0.765	0.025
NPY	P01303	False	NPY_HUMAN		CPI-SS0666DE74B	NPY	0.062	0.001	0.0	0.0
NPY	P01303	False	NPY_HUMAN		CPI-SS0E2083FAC	NPY	0.062	0.001	0.0	0.0
GNRH2	O43555	False	GON2_HUMAN		CPI-SS0D9BC4188	GNRH2	0.0	0.0	0.0	0.011
RSPO2	Q6UXX9	False	RSPO2_HUMAN		CPI-SS056D0AD0D	RSPO2	0.0	0.0	0.0	0.0
RSPO3	Q9BXY4	False	RSPO3_HUMAN		CPI-SS0C3906934	RSPO3	0.264	1.121	0.018	0.094
VIP	P01282	False	VIP_HUMAN		CPI-SS02CAD3BF8	VIP	0.0	0.0	0.015	0.0
SEMA3E	O15041	False	SEM3E_HUMAN		CPI-SS0F3A089DE	SEMA3E	0.015	0.012	0.0	0.017
SST	P61278	False	SMS_HUMAN		CPI-SS0FE594C97	SST	0.0	0.0	0.0	0.0
SDC2	P34741	False	SDC2_HUMAN		CPI-SS0D681D90E	SDC2	0.616	0.219	0.018	1.15
TAC1	P20366	False	TKN1_HUMAN		CPI-SS02A8BD654	TAC1	0.506	0.007	0.0	0.003
TNFSF10	P50591	False	TNF10_HUMAN		CPI-SS05A3055C3	TNFSF10	0.026	0.001	0.055	0.188
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SS0C03F7CDC	VEGFA	1.178	0.797	0.408	1.336
WNT2B	Q93097	False	WNT2B_HUMAN		CPI-SS0786D3749	WNT2B	0.025	0.013	0.056	0.012
WNT4	P56705	False	WNT4_HUMAN		CPI-SS0EE63435D	WNT4	0.0	0.001	0.0	0.0
WNT5A	P41221	False	WNT5A_HUMAN		CPI-SS007954822	WNT5A	0.149	0.022	0.0	0.035
WNT9A	O14904	False	WNT9A_HUMAN		CPI-SS0EBBBD522	WNT9A	0.001	0.001	0.0	0.0
WNT2B	Q93097	False	WNT2B_HUMAN		CPI-SS05207EFF8	WNT2B	0.025	0.013	0.056	0.012
WNT4	P56705	False	WNT4_HUMAN		CPI-SS036707F4C	WNT4	0.0	0.001	0.0	0.0
