gene	mean	True_mean	True_positive_frac	False_mean	False_positive_frac	log2FC	-log10 p-val	is_significant
MIR1302-2HG	-5.4351403e-09	1.0622898e-09	0.0	-3.594323e-09	0.0	-6.716079e-05	32.77631	0
FAM138A	-5.4351403e-09	1.0622898e-09	0.0	-3.594323e-09	0.0	-6.716079e-05	32.77631	0
OR4F5	-5.4351403e-09	1.0622898e-09	0.0	-3.594323e-09	0.0	-6.716079e-05	32.77631	0
AL627309.1	0.0019202813	0.0024721192	0.00331858407079646	0.0017894268	0.001834862385321101	-0.44500896	0.17290363	0
AL627309.3	-5.4351403e-09	1.0622898e-09	0.0	-3.594323e-09	0.0	-6.716079e-05	32.77631	0
AL627309.2	-5.4351403e-09	1.0622898e-09	0.0	-3.594323e-09	0.0	-6.716079e-05	32.77631	0
AL627309.5	0.019349499	0.022480026	0.029867256637168143	0.018607873	0.020445609436435124	-0.27140155	0.35558033	0
AL627309.4	0.0011900887	0.0026336312	0.0022123893805309734	0.0008480307	0.0007863695937090433	-1.5278131	0.45083174	0
AP006222.2	0.0003559667	0.00064156775	0.0011061946902654867	0.00028833566	0.0002621231979030144	-0.9332743	0.21069086	0
AL732372.1	-5.4351403e-09	1.0622898e-09	0.0	-3.594323e-09	0.0	-6.716079e-05	32.77631	0
OR4F29	-5.4351403e-09	1.0622898e-09	0.0	-3.594323e-09	0.0	-6.716079e-05	32.77631	0
AC114498.1	-5.4351403e-09	1.0622898e-09	0.0	-3.594323e-09	0.0	-6.716079e-05	32.77631	0
OR4F16	-5.4351403e-09	1.0622898e-09	0.0	-3.594323e-09	0.0	-6.716079e-05	32.77631	0
AL669831.2	0.001177842	0.00066061044	0.0011061946902654867	0.0013004345	0.001310615989515072	0.88064474	0.3284081	0
LINC01409	0.060423333	0.06262385	0.0752212389380531	0.0599029	0.06317169069462647	-0.063981906	0.12472349	0
FAM87B	0.00024809086	1.0622898e-09	0.0	0.00030687792	0.0002621231979030144	2.0245807	0.49843758	0
LINC01128	0.13353297	0.120261684	0.14933628318584072	0.13667282	0.14102228047182175	0.18440534	0.78465354	0
LINC00115	0.009111597	0.0066332696	0.007743362831858407	0.009699073	0.00943643512450852	0.5413381	0.4884227	0
FAM41C	0.009066432	0.0142647205	0.017699115044247787	0.007835042	0.007863695937090432	-0.85622025	0.97023016	0
AL645608.6	0.00014756352	1.0622898e-09	0.0	0.00018252974	0.0002621231979030144	1.4983875	0.49846712	0
AL645608.2	0.0052650236	0.003558738	0.004424778761061947	0.0056695044	0.006290956749672346	0.6571012	0.48403448	0
AL645608.4	0.0005704925	0.0008802652	0.0011061946902654867	0.000497098	0.0005242463958060288	-0.7152043	0.1631591	0
LINC02593	0.04817942	0.034785204	0.0420353982300885	0.05135215	0.04980340760157274	0.56061614	1.6466181	0
SAMD11	0.33439058	0.31837338	0.31526548672566373	0.3381832	0.2985583224115334	0.08705876	0.5185287	0
NOC2L	0.2309384	0.26066002	0.30973451327433627	0.22389108	0.22647444298820446	-0.21928133	1.7355318	0
KLHL17	0.011368089	0.020536046	0.02654867256637168	0.009196007	0.010222804718217562	-1.1504836	1.8838859	0
PLEKHN1	0.001218247	0.0010059712	0.0011061946902654867	0.0012684666	0.001310615989515072	0.3072464	0.08595201	0
PERM1	-5.4351403e-09	1.0622898e-09	0.0	-3.594323e-09	0.0	-6.716079e-05	32.77631	0
AL645608.7	0.0015862678	0.003219006	0.00331858407079646	0.0011993838	0.001310615989515072	-1.3529238	0.5029123	0
HES4	0.31694537	0.3914316	0.38163716814159293	0.2992899	0.27575360419397116	-0.38710317	5.2261558	0
ISG15	0.22841053	0.24598804	0.2942477876106195	0.22424091	0.21887287024901703	-0.1334818	0.8037901	0
AL645608.1	0.0002435621	1.0622898e-09	0.0	0.00030127715	0.0002621231979030144	2.0045838	0.4984326	0
AGRN	0.08398656	0.091695756	0.1084070796460177	0.08216227	0.08676277850589777	-0.15819661	0.45432872	0
AL645608.5	-5.4351403e-09	1.0622898e-09	0.0	-3.594323e-09	0.0	-6.716079e-05	32.77631	0
AL645608.8	-5.4351403e-09	1.0622898e-09	0.0	-3.594323e-09	0.0	-6.716079e-05	32.77631	0
RNF223	-5.4351403e-09	1.0622898e-09	0.0	-3.594323e-09	0.0	-6.716079e-05	32.77631	0
C1orf159	0.016924968	0.017455503	0.025442477876106196	0.016799472	0.01834862385321101	-0.05494514	0.055795427	0
AL390719.3	0.00012053752	0.0006291519	0.0011061946902654867	-3.594323e-09	0.0	-2.8662713	0.49816713	0
LINC01342	-5.4351403e-09	1.0622898e-09	0.0	-3.594323e-09	0.0	-6.716079e-05	32.77631	0
AL390719.2	-5.4351403e-09	1.0622898e-09	0.0	-3.594323e-09	0.0	-6.716079e-05	32.77631	0
TTLL10-AS1	-5.4351403e-09	1.0622898e-09	0.0	-3.594323e-09	0.0	-6.716079e-05	32.77631	0
TTLL10	0.00019527954	1.0622898e-09	0.0	0.00024155597	0.0002621231979030144	1.7721068	0.49844223	0
TNFRSF18	0.00073072274	0.0015082163	0.0011061946902654867	0.00054659066	0.0005242463958060288	-1.3145368	0.27002496	0
TNFRSF4	0.0005569019	1.0622898e-09	0.0	0.0006888647	0.001310615989515072	2.9797626	1.5273198	0
SDF4	0.45770606	0.50517666	0.5088495575221239	0.44645822	0.41048492791612057	-0.17822534	2.3701522	0
B3GALT6	0.15478258	0.14908926	0.18141592920353983	0.15612653	0.16304062909567496	0.06649573	0.23459297	0
C1QTNF12	0.0040644025	0.0027178219	0.004424778761061947	0.004383592	0.00471821756225426	0.6700745	0.45319653	0
AL162741.1	0.0008770448	0.0018991464	0.0022123893805309734	0.00063488464	0.0005242463958060288	-1.4437944	0.4182669	0
UBE2J2	0.2765578	0.28845763	0.3274336283185841	0.27373585	0.2694626474442988	-0.07554819	0.42288643	0
LINC01786	0.0010246626	0.0025375718	0.00331858407079646	0.00066604704	0.0007863695937090433	-1.7837056	0.661722	0
