gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	CM	EC	EP	PR	UN	nan
NRXN3	Q9HDB5	False	NRX3B_HUMAN		CPI-SS026EC3854	NRXN3	0.008	0.0	0.013	0.0	0.002	0.012
NRXN3	Q9HDB5	False	NRX3B_HUMAN		CPI-SS0F97A06CD	NRXN3	0.008	0.0	0.013	0.0	0.002	0.012
F2R	P25116	False	PAR1_HUMAN		CPI-SS058209EC7	F2R	0.061	0.594	0.103	0.4	0.004	0.582
CD36	P16671	False	CD36_HUMAN		CPI-SS0C93E48D7	CD36	0.016	0.0	0.013	0.2	0.0	0.005
AGTR1	P30556	False	AGTR1_HUMAN		CPI-SS05996C8FD	AGTR1	0.002	0.014	0.538	0.0	0.0	0.024
NTRK2	Q16620	False	NTRK2_HUMAN		CPI-SS0BA601DC4	NTRK2	0.005	0.0	0.0	0.0	0.002	0.203
NRXN1	Q9ULB1	False	NRX1A_HUMAN		CPI-SS09A6C048C	NRXN1	0.451	0.13	0.09	0.0	0.105	0.081
NRXN1	Q9ULB1	False	NRX1A_HUMAN		CPI-SS043D3630C	NRXN1	0.451	0.13	0.09	0.0	0.105	0.081
NRXN1	Q9ULB1	False	NRX1A_HUMAN		CPI-SS0626DF0EB	NRXN1	0.451	0.13	0.09	0.0	0.105	0.081
NRXN1	Q9ULB1	False	NRX1A_HUMAN		CPI-SS03466C597	NRXN1	0.451	0.13	0.09	0.0	0.105	0.081
ACKR4	Q9NPB9	False	ACKR4_HUMAN		CPI-SS0ECD9BB5E	ACKR4	0.003	0.0	0.013	0.0	0.008	0.01
CXCR2	P25025	False	CXCR2_HUMAN		CPI-SS08102DC9E	CXCR2	0.002	0.0	0.0	0.0	0.0	0.015
CXCR2	P25025	False	CXCR2_HUMAN		CPI-SS09185EA8F	CXCR2	0.002	0.0	0.0	0.0	0.0	0.015
CXCR2	P25025	False	CXCR2_HUMAN		CPI-SS093B46106	CXCR2	0.002	0.0	0.0	0.0	0.0	0.015
CXCR2	P25025	False	CXCR2_HUMAN		CPI-SS0315F51DD	CXCR2	0.002	0.0	0.0	0.0	0.0	0.015
CXCR4	P61073	False	CXCR4_HUMAN		CPI-SS0A28DCA72	CXCR4	0.007	0.435	0.013	0.0	0.0	0.186
CXCR4	P61073	False	CXCR4_HUMAN		CPI-SS0669CC233	CXCR4	0.007	0.435	0.013	0.0	0.0	0.186
ADGRB3	O60242	False	AGRB3_HUMAN		CPI-SS0F62347D4	ADGRB3	0.006	0.029	0.0	0.0	0.002	0.037
PPARG	P37231	False	PPARG_HUMAN		CPI-CS0917E42F5	PPARG	0.004	0.304	0.667	0.2	0.002	0.103
EDNRA	P25101	False	EDNRA_HUMAN		CPI-SS0D8632EB4	EDNRA	0.147	0.0	0.038	0.4	0.027	0.142
EDNRA	P25101	False	EDNRA_HUMAN		CPI-SS056AA08CF	EDNRA	0.147	0.0	0.038	0.4	0.027	0.142
EDNRA	P25101	False	EDNRA_HUMAN		CPI-SS03D5CBF55	EDNRA	0.147	0.0	0.038	0.4	0.027	0.142
EPHA4	P54764	False	EPHA4_HUMAN		CPI-SS0FC01B947	EPHA4	0.317	0.0	0.026	0.0	0.076	0.027
EPHA4	P54764	False	EPHA4_HUMAN		CPI-SS087E0E3FB	EPHA4	0.317	0.0	0.026	0.0	0.076	0.027
EPHA5	P54756	False	EPHA5_HUMAN		CPI-SS09E3F5044	EPHA5	0.001	0.0	0.0	0.0	0.002	0.012
EPHB6	O15197	False	EPHB6_HUMAN		CPI-SS05ABE6795	EPHB6	0.013	0.014	0.051	0.0	0.012	0.09
EGFR	P00533	False	EGFR_HUMAN		CPI-SS052119104	EGFR	0.005	0.0	0.551	0.4	0.006	0.289
FGFR1	P11362	False	FGFR1_HUMAN		CPI-SS01F67987A	FGFR1	0.275	0.536	0.103	0.4	0.09	0.526
FGFR1	P11362	False	FGFR1_HUMAN		CPI-SS01333FFA6	FGFR1	0.275	0.536	0.103	0.4	0.09	0.526
ADGRL2	O95490	False	AGRL2_HUMAN		CPI-SS08BFFB96E	ADGRL2	0.086	0.623	0.128	0.2	0.039	0.428
ADGRL2	O95490	False	AGRL2_HUMAN		CPI-SS083BB1EB3	ADGRL2	0.086	0.623	0.128	0.2	0.039	0.428
ADGRL2	O95490	False	AGRL2_HUMAN		CPI-SS075F456AF	ADGRL2	0.086	0.623	0.128	0.2	0.039	0.428
GRPR	P30550	False	GRPR_HUMAN		CPI-SS07AF9303D	GRPR	0.001	0.0	0.0	0.0	0.0	0.0
GHSR	Q92847	False	GHSR_HUMAN		CPI-SS09F7A6011	GHSR	0.0	0.0	0.0	0.0	0.0	0.0
PTPRZ1	P23471	False	PTPRZ_HUMAN		CPI-SS027E12A36	PTPRZ1	0.001	0.0	0.0	0.0	0.0	0.002
PTPRZ1	P23471	False	PTPRZ_HUMAN		CPI-SS04E690D72	PTPRZ1	0.001	0.0	0.0	0.0	0.0	0.002
MCAM	P43121	False	MUC18_HUMAN		CPI-SS0730D1EF3	MCAM	0.233	0.623	0.013	0.6	0.049	0.12
NOTCH3	Q9UM47	False	NOTC3_HUMAN		CPI-SS007AA9FDE	NOTCH3	0.065	0.058	0.026	0.2	0.012	0.227
NOTCH3	Q9UM47	False	NOTC3_HUMAN		CPI-SS0B99F22A2	NOTCH3	0.065	0.058	0.026	0.2	0.012	0.227
FLT1	P17948	False	VGFR1_HUMAN		CPI-SS07361522F	FLT1	0.073	1.0	0.051	0.4	0.029	0.477
FLT1	P17948	False	VGFR1_HUMAN		CPI-SS0B9B3870A	FLT1	0.073	1.0	0.051	0.4	0.029	0.477
NRP2	O60462	False	NRP2_HUMAN		CPI-SS065D9259F	NRP2	0.212	0.928	0.128	0.0	0.057	0.24
NRP2	O60462	False	NRP2_HUMAN		CPI-SS046F8AD8B	NRP2	0.212	0.928	0.128	0.0	0.057	0.24
PDGFRA	P16234	False	PGFRA_HUMAN		CPI-SS0B70EB09E	PDGFRA	0.042	0.043	0.013	0.0	0.014	0.548
NPY1R	P25929	False	NPY1R_HUMAN		CPI-SS0666DE74B	NPY1R	0.071	0.0	0.0	0.0	0.014	0.01
NPY2R	P49146	False	NPY2R_HUMAN		CPI-SS0E2083FAC	NPY2R	0.0	0.0	0.0	0.0	0.0	0.012
GNRHR	P30968	False	GNRHR_HUMAN		CPI-SS0D9BC4188	GNRHR	0.0	0.0	0.0	0.0	0.002	0.0
PTGER4	P35408	False	PE2R4_HUMAN		CPI-CS023F349AF	PTGER4	0.0	0.0	0.013	0.0	0.002	0.012
LGR5	O75473	False	LGR5_HUMAN		CPI-SS056D0AD0D	LGR5	0.0	0.0	0.051	0.0	0.0	0.005
LGR5	O75473	False	LGR5_HUMAN		CPI-SS0C3906934	LGR5	0.0	0.0	0.051	0.0	0.0	0.005
RORB	Q92753	False	RORB_HUMAN		CPI-CS08EE9E5CE	RORB	0.001	0.0	0.0	0.0	0.002	0.088
RORB	Q92753	False	RORB_HUMAN		CPI-CS033058D2B	RORB	0.001	0.0	0.0	0.0	0.002	0.088
RORB	Q92753	False	RORB_HUMAN		CPI-CS0C61C245A	RORB	0.001	0.0	0.0	0.0	0.002	0.088
SCTR	P47872	False	SCTR_HUMAN		CPI-SS02CAD3BF8	SCTR	0.0	0.0	0.0	0.0	0.002	0.0
PLXND1	Q9Y4D7	False	PLXD1_HUMAN		CPI-SS0F3A089DE	PLXND1	0.115	0.797	0.077	0.6	0.029	0.23
SSTR2	P30874	False	SSR2_HUMAN		CPI-SS0FE594C97	SSTR2	0.005	0.0	0.308	0.2	0.0	0.015
ADGRA2	Q96PE1	False	AGRA2_HUMAN		CPI-SS0D681D90E	ADGRA2	0.068	0.217	0.0	0.4	0.023	0.43
TACR1	P25103	False	NK1R_HUMAN		CPI-SS02A8BD654	TACR1	0.002	0.0	0.0	0.0	0.002	0.017
TNFRSF11B	O00300	False	TR11B_HUMAN		CPI-SS05A3055C3	TNFRSF11B	0.007	0.043	0.051	0.0	0.0	0.042
KDR	P35968	False	VGFR2_HUMAN		CPI-SS0C03F7CDC	KDR	0.397	0.899	0.09	0.2	0.105	0.134
FRZB	Q92765	False	SFRP3_HUMAN		CPI-SS0786D3749	FRZB	0.245	0.014	0.026	0.0	0.066	0.086
FRZB	Q92765	False	SFRP3_HUMAN		CPI-SS0EE63435D	FRZB	0.245	0.014	0.026	0.0	0.066	0.086
FRZB	Q92765	False	SFRP3_HUMAN		CPI-SS007954822	FRZB	0.245	0.014	0.026	0.0	0.066	0.086
FRZB	Q92765	False	SFRP3_HUMAN		CPI-SS0EBBBD522	FRZB	0.245	0.014	0.026	0.0	0.066	0.086
SFRP1	Q8N474	False	SFRP1_HUMAN		CPI-SS05207EFF8	SFRP1	0.873	0.551	0.218	0.2	0.246	0.826
SFRP1	Q8N474	False	SFRP1_HUMAN		CPI-SS036707F4C	SFRP1	0.873	0.551	0.218	0.2	0.246	0.826
SFRP1	Q8N474	False	SFRP1_HUMAN		CPI-SS0F1E79A03	SFRP1	0.873	0.551	0.218	0.2	0.246	0.826
SFRP1	Q8N474	False	SFRP1_HUMAN		CPI-SS0A93EEAEB	SFRP1	0.873	0.551	0.218	0.2	0.246	0.826
SFRP2	Q96HF1	False	SFRP2_HUMAN		CPI-SS08643DD8A	SFRP2	0.001	0.0	0.0	0.0	0.002	0.0
SFRP2	Q96HF1	False	SFRP2_HUMAN		CPI-SS0661CE946	SFRP2	0.001	0.0	0.0	0.0	0.002	0.0
SFRP2	Q96HF1	False	SFRP2_HUMAN		CPI-SS03F33B34C	SFRP2	0.001	0.0	0.0	0.0	0.002	0.0
SFRP2	Q96HF1	False	SFRP2_HUMAN		CPI-SS00877D499	SFRP2	0.001	0.0	0.0	0.0	0.002	0.0
