gene	mean	Fus-HO_mean	Fus-HO_positive_frac	VasHO_mean	VasHO_positive_frac	log2FC	-log10 p-val	is_significant
MIR1302-2HG	9.749783e-10	-9.458745e-11	0.0	4.8748916e-10	0.0	8.427125e-06	44.55244	0
FAM138A	9.749783e-10	-9.458745e-11	0.0	4.8748916e-10	0.0	8.427125e-06	44.55244	0
OR4F5	9.749783e-10	-9.458745e-11	0.0	4.8748916e-10	0.0	8.427125e-06	44.55244	0
AL627309.1	0.0029250884	0.0024359203	0.003125	0.0032546923	0.004210526315789474	0.40367106	0.09268022	0
AL627309.3	9.749783e-10	-9.458745e-11	0.0	4.8748916e-10	0.0	8.427125e-06	44.55244	0
AL627309.2	9.749783e-10	-9.458745e-11	0.0	4.8748916e-10	0.0	8.427125e-06	44.55244	0
AL627309.5	0.031792462	0.037010524	0.040625	0.028277822	0.04	-0.3870646	0.31428885	0
AL627309.4	0.003012768	0.005119084	0.00625	0.0015938075	0.002105263157894737	-1.6235267	0.42870364	0
AP006222.2	9.749783e-10	-9.458745e-11	0.0	4.8748916e-10	0.0	8.427125e-06	44.55244	0
AL732372.1	9.749783e-10	-9.458745e-11	0.0	4.8748916e-10	0.0	8.427125e-06	44.55244	0
OR4F29	9.749783e-10	-9.458745e-11	0.0	4.8748916e-10	0.0	8.427125e-06	44.55244	0
AC114498.1	9.749783e-10	-9.458745e-11	0.0	4.8748916e-10	0.0	8.427125e-06	44.55244	0
OR4F16	9.749783e-10	-9.458745e-11	0.0	4.8748916e-10	0.0	8.427125e-06	44.55244	0
AL669831.2	0.0007783044	-9.458745e-11	0.0	0.0013026347	0.002105263157894737	3.8100688	0.49782002	0
LINC01409	0.04657115	0.06346542	0.065625	0.03519054	0.04421052631578947	-0.8489605	1.1139746	0
FAM87B	0.00053734076	-9.458745e-11	0.0	0.00089933345	0.002105263157894737	3.3209674	0.49781692	0
LINC01128	0.084253095	0.08105877	0.0875	0.08640542	0.11368421052631579	0.09204349	0.10863299	0
LINC00115	0.0068397755	0.007481314	0.009375	0.0064074695	0.008421052631578947	-0.22035126	0.0726113	0
FAM41C	0.008272306	0.0071188775	0.00625	0.009049266	0.014736842105263158	0.34188145	0.124337114	0
AL645608.6	0.00107381	-9.458745e-11	0.0	0.0017972186	0.002105263157894737	4.2458153	0.49782515	0
AL645608.2	0.0057964735	0.012755713	0.0125	0.00110802	0.002105263157894737	-3.4116936	1.133242	0
AL645608.4	9.749783e-10	-9.458745e-11	0.0	4.8748916e-10	0.0	8.427125e-06	44.55244	0
LINC02593	0.0044597364	-9.458745e-11	0.0	0.0074641905	0.010526315789473684	6.241115	1.4690707	0
SAMD11	0.052962575	0.059513457	0.06875	0.04855005	0.05894736842105263	-0.29319668	0.31188512	0
