gene	mean	HO_mean	HO_positive_frac	VasHO_mean	VasHO_positive_frac	log2FC	-log10 p-val	is_significant
MIR1302-2HG	8.367351e-10	-1.3096724e-10	0.0	4.8748916e-10	0.0	8.94307e-06	44.25141	0
FAM138A	8.367351e-10	-1.3096724e-10	0.0	4.8748916e-10	0.0	8.94307e-06	44.25141	0
OR4F5	8.367351e-10	-1.3096724e-10	0.0	4.8748916e-10	0.0	8.94307e-06	44.25141	0
AL627309.1	0.0039527765	0.005644706	0.01020408163265306	0.0032546923	0.004210526315789474	-0.77605253	0.21420613	0
AL627309.3	0.00068551576	0.002346833	0.00510204081632653	4.8748916e-10	0.0	-4.612837	0.4968189	0
AL627309.2	8.367351e-10	-1.3096724e-10	0.0	4.8748916e-10	0.0	8.94307e-06	44.25141	0
AL627309.5	0.03638704	0.056040924	0.10204081632653061	0.028277822	0.04	-0.98428905	1.2998503	0
AL627309.4	0.0019501072	0.002813562	0.00510204081632653	0.0015938075	0.002105263157894737	-0.7825142	0.15103348	0
AP006222.2	8.367351e-10	-1.3096724e-10	0.0	4.8748916e-10	0.0	8.94307e-06	44.25141	0
AL732372.1	8.367351e-10	-1.3096724e-10	0.0	4.8748916e-10	0.0	8.94307e-06	44.25141	0
OR4F29	8.367351e-10	-1.3096724e-10	0.0	4.8748916e-10	0.0	8.94307e-06	44.25141	0
AC114498.1	8.367351e-10	-1.3096724e-10	0.0	4.8748916e-10	0.0	8.94307e-06	44.25141	0
OR4F16	8.367351e-10	-1.3096724e-10	0.0	4.8748916e-10	0.0	8.94307e-06	44.25141	0
AL669831.2	0.00092213386	-1.3096724e-10	0.0	0.0013026347	0.002105263157894737	3.8100693	0.49782002	0
LINC01409	0.032986928	0.027647136	0.04591836734693878	0.03519054	0.04421052631578947	0.34694272	0.2720262	0
FAM87B	0.0006366374	-1.3096724e-10	0.0	0.00089933345	0.002105263157894737	3.3209682	0.49781692	0
LINC01128	0.10029603	0.13396037	0.20918367346938777	0.08640542	0.11368421052631579	-0.63202035	1.3881768	0
LINC00115	0.008918093	0.015002239	0.025510204081632654	0.0064074695	0.008421052631578947	-1.2145939	0.57552725	0
FAM41C	0.0073556723	0.0032512683	0.00510204081632653	0.009049266	0.014736842105263158	1.4489487	0.65897775	0
AL645608.6	0.0022561674	0.0033684103	0.00510204081632653	0.0017972186	0.002105263157894737	-0.8703887	0.1668773	0
AL645608.2	0.009832725	0.03097648	0.03571428571428571	0.00110802	0.002105263157894737	-4.6851068	1.7975538	0
AL645608.4	0.0013715929	0.004695566	0.00510204081632653	4.8748916e-10	0.0	-5.583622	0.49682334	0
LINC02593	0.007912524	0.008998999	0.015306122448979591	0.0074641905	0.010526315789473684	-0.26652223	0.092469595	0
SAMD11	0.052511904	0.062114656	0.09183673469387756	0.04855005	0.05894736842105263	-0.35481313	0.35957965	0
NOC2L	0.23666492	0.26520824	0.3673469387755102	0.22488518	0.2736842105263158	-0.2378394	0.6591724	0
KLHL17	0.030621704	0.02618069	0.04591836734693878	0.032454394	0.04	0.30884922	0.22788632	0
PLEKHN1	0.0039231805	0.002455196	0.00510204081632653	0.0045289146	0.00631578947368421	0.85723984	0.23626405	0
PERM1	0.00078836555	0.002698905	0.00510204081632653	4.8748916e-10	0.0	-4.8067837	0.49682906	0
AL645608.7	0.022638997	0.0065589715	0.01020408163265306	0.029274134	0.029473684210526315	2.141175	1.7907846	0
HES4	0.6442494	0.46430734	0.4846938775510204	0.71849954	0.6252631578947369	0.6297973	6.6434975	1
ISG15	0.28535238	0.24319085	0.3112244897959184	0.30274826	0.3452631578947368	0.31591296	1.0011808	0
AL645608.1	8.367351e-10	-1.3096724e-10	0.0	4.8748916e-10	0.0	8.94307e-06	44.25141	0
AGRN	0.17611255	0.1923305	0.2857142857142857	0.1694206	0.21894736842105264	-0.18287688	0.3852424	0
AL645608.5	8.367351e-10	-1.3096724e-10	0.0	4.8748916e-10	0.0	8.94307e-06	44.25141	0
AL645608.8	8.367351e-10	-1.3096724e-10	0.0	4.8748916e-10	0.0	8.94307e-06	44.25141	0
RNF223	8.367351e-10	-1.3096724e-10	0.0	4.8748916e-10	0.0	8.94307e-06	44.25141	0
C1orf159	0.02524291	0.0238162	0.04081632653061224	0.025831595	0.035789473684210524	0.116722785	0.07080304	0
AL390719.3	8.367351e-10	-1.3096724e-10	0.0	4.8748916e-10	0.0	8.94307e-06	44.25141	0
LINC01342	8.367351e-10	-1.3096724e-10	0.0	4.8748916e-10	0.0	8.94307e-06	44.25141	0
AL390719.2	8.367351e-10	-1.3096724e-10	0.0	4.8748916e-10	0.0	8.94307e-06	44.25141	0
TTLL10-AS1	8.367351e-10	-1.3096724e-10	0.0	4.8748916e-10	0.0	8.94307e-06	44.25141	0
TTLL10	8.367351e-10	-1.3096724e-10	0.0	4.8748916e-10	0.0	8.94307e-06	44.25141	0
