id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	directionality	classification	CM|CM	CM|EN_H	CM|EN_V	CM|EP	CM|FB_H	CM|FB_V	CM|PR	CM|UN	EN_H|CM	EN_H|EN_H	EN_H|EN_V	EN_H|EP	EN_H|FB_H	EN_H|FB_V	EN_H|PR	EN_H|UN	EN_V|CM	EN_V|EN_H	EN_V|EN_V	EN_V|EP	EN_V|FB_H	EN_V|FB_V	EN_V|PR	EN_V|UN	EP|CM	EP|EN_H	EP|EN_V	EP|EP	EP|FB_H	EP|FB_V	EP|PR	EP|UN	FB_H|CM	FB_H|EN_H	FB_H|EN_V	FB_H|EP	FB_H|FB_H	FB_H|FB_V	FB_H|PR	FB_H|UN	FB_V|CM	FB_V|EN_H	FB_V|EN_V	FB_V|EP	FB_V|FB_H	FB_V|FB_V	FB_V|PR	FB_V|UN	PR|CM	PR|EN_H	PR|EN_V	PR|EP	PR|FB_H	PR|FB_V	PR|PR	PR|UN	UN|CM	UN|EN_H	UN|EN_V	UN|EP	UN|FB_H	UN|FB_V	UN|PR	UN|UN
CPI-SS00C24ED50	CDH5_CDH5	simple:P33151	simple:P33151	CDH5	CDH5	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by Cadherin	0.005	0.629	0.761	0.0	0.008	0.004	0.006	0.011	0.629	1.253	1.385	0.0	0.632	0.628	0.63	0.635	0.761	1.385	1.517	0.0	0.764	0.76	0.762	0.767	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.632	0.764	0.0	0.012	0.007	0.01	0.014	0.004	0.628	0.76	0.0	0.007	0.003	0.005	0.01	0.006	0.63	0.762	0.0	0.01	0.005	0.007	0.012	0.011	0.635	0.767	0.0	0.014	0.01	0.012	0.017
CPI-SS0C53F7672	CDH6_CDH6	simple:P55285	simple:P55285	CDH6	CDH6	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by Cadherin	0.003	0.0	0.0	0.016	0.014	0.003	0.024	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016	0.0	0.0	0.03	0.027	0.016	0.037	0.017	0.014	0.0	0.0	0.027	0.024	0.014	0.035	0.014	0.003	0.0	0.0	0.016	0.014	0.003	0.024	0.004	0.024	0.0	0.0	0.037	0.035	0.024	0.045	0.025	0.004	0.0	0.0	0.017	0.014	0.004	0.025	0.004
CPI-SS0BE3D537D	CDH7_CDH7	simple:Q9ULB5	simple:Q9ULB5	CDH7	CDH7	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by Cadherin	0.012	0.013	0.02	0.009	0.037	0.185	0.024	0.01	0.013	0.013	0.02	0.009	0.037	0.186	0.025	0.011	0.02	0.02	0.027	0.016	0.044	0.192	0.031	0.017	0.009	0.009	0.016	0.005	0.033	0.182	0.021	0.007	0.037	0.037	0.044	0.033	0.061	0.209	0.049	0.034	0.185	0.186	0.192	0.182	0.209	0.358	0.197	0.183	0.024	0.025	0.031	0.021	0.049	0.197	0.036	0.022	0.01	0.011	0.017	0.007	0.034	0.183	0.022	0.008
CPI-SS06F83AE58	CD44_SELE	simple:P16070	simple:P16581	CD44	SELE	False	True	False	curated	False	Ligand-Receptor		0.0	0.012	0.0	0.0	0.0	0.0	0.009	0.0	0.0	0.132	0.0	0.0	0.0	0.0	0.13	0.0	0.0	0.095	0.0	0.0	0.0	0.0	0.092	0.0	0.0	0.04	0.0	0.0	0.0	0.0	0.037	0.0	0.0	0.078	0.0	0.0	0.0	0.0	0.075	0.0	0.0	0.029	0.0	0.0	0.0	0.0	0.026	0.0	0.0	0.077	0.0	0.0	0.0	0.0	0.075	0.0	0.0	0.017	0.0	0.0	0.0	0.0	0.014	0.0
CPI-SS04829AC68	GJA1_GJA1	simple:P17302	simple:P17302	GJA1	GJA1	False	False	False	curated	False	Gap-Gap	Adhesion by GAP junction	0.177	0.631	0.603	0.106	0.367	0.189	0.109	0.137	0.631	1.084	1.056	0.559	0.82	0.642	0.562	0.59	0.603	1.056	1.028	0.531	0.792	0.614	0.535	0.562	0.106	0.559	0.531	0.034	0.295	0.117	0.038	0.065	0.367	0.82	0.792	0.295	0.556	0.378	0.298	0.326	0.189	0.642	0.614	0.117	0.378	0.201	0.121	0.149	0.109	0.562	0.535	0.038	0.298	0.121	0.041	0.069	0.137	0.59	0.562	0.065	0.326	0.149	0.069	0.097
CPI-SS0BDC2B411	F2_F2RL3	simple:P00734	simple:Q96RI0	F2	F2RL3	True	False	True	curated	False	Ligand-Receptor	Adhesion by Prothrombin	0.005	0.079	0.096	0.0	0.014	0.0	0.003	0.011	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.42	0.495	0.511	0.0	0.43	0.0	0.419	0.427	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS09B583B3F	F2_THBD	simple:P00734	simple:P07204	F2	THBD	True	False	True	curated	False	Ligand-Receptor	Adhesion by Prothrombin	0.001	0.175	0.118	0.002	0.01	0.001	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.417	0.591	0.534	0.418	0.426	0.417	0.0	0.42	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0C93E48D7	THBS1_CD36	simple:P07996	simple:P16671	THBS1	CD36	False	False	True	curated	False	Ligand-Receptor	Signaling by Thrombospondin precursor	0.019	0.017	0.023	0.017	0.016	0.02	0.232	0.022	0.113	0.112	0.117	0.111	0.11	0.115	0.326	0.116	0.215	0.214	0.219	0.213	0.212	0.217	0.428	0.218	0.01	0.008	0.014	0.008	0.007	0.011	0.223	0.013	0.112	0.111	0.117	0.11	0.109	0.114	0.325	0.115	0.102	0.101	0.107	0.1	0.099	0.104	0.315	0.105	0.025	0.024	0.03	0.023	0.022	0.027	0.239	0.028	0.011	0.009	0.015	0.009	0.008	0.012	0.224	0.014
CPI-SS0E90C46BC	ENTPD1_ADORA2A	simple:P49961	simple:P29274	ENTPD1	ADORA2A	False	False	True	curated	False	Ligand-Receptor	Signaling by Ectonucleoside	0.009	0.135	0.05	0.017	0.033	0.009	0.0	0.012	0.146	0.272	0.186	0.154	0.169	0.146	0.0	0.149	0.205	0.331	0.245	0.213	0.228	0.205	0.0	0.208	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.068	0.195	0.109	0.076	0.092	0.069	0.0	0.071	0.058	0.184	0.098	0.066	0.081	0.058	0.0	0.061	0.11	0.236	0.15	0.118	0.133	0.11	0.0	0.113	0.014	0.14	0.054	0.022	0.037	0.014	0.0	0.017
CPI-CS019C00E02	Androsterone_byHSD17B6_NR1H4	complex:Androsterone_byHSD17B6	simple:Q96RI1		NR1H4	True	False	True	curated	False	Ligand-Receptor	Signaling by Steroids	0.0	0.0	0.0	0.154	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.155	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.154	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.154	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.157	0.0	0.0	0.006	0.0
