id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	directionality	classification	CM|CM	CM|EC	CM|EP	CM|PV	CM|SM	EC|CM	EC|EC	EC|EP	EC|PV	EC|SM	EP|CM	EP|EC	EP|EP	EP|PV	EP|SM	PV|CM	PV|EC	PV|EP	PV|PV	PV|SM	SM|CM	SM|EC	SM|EP	SM|PV	SM|SM
CPI-SS00C24ED50	CDH5_CDH5	simple:P33151	simple:P33151	CDH5	CDH5	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by Cadherin	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0C53F7672	CDH6_CDH6	simple:P55285	simple:P55285	CDH6	CDH6	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by Cadherin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0BE3D537D	CDH7_CDH7	simple:Q9ULB5	simple:Q9ULB5	CDH7	CDH7	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by Cadherin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0889E281D	CADM1_CADM1	simple:Q9BY67	simple:Q9BY67	CADM1	CADM1	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by CADM	100.0	0.0	11.832	18.408	32.943	0.0	0.0	0.0	0.0	0.0	11.832	0.0	1.4	2.178	3.898	18.408	0.0	2.178	3.388	6.064	32.943	0.0	3.898	6.064	10.853
CPI-SS0322747C2	CEACAM5_CEACAM6	simple:P06731	simple:P40199	CEACAM5	CEACAM6	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by CEAM	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS001BF66E8	CEACAM6_CEACAM6	simple:P40199	simple:P40199	CEACAM6	CEACAM6	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by CEAM	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS06F83AE58	CD44_SELE	simple:P16070	simple:P16581	CD44	SELE	False	True	False	curated	False	Ligand-Receptor		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS01A7DC3C1	CLSTN2_NRXN3	simple:Q9H4D0	simple:Q9HDB5	CLSTN2	NRXN3	False	False	False	curated	False	Ligand-Receptor	Signaling by Calsyntenin	24.56	0.0	21.821	84.36	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0C0329180	LRRTM2_NRXN3	simple:O43300	simple:Q9HDB5	LRRTM2	NRXN3	False	False	False	curated	False	Ligand-Receptor	Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS026EC3854	LRRTM3_NRXN3	simple:Q86VH5	simple:Q9HDB5	LRRTM3	NRXN3	False	False	False	curated	False	Ligand-Receptor	Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein	24.56	0.0	21.821	84.36	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0F97A06CD	LRRTM4_NRXN3	simple:Q86VH4	simple:Q9HDB5	LRRTM4	NRXN3	False	False	False	curated	False	Ligand-Receptor	Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein	4.787	0.0	4.253	16.444	19.493	4.668	0.0	4.148	16.035	19.008	0.0	0.0	0.0	0.0	0.0	24.56	0.0	21.821	84.36	100.0	2.01	0.0	1.785	6.903	8.182
CPI-SS0731F750C	NLGN1_NRXN3	simple:Q8N2Q7	simple:Q9HDB5	NLGN1	NRXN3	False	False	False	curated	False	Ligand-Receptor	Signaling by Neuroligin	24.56	0.0	21.821	84.36	100.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.031	0.0	7.136	27.586	32.701
CPI-SS0F9118AB4	NLGN4X_NRXN3	simple:Q8N0W4	simple:Q9HDB5	NLGN4X	NRXN3	False	False	False	curated	False	Ligand-Receptor	Signaling by Neuroligin	4.709	0.0	4.184	16.174	19.172	7.965	0.0	7.077	27.361	32.433	0.0	0.0	0.0	0.0	0.0	15.556	0.0	13.821	53.432	63.338	24.56	0.0	21.821	84.36	100.0
CPI-SS0837C7966	NLGN4Y_NRXN3	simple:Q8NFZ3	simple:Q9HDB5	NLGN4Y	NRXN3	False	False	False	curated	False	Ligand-Receptor		7.284	0.0	6.472	25.021	29.66	24.56	0.0	21.821	84.36	100.0	5.23	0.0	4.647	17.966	21.296	12.007	0.0	10.668	41.244	48.891	0.0	0.0	0.0	0.0	0.0
