id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	directionality	classification	EN_V|EN_V	EN_V|FB_V	EN_V|PR	EN_V|SM	EN_V|UN	FB_V|EN_V	FB_V|FB_V	FB_V|PR	FB_V|SM	FB_V|UN	PR|EN_V	PR|FB_V	PR|PR	PR|SM	PR|UN	SM|EN_V	SM|FB_V	SM|PR	SM|SM	SM|UN	UN|EN_V	UN|FB_V	UN|PR	UN|SM	UN|UN
CPI-SS00C24ED50	CDH5_CDH5	simple:P33151	simple:P33151	CDH5	CDH5	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by Cadherin	1.597	0.812	0.814	0.811	1.051	0.812	0.027	0.029	0.026	0.267	0.814	0.029	0.031	0.028	0.269	0.811	0.026	0.028	0.025	0.266	1.051	0.267	0.269	0.266	0.506
CPI-SS0C53F7672	CDH6_CDH6	simple:P55285	simple:P55285	CDH6	CDH6	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by Cadherin	0.009	0.011	0.024	0.034	0.0	0.011	0.013	0.026	0.036	0.0	0.024	0.026	0.039	0.049	0.0	0.034	0.036	0.049	0.058	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0BE3D537D	CDH7_CDH7	simple:Q9ULB5	simple:Q9ULB5	CDH7	CDH7	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by Cadherin	0.043	0.157	0.062	0.03	0.0	0.157	0.27	0.175	0.143	0.0	0.062	0.175	0.081	0.049	0.0	0.03	0.143	0.049	0.017	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS01A7DC3C1	CLSTN2_NRXN3	simple:Q9H4D0	simple:Q9HDB5	CLSTN2	NRXN3	False	False	False	curated	False	Ligand-Receptor	Signaling by Calsyntenin	0.007	0.017	0.013	0.008	0.0	0.026	0.036	0.032	0.027	0.0	0.008	0.019	0.014	0.01	0.0	0.012	0.023	0.018	0.014	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS026EC3854	LRRTM3_NRXN3	simple:Q86VH5	simple:Q9HDB5	LRRTM3	NRXN3	False	False	False	curated	False	Ligand-Receptor	Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein	0.005	0.016	0.011	0.007	0.0	0.008	0.019	0.014	0.01	0.0	0.006	0.017	0.012	0.008	0.0	0.007	0.018	0.013	0.009	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0F97A06CD	LRRTM4_NRXN3	simple:Q86VH4	simple:Q9HDB5	LRRTM4	NRXN3	False	False	False	curated	False	Ligand-Receptor	Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein	0.008	0.019	0.014	0.01	0.0	0.021	0.031	0.027	0.022	0.0	0.009	0.019	0.015	0.01	0.0	0.01	0.02	0.016	0.011	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0837C7966	NLGN4Y_NRXN3	simple:Q8NFZ3	simple:Q9HDB5	NLGN4Y	NRXN3	False	False	False	curated	False	Ligand-Receptor		0.097	0.107	0.103	0.098	0.0	0.108	0.118	0.114	0.109	0.0	0.082	0.092	0.088	0.083	0.0	0.044	0.054	0.05	0.045	0.0	0.061	0.071	0.066	0.062	0.0
CPI-SS04829AC68	GJA1_GJA1	simple:P17302	simple:P17302	GJA1	GJA1	False	False	False	curated	False	Gap-Gap	Adhesion by GAP junction	1.222	0.661	0.657	0.67	0.755	0.661	0.099	0.095	0.108	0.193	0.657	0.095	0.091	0.105	0.19	0.67	0.108	0.105	0.118	0.203	0.755	0.193	0.19	0.203	0.288
CPI-SS0C93E48D7	THBS1_CD36	simple:P07996	simple:P16671	THBS1	CD36	False	False	True	curated	False	Ligand-Receptor	Signaling by Thrombospondin precursor	0.281	0.241	0.717	0.596	0.246	0.158	0.117	0.594	0.472	0.122	0.14	0.099	0.576	0.454	0.105	0.772	0.732	1.208	1.087	0.737	0.171	0.131	0.607	0.486	0.136
CPI-SS05996C8FD	AGT_AGTR1	simple:P01019	simple:P30556	AGT	AGTR1	True	False	True	curated	False	Ligand-Receptor	Signaling by Angiotensinogen	0.0	0.0	0.0	0.0	0.0	0.022	0.065	0.096	0.037	0.0	0.023	0.066	0.096	0.037	0.0	0.037	0.08	0.111	0.052	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS069924427	AGT_AGTR2	simple:P01019	simple:P50052	AGT	AGTR2	True	False	True	curated	False	Ligand-Receptor	Signaling by Angiotensinogen	0.0	0.0	0.0	0.0	0.0	0.001	0.002	0.001	0.0	0.0	0.001	0.003	0.001	0.0	0.0	0.016	0.017	0.016	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS086CB298F	APLN_APLNR	simple:Q9ULZ1	simple:P35414	APLN	APLNR	True	False	True	curated	False	Ligand-Receptor	Signaling by Apelin	0.841	0.823	0.824	0.0	0.0	0.037	0.02	0.02	0.0	0.0	0.036	0.019	0.019	0.0	0.0	0.033	0.016	0.016	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0E4E83C2E	BDNF_NGFR	simple:P23560	simple:P08138	BDNF	NGFR	True	False	True	curated	False	Ligand-Receptor	Signaling by Brain-derived neurotrophic factor	0.017	0.027	0.025	0.042	0.0	0.085	0.094	0.093	0.109	0.0	0.037	0.047	0.045	0.062	0.0	0.139	0.148	0.146	0.163	0.0	0.134	0.144	0.142	0.158	0.0
CPI-SS0BA601DC4	BDNF_NTRK2	simple:P23560	simple:Q16620	BDNF	NTRK2	True	False	True	curated	False	Ligand-Receptor	Signaling by Brain-derived neurotrophic factor	0.031	0.07	0.056	0.141	0.0	0.099	0.138	0.124	0.209	0.0	0.051	0.09	0.076	0.161	0.0	0.153	0.191	0.177	0.262	0.0	0.148	0.187	0.173	0.258	0.0
CPI-SS0E3AA6B7B	NTN4_NTRK2	simple:Q9HB63	simple:Q16620	NTN4	NTRK2	True	False	True	curated	False	Ligand-Receptor	Signaling by Netrin	0.017	0.056	0.042	0.127	0.0	0.017	0.056	0.042	0.127	0.0	0.02	0.058	0.044	0.129	0.0	0.051	0.09	0.076	0.161	0.0	0.087	0.126	0.112	0.197	0.0
CPI-SS09A6C048C	CLSTN2_NRXN1	simple:Q9H4D0	simple:Q9ULB1	CLSTN2	NRXN1	False	False	False	curated	False	Ligand-Receptor	Signaling by Calsyntenin	0.055	0.298	0.092	0.026	0.084	0.074	0.317	0.111	0.045	0.104	0.057	0.299	0.094	0.028	0.086	0.061	0.303	0.097	0.031	0.09	0.0	0.0	0.0	0.0	0.0
CPI-SS0626DF0EB	LRRTM3_NRXN1	simple:Q86VH5	simple:Q9ULB1	LRRTM3	NRXN1	False	False	False	curated	False	Ligand-Receptor	Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein	0.054	0.296	0.09	0.024	0.083	0.057	0.3	0.094	0.028	0.086	0.055	0.297	0.092	0.026	0.084	0.056	0.298	0.093	0.027	0.085	0.0	0.0	0.0	0.0	0.0
CPI-SS03466C597	LRRTM4_NRXN1	simple:Q86VH4	simple:Q9ULB1	LRRTM4	NRXN1	False	False	False	curated	False	Ligand-Receptor	Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein	0.057	0.299	0.094	0.028	0.086	0.069	0.312	0.106	0.04	0.098	0.057	0.3	0.094	0.028	0.086	0.058	0.301	0.095	0.029	0.088	0.0	0.0	0.0	0.0	0.0
CPI-SS0CCB5F46B	NLGN4Y_NRXN1	simple:Q8NFZ3	simple:Q9ULB1	NLGN4Y	NRXN1	False	False	False	curated	False	Ligand-Receptor	Signaling by Neuroligin	0.145	0.388	0.182	0.116	0.174	0.156	0.399	0.193	0.127	0.185	0.13	0.373	0.167	0.101	0.159	0.092	0.335	0.129	0.063	0.121	0.109	0.352	0.146	0.08	0.138
CPI-SS093707FE0	CLSTN2_NRXN2	simple:Q9H4D0	simple:P58401	CLSTN2	NRXN2	False	False	False	curated	False	Ligand-Receptor	Signaling by Calsyntenin	0.005	0.023	0.016	0.008	0.0	0.024	0.042	0.035	0.027	0.0	0.007	0.025	0.018	0.01	0.0	0.011	0.029	0.022	0.014	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS08D8F6957	LRRTM3_NRXN2	simple:Q86VH5	simple:P58401	LRRTM3	NRXN2	False	False	False	curated	False	Ligand-Receptor	Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein	0.004	0.022	0.015	0.007	0.0	0.007	0.025	0.018	0.01	0.0	0.005	0.023	0.016	0.008	0.0	0.006	0.024	0.017	0.009	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS06157E5AF	LRRTM4_NRXN2	simple:Q86VH4	simple:P58401	LRRTM4	NRXN2	False	False	False	curated	False	Ligand-Receptor	Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein	0.007	0.025	0.018	0.01	0.0	0.019	0.037	0.03	0.022	0.0	0.007	0.025	0.018	0.01	0.0	0.008	0.026	0.019	0.011	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS07C26C799	NLGN4Y_NRXN2	simple:Q8NFZ3	simple:P58401	NLGN4Y	NRXN2	False	False	False	curated	False	Ligand-Receptor	Signaling by Neuroligin	0.095	0.113	0.106	0.098	0.0	0.106	0.124	0.117	0.109	0.0	0.08	0.098	0.091	0.083	0.0	0.042	0.06	0.053	0.045	0.0	0.059	0.077	0.07	0.062	0.0
CPI-SS0AEC33FF1	CCL22_DPP4	simple:O00626	simple:P27487	CCL22	DPP4	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0.037	0.003	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.037	0.003	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0FDAB7BA8	CXCL10_DPP4	simple:P02778	simple:P27487	CXCL10	DPP4	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0.039	0.004	0.003	0.0	0.0	0.048	0.014	0.012	0.0	0.0	0.044	0.01	0.008	0.0	0.0	0.039	0.004	0.002	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0B1B18F2D	CXCL12_DPP4	simple:P48061	simple:P27487	CXCL12	DPP4	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0.062	0.028	0.026	0.0	0.0	0.198	0.163	0.161	0.0	0.0	0.083	0.048	0.047	0.0	0.0	0.101	0.066	0.064	0.0	0.0	0.109	0.074	0.072	0.0	0.0
CPI-SS0315F51DD	CXCL8_CXCR2	simple:P10145	simple:P25025	CXCL8	CXCR2	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0.006	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.001	0.0	0.0	0.0	0.004	0.004	0.0	0.0	0.0	0.088	0.088	0.0	0.0	0.0
CPI-SS0A28DCA72	CXCL12_CXCR4	simple:P48061	simple:P61073	CXCL12	CXCR4	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0.731	0.043	0.091	0.045	0.082	0.866	0.179	0.226	0.18	0.217	0.751	0.064	0.112	0.065	0.102	0.769	0.081	0.129	0.083	0.12	0.777	0.09	0.137	0.091	0.128
CPI-SS0669CC233	CXCL14_CXCR4	simple:O95715	simple:P61073	CXCL14	CXCR4	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0.706	0.019	0.067	0.02	0.058	0.708	0.021	0.069	0.022	0.06	0.707	0.019	0.067	0.021	0.058	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
