gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	CM	EC	EP	FB	UN
ACKR4	Q9NPB9	False	ACKR4_HUMAN		CPI-SS0ECD9BB5E	ACKR4	0.003	0.0	0.013	0.01	0.008
CXCR2	P25025	False	CXCR2_HUMAN		CPI-SS08102DC9E	CXCR2	0.002	0.0	0.0	0.015	0.0
CXCR2	P25025	False	CXCR2_HUMAN		CPI-SS09185EA8F	CXCR2	0.002	0.0	0.0	0.015	0.0
CXCR2	P25025	False	CXCR2_HUMAN		CPI-SS093B46106	CXCR2	0.002	0.0	0.0	0.015	0.0
CXCR2	P25025	False	CXCR2_HUMAN		CPI-SS0315F51DD	CXCR2	0.002	0.0	0.0	0.015	0.0
CXCR4	P61073	False	CXCR4_HUMAN		CPI-SS0A28DCA72	CXCR4	0.007	0.435	0.013	0.186	0.0
CXCR4	P61073	False	CXCR4_HUMAN		CPI-SS0669CC233	CXCR4	0.007	0.435	0.013	0.186	0.0
ADGRB3	O60242	False	AGRB3_HUMAN		CPI-SS0F62347D4	ADGRB3	0.006	0.029	0.0	0.037	0.002
PPARG	P37231	False	PPARG_HUMAN		CPI-CS0917E42F5	PPARG	0.004	0.304	0.667	0.103	0.002
EDNRA	P25101	False	EDNRA_HUMAN		CPI-SS0D8632EB4	EDNRA	0.147	0.0	0.038	0.142	0.027
EDNRA	P25101	False	EDNRA_HUMAN		CPI-SS056AA08CF	EDNRA	0.147	0.0	0.038	0.142	0.027
EDNRA	P25101	False	EDNRA_HUMAN		CPI-SS03D5CBF55	EDNRA	0.147	0.0	0.038	0.142	0.027
EPHA4	P54764	False	EPHA4_HUMAN		CPI-SS0FC01B947	EPHA4	0.317	0.0	0.026	0.027	0.076
EPHA4	P54764	False	EPHA4_HUMAN		CPI-SS087E0E3FB	EPHA4	0.317	0.0	0.026	0.027	0.076
EPHA5	P54756	False	EPHA5_HUMAN		CPI-SS09E3F5044	EPHA5	0.001	0.0	0.0	0.012	0.002
EPHB6	O15197	False	EPHB6_HUMAN		CPI-SS05ABE6795	EPHB6	0.013	0.014	0.051	0.09	0.012
EGFR	P00533	False	EGFR_HUMAN		CPI-SS052119104	EGFR	0.005	0.0	0.551	0.289	0.006
FGFR1	P11362	False	FGFR1_HUMAN		CPI-SS01F67987A	FGFR1	0.275	0.536	0.103	0.526	0.09
FGFR1	P11362	False	FGFR1_HUMAN		CPI-SS01333FFA6	FGFR1	0.275	0.536	0.103	0.526	0.09
ADGRL2	O95490	False	AGRL2_HUMAN		CPI-SS08BFFB96E	ADGRL2	0.086	0.623	0.128	0.428	0.039
ADGRL2	O95490	False	AGRL2_HUMAN		CPI-SS083BB1EB3	ADGRL2	0.086	0.623	0.128	0.428	0.039
ADGRL2	O95490	False	AGRL2_HUMAN		CPI-SS075F456AF	ADGRL2	0.086	0.623	0.128	0.428	0.039
GRPR	P30550	False	GRPR_HUMAN		CPI-SS07AF9303D	GRPR	0.001	0.0	0.0	0.0	0.0
GHSR	Q92847	False	GHSR_HUMAN		CPI-SS09F7A6011	GHSR	0.0	0.0	0.0	0.0	0.0
PTPRZ1	P23471	False	PTPRZ_HUMAN		CPI-SS027E12A36	PTPRZ1	0.001	0.0	0.0	0.002	0.0
PTPRZ1	P23471	False	PTPRZ_HUMAN		CPI-SS04E690D72	PTPRZ1	0.001	0.0	0.0	0.002	0.0
MCAM	P43121	False	MUC18_HUMAN		CPI-SS0730D1EF3	MCAM	0.233	0.623	0.013	0.12	0.049
NOTCH3	Q9UM47	False	NOTC3_HUMAN		CPI-SS007AA9FDE	NOTCH3	0.065	0.058	0.026	0.227	0.012
NOTCH3	Q9UM47	False	NOTC3_HUMAN		CPI-SS0B99F22A2	NOTCH3	0.065	0.058	0.026	0.227	0.012
FLT1	P17948	False	VGFR1_HUMAN		CPI-SS07361522F	FLT1	0.073	1.0	0.051	0.477	0.029
FLT1	P17948	False	VGFR1_HUMAN		CPI-SS0B9B3870A	FLT1	0.073	1.0	0.051	0.477	0.029
NRP2	O60462	False	NRP2_HUMAN		CPI-SS065D9259F	NRP2	0.212	0.928	0.128	0.24	0.057
NRP2	O60462	False	NRP2_HUMAN		CPI-SS046F8AD8B	NRP2	0.212	0.928	0.128	0.24	0.057
PDGFRA	P16234	False	PGFRA_HUMAN		CPI-SS0B70EB09E	PDGFRA	0.042	0.043	0.013	0.548	0.014
NPY1R	P25929	False	NPY1R_HUMAN		CPI-SS0666DE74B	NPY1R	0.071	0.0	0.0	0.01	0.014
NPY2R	P49146	False	NPY2R_HUMAN		CPI-SS0E2083FAC	NPY2R	0.0	0.0	0.0	0.012	0.0
GNRHR	P30968	False	GNRHR_HUMAN		CPI-SS0D9BC4188	GNRHR	0.0	0.0	0.0	0.0	0.002
PTGER4	P35408	False	PE2R4_HUMAN		CPI-CS023F349AF	PTGER4	0.0	0.0	0.013	0.012	0.002
LGR5	O75473	False	LGR5_HUMAN		CPI-SS056D0AD0D	LGR5	0.0	0.0	0.051	0.005	0.0
LGR5	O75473	False	LGR5_HUMAN		CPI-SS0C3906934	LGR5	0.0	0.0	0.051	0.005	0.0
RORB	Q92753	False	RORB_HUMAN		CPI-CS08EE9E5CE	RORB	0.001	0.0	0.0	0.088	0.002
RORB	Q92753	False	RORB_HUMAN		CPI-CS033058D2B	RORB	0.001	0.0	0.0	0.088	0.002
RORB	Q92753	False	RORB_HUMAN		CPI-CS0C61C245A	RORB	0.001	0.0	0.0	0.088	0.002
SCTR	P47872	False	SCTR_HUMAN		CPI-SS02CAD3BF8	SCTR	0.0	0.0	0.0	0.0	0.002
PLXND1	Q9Y4D7	False	PLXD1_HUMAN		CPI-SS0F3A089DE	PLXND1	0.115	0.797	0.077	0.23	0.029
SSTR2	P30874	False	SSR2_HUMAN		CPI-SS0FE594C97	SSTR2	0.005	0.0	0.308	0.015	0.0
ADGRA2	Q96PE1	False	AGRA2_HUMAN		CPI-SS0D681D90E	ADGRA2	0.068	0.217	0.0	0.43	0.023
TACR1	P25103	False	NK1R_HUMAN		CPI-SS02A8BD654	TACR1	0.002	0.0	0.0	0.017	0.002
TNFRSF11B	O00300	False	TR11B_HUMAN		CPI-SS05A3055C3	TNFRSF11B	0.007	0.043	0.051	0.042	0.0
KDR	P35968	False	VGFR2_HUMAN		CPI-SS0C03F7CDC	KDR	0.397	0.899	0.09	0.134	0.105
FRZB	Q92765	False	SFRP3_HUMAN		CPI-SS0786D3749	FRZB	0.245	0.014	0.026	0.086	0.066
FRZB	Q92765	False	SFRP3_HUMAN		CPI-SS0EE63435D	FRZB	0.245	0.014	0.026	0.086	0.066
FRZB	Q92765	False	SFRP3_HUMAN		CPI-SS007954822	FRZB	0.245	0.014	0.026	0.086	0.066
FRZB	Q92765	False	SFRP3_HUMAN		CPI-SS0EBBBD522	FRZB	0.245	0.014	0.026	0.086	0.066
SFRP1	Q8N474	False	SFRP1_HUMAN		CPI-SS05207EFF8	SFRP1	0.873	0.551	0.218	0.826	0.246
SFRP1	Q8N474	False	SFRP1_HUMAN		CPI-SS036707F4C	SFRP1	0.873	0.551	0.218	0.826	0.246
SFRP1	Q8N474	False	SFRP1_HUMAN		CPI-SS0F1E79A03	SFRP1	0.873	0.551	0.218	0.826	0.246
SFRP1	Q8N474	False	SFRP1_HUMAN		CPI-SS0A93EEAEB	SFRP1	0.873	0.551	0.218	0.826	0.246
SFRP2	Q96HF1	False	SFRP2_HUMAN		CPI-SS08643DD8A	SFRP2	0.001	0.0	0.0	0.0	0.002
SFRP2	Q96HF1	False	SFRP2_HUMAN		CPI-SS0661CE946	SFRP2	0.001	0.0	0.0	0.0	0.002
SFRP2	Q96HF1	False	SFRP2_HUMAN		CPI-SS03F33B34C	SFRP2	0.001	0.0	0.0	0.0	0.002
SFRP2	Q96HF1	False	SFRP2_HUMAN		CPI-SS00877D499	SFRP2	0.001	0.0	0.0	0.0	0.002
