id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	directionality	classification	CM|CM	CM|EC	CM|EP	CM|FB	CM|UN	EC|CM	EC|EC	EC|EP	EC|FB	EC|UN	EP|CM	EP|EC	EP|EP	EP|FB	EP|UN	FB|CM	FB|EC	FB|EP	FB|FB	FB|UN	UN|CM	UN|EC	UN|EP	UN|FB	UN|UN
CPI-SS0A28DCA72	CXCL12_CXCR4	simple:P48061	simple:P61073	CXCL12	CXCR4	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0.113	0.388	0.115	0.211	0.0	0.0	0.0	0.0	0.0	0.0	0.032	0.306	0.033	0.129	0.0	0.149	0.424	0.151	0.247	0.0	0.036	0.311	0.038	0.134	0.0
CPI-SS0669CC233	CXCL14_CXCR4	simple:O95715	simple:P61073	CXCL14	CXCR4	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0.011	0.286	0.013	0.109	0.0	0.0	0.0	0.0	0.0	0.0	0.096	0.371	0.098	0.194	0.0	0.014	0.289	0.016	0.112	0.0	0.007	0.282	0.009	0.105	0.0
CPI-SS0F62347D4	C1QL1_ADGRB3	simple:O75973	simple:O60242	C1QL1	ADGRB3	True	False	True	curated	False	Ligand-Receptor	Signaling by Complement	0.015	0.029	0.0	0.026	0.016	0.0	0.0	0.0	0.0	0.0	0.01	0.023	0.0	0.02	0.01	0.012	0.025	0.0	0.022	0.012	0.008	0.022	0.0	0.019	0.009
CPI-CS0917E42F5	DHEAsulfate_bySULT1E1_PPARG	complex:DHEAsulfate_bySULT1E1	simple:P37231		PPARG	True	False	True	curated	False	Ligand-Receptor	Signaling by Dehydroepiandrosterone	0.002	0.137	0.288	0.041	0.003	0.0	0.0	0.0	0.0	0.0	0.153	0.288	0.439	0.192	0.154	0.001	0.136	0.288	0.04	0.002	0.0	0.0	0.0	0.0	0.0
CPI-SS0D8632EB4	EDN1_EDNRA	simple:P05305	simple:P25101	EDN1	EDNRA	True	False	True	curated	False	Ligand-Receptor	Signaling by Endothelin	0.059	0.0	0.013	0.058	0.024	0.1	0.0	0.053	0.098	0.065	0.092	0.0	0.046	0.091	0.057	0.126	0.0	0.079	0.125	0.091	0.063	0.0	0.016	0.061	0.027
CPI-SS056AA08CF	EDN2_EDNRA	simple:P20800	simple:P25101	EDN2	EDNRA	True	False	True	curated	False	Ligand-Receptor	Signaling by Endothelin	0.058	0.0	0.012	0.057	0.023	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.059	0.0	0.012	0.057	0.024
CPI-SS03D5CBF55	EDN3_EDNRA	simple:P14138	simple:P25101	EDN3	EDNRA	True	False	True	curated	False	Ligand-Receptor	Signaling by Endothelin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.058	0.0	0.012	0.057	0.023	0.0	0.0	0.0	0.0	0.0
CPI-SS0FC01B947	EFNA5_EPHA4	simple:P52803	simple:P54764	EFNA5	EPHA4	False	False	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.178	0.0	0.015	0.021	0.086	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.218	0.0	0.055	0.061	0.126	0.171	0.0	0.009	0.015	0.08
CPI-SS087E0E3FB	EFNB2_EPHA4	simple:P52799	simple:P54764	EFNB2	EPHA4	False	True	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.199	0.0	0.037	0.042	0.108	0.427	0.0	0.265	0.27	0.336	0.192	0.0	0.03	0.035	0.101	0.223	0.0	0.061	0.067	0.132	0.181	0.0	0.019	0.024	0.089
CPI-SS09E3F5044	EFNA5_EPHA5	simple:P52803	simple:P54756	EFNA5	EPHA5	False	False	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.011	0.0	0.0	0.014	0.012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.052	0.0	0.0	0.054	0.052	0.005	0.0	0.0	0.008	0.006
CPI-SS05ABE6795	EFNB2_EPHB6	simple:P52799	simple:O15197	EFNB2	EPHB6	True	True	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.037	0.039	0.046	0.068	0.045	0.265	0.267	0.274	0.296	0.273	0.03	0.032	0.038	0.061	0.038	0.061	0.063	0.07	0.093	0.07	0.019	0.021	0.027	0.05	0.027
CPI-SS052119104	AREG_EGFR	simple:P15514	simple:P00533	AREG	EGFR	True	False	True	curated	False	Ligand-Receptor	Signaling by Epidermal growth factor	0.07	0.0	0.249	0.193	0.076	0.028	0.0	0.207	0.151	0.034	0.247	0.0	0.426	0.37	0.253	0.039	0.0	0.218	0.162	0.045	0.046	0.0	0.225	0.169	0.053
CPI-SS01F67987A	FGF2_FGFR1	simple:P09038	simple:P11362	FGF2	FGFR1	True	False	True	curated	False	Ligand-Receptor	Signaling by Fibroblast growth factor	0.124	0.284	0.036	0.255	0.089	0.124	0.283	0.036	0.255	0.088	0.142	0.301	0.053	0.272	0.106	0.154	0.313	0.066	0.285	0.118	0.122	0.281	0.034	0.253	0.086
CPI-SS01333FFA6	FGF5_FGFR1	simple:P12034	simple:P11362	FGF5	FGFR1	True	False	True	curated	False	Ligand-Receptor	Signaling by Fibroblast growth factor	0.116	0.275	0.028	0.247	0.08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.123	0.282	0.035	0.254	0.087	0.118	0.277	0.029	0.249	0.082
CPI-SS08BFFB96E	FLRT3_ADGRL2	simple:Q9NZU0	simple:O95490	FLRT3	ADGRL2	False	False	True	curated	False	Ligand-Receptor	Signaling by Fibronectin	0.034	0.318	0.031	0.188	0.033	0.0	0.0	0.0	0.0	0.0	0.109	0.394	0.107	0.263	0.108	0.038	0.323	0.036	0.192	0.037	0.034	0.319	0.032	0.188	0.033
CPI-SS083BB1EB3	TENM1_ADGRL2	simple:Q9UKZ4	simple:O95490	TENM1	ADGRL2	False	False	True	curated	False	Ligand-Receptor	Signaling by Teneurin	0.033	0.318	0.031	0.187	0.032	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.035	0.32	0.033	0.189	0.034	0.035	0.32	0.033	0.189	0.034
CPI-SS075F456AF	TENM3_ADGRL2	simple:Q9P273	simple:O95490	TENM3	ADGRL2	False	False	True	curated	False	Ligand-Receptor	Signaling by Teneurin	0.053	0.338	0.051	0.207	0.052	0.036	0.321	0.034	0.19	0.035	0.049	0.334	0.047	0.203	0.048	0.138	0.422	0.135	0.292	0.137	0.039	0.324	0.037	0.193	0.038
CPI-SS07AF9303D	GRP_GRPR	simple:P07492	simple:P30550	GRP	GRPR	True	False	True	curated	False	Ligand-Receptor	Signaling by Gastrin	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0
CPI-SS09F7A6011	PENK_GHSR	simple:P01210	simple:Q92847	PENK	GHSR	True	False	True	curated	False	Ligand-Receptor		0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.42	0.0	0.0	0.0	0.0	0.007	0.0	0.0	0.0	0.0
CPI-SS027E12A36	MDK_PTPRZ1	simple:P21741	simple:P23471	MDK	PTPRZ1	True	False	False	curated	False	Ligand-Receptor	Signaling by Midkine	0.524	0.0	0.0	0.525	0.0	0.11	0.0	0.0	0.111	0.0	0.698	0.0	0.0	0.698	0.0	1.027	0.0	0.0	1.028	0.0	0.236	0.0	0.0	0.237	0.0
