gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	CM	EC	EP	PR	UN	nan
SULT1E1	P49888	True	ST1E1_HUMAN	DHEAsulfate_bySULT1E1	CPI-CS0917E42F5	SULT1E1	0.001	0.0	0.377	0.0	0.002	0.0
ALDH1A1	P00352	True	AL1A1_HUMAN	atRetinoicAcid_byALDH1A1	CPI-CS08EE9E5CE	ALDH1A1	0.004	0.0	0.783	0.0	0.005	0.01
ALDH1A2	O94788	True	AL1A2_HUMAN	atRetinoicAcid_byALDH1A2	CPI-CS033058D2B	ALDH1A2	0.005	0.0	0.0	0.0	0.002	0.0
ALDH1A3	P47895	True	AL1A3_HUMAN	atRetinoicAcid_byALDH1A3	CPI-CS0C61C245A	ALDH1A3	0.0	0.0	0.0	0.0	0.0	0.005
PTGES	O14684	True	PTGES_HUMAN	ProstaglandinE2_byPTGES	CPI-CS0F0453B03	PTGES	0.008	0.0	0.0	0.0	0.002	0.046
PTGES	O14684	True	PTGES_HUMAN	ProstaglandinE2_byPTGES	CPI-CS023F349AF	PTGES	0.008	0.0	0.0	0.0	0.002	0.046
CDH5	P33151	False	CADH5_HUMAN		CPI-SS00C24ED50	CDH5	0.002	0.697	0.0	0.0	0.002	0.005
CDH6	P55285	False	CADH6_HUMAN		CPI-SS0C53F7672	CDH6	0.003	0.0	0.072	0.0	0.002	0.026
CDH7	Q9ULB5	False	CADH7_HUMAN		CPI-SS0BE3D537D	CDH7	0.013	0.039	0.014	0.0	0.005	0.077
CEACAM6	P40199	False	CEAM6_HUMAN		CPI-SS001BF66E8	CEACAM6	0.0	0.0	0.029	0.0	0.0	0.0
CLSTN2	Q9H4D0	False	CSTN2_HUMAN		CPI-SS01A7DC3C1	CLSTN2	0.01	0.0	0.0	0.0	0.003	0.005
LRRTM1	Q86UE6	False	LRRT1_HUMAN		CPI-SS0EEFFA23C	LRRTM1	0.001	0.0	0.0	0.0	0.002	0.01
LRRTM3	Q86VH5	False	LRRT3_HUMAN		CPI-SS026EC3854	LRRTM3	0.014	0.0	0.0	0.143	0.028	0.005
LRRTM4	Q86VH4	False	LRRT4_HUMAN		CPI-SS0F97A06CD	LRRTM4	0.007	0.013	0.0	0.0	0.002	0.026
FN1	P02751	False	FINC_HUMAN		CPI-SC034EE8AAA	FN1	0.317	0.513	0.87	0.857	0.145	0.99
VCAM1	P19320	False	VCAM1_HUMAN		CPI-SC06C0A2080	VCAM1	0.887	0.039	0.13	0.0	0.238	0.046
GJA1	P17302	False	CXA1_HUMAN		CPI-SS04829AC68	GJA1	0.237	0.724	0.029	0.143	0.031	0.523
F2	P00734	False	THRB_HUMAN		CPI-SS058209EC7	F2	0.001	0.0	0.71	0.0	0.002	0.0
THBS1	P07996	False	TSP1_HUMAN		CPI-SS0C93E48D7	THBS1	0.03	0.158	0.014	0.0	0.007	0.097
AGT	P01019	False	ANGT_HUMAN		CPI-SS05996C8FD	AGT	0.056	0.0	0.667	0.0	0.01	0.072
BDNF	P23560	False	BDNF_HUMAN		CPI-SS0BA601DC4	BDNF	0.006	0.026	0.0	0.0	0.003	0.015
CLSTN2	Q9H4D0	False	CSTN2_HUMAN		CPI-SS09A6C048C	CLSTN2	0.01	0.0	0.0	0.0	0.003	0.005
LRRTM1	Q86UE6	False	LRRT1_HUMAN		CPI-SS043D3630C	LRRTM1	0.001	0.0	0.0	0.0	0.002	0.01
LRRTM3	Q86VH5	False	LRRT3_HUMAN		CPI-SS0626DF0EB	LRRTM3	0.014	0.0	0.0	0.143	0.028	0.005
LRRTM4	Q86VH4	False	LRRT4_HUMAN		CPI-SS03466C597	LRRTM4	0.007	0.013	0.0	0.0	0.002	0.026
CCL21	O00585	False	CCL21_HUMAN		CPI-SS0ECD9BB5E	CCL21	0.174	0.013	0.014	0.143	0.021	0.272
CCL25	O15444	False	CCL25_HUMAN		CPI-SS0CCD89E02	CCL25	0.0	0.0	0.0	0.0	0.002	0.0
CXCL13	O43927	False	CXL13_HUMAN		CPI-SS083B5EBAB	CXCL13	0.0	0.0	0.0	0.0	0.0	0.0
CXCL1	P09341	False	GROA_HUMAN		CPI-SS08102DC9E	CXCL1	0.0	0.0	0.0	0.0	0.0	0.021
CXCL3	P19876	False	CXCL3_HUMAN		CPI-SS09185EA8F	CXCL3	0.0	0.0	0.0	0.0	0.002	0.015
CXCL8	P10145	False	IL8_HUMAN		CPI-SS0315F51DD	CXCL8	0.0	0.039	0.0	0.0	0.0	0.01
CXCL12	P48061	False	SDF1_HUMAN		CPI-SS0A28DCA72	CXCL12	0.199	0.0	0.145	0.143	0.031	0.128
CXCL14	O95715	False	CXL14_HUMAN		CPI-SS0669CC233	CXCL14	0.008	0.0	0.116	0.0	0.002	0.031
C1QL1	O75973	False	C1QRF_HUMAN		CPI-SS0F62347D4	C1QL1	0.061	0.0	0.0	0.0	0.007	0.021
EDN1	P05305	False	EDN1_HUMAN		CPI-SS0D8632EB4	EDN1	0.002	0.0	0.0	0.0	0.0	0.026
EDN2	P20800	False	EDN2_HUMAN		CPI-SS056AA08CF	EDN2	0.001	0.0	0.0	0.0	0.0	0.0
EDN3	P14138	False	EDN3_HUMAN		CPI-SS03D5CBF55	EDN3	0.0	0.0	0.0	0.0	0.0	0.0
EFNA5	P52803	False	EFNA5_HUMAN		CPI-SS0FC01B947	EFNA5	0.04	0.026	0.014	0.0	0.012	0.174
