gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	CM	EC	EP	FB	PR	SM	UN
SULT1E1	P49888	True	ST1E1_HUMAN	DHEAsulfate_bySULT1E1	CPI-CS0917E42F5	SULT1E1	0.024	0.012	0.443	0.009	0.078	0.135	0.007
ALDH1A1	P00352	True	AL1A1_HUMAN	atRetinoicAcid_byALDH1A1	CPI-CS08EE9E5CE	ALDH1A1	0.002	0.004	0.846	0.004	0.02	0.027	0.0
ALDH1A2	O94788	True	AL1A2_HUMAN	atRetinoicAcid_byALDH1A2	CPI-CS033058D2B	ALDH1A2	0.007	0.02	0.034	0.017	0.315	0.081	0.0
ALDH1A3	P47895	True	AL1A3_HUMAN	atRetinoicAcid_byALDH1A3	CPI-CS0C61C245A	ALDH1A3	0.0	0.002	0.0	0.032	0.003	0.027	0.0
PTGES	O14684	True	PTGES_HUMAN	ProstaglandinE2_byPTGES	CPI-CS0F0453B03	PTGES	0.002	0.002	0.0	0.013	0.041	0.027	0.0
PTGES	O14684	True	PTGES_HUMAN	ProstaglandinE2_byPTGES	CPI-CS023F349AF	PTGES	0.002	0.002	0.0	0.013	0.041	0.027	0.0
CDH5	P33151	False	CADH5_HUMAN		CPI-SS00C24ED50	CDH5	0.005	0.952	0.013	0.073	0.005	0.0	0.011
CDH6	P55285	False	CADH6_HUMAN		CPI-SS0C53F7672	CDH6	0.003	0.004	0.067	0.058	0.012	0.054	0.0
CDH7	Q9ULB5	False	CADH7_HUMAN		CPI-SS0BE3D537D	CDH7	0.017	0.043	0.007	0.022	0.292	0.0	0.0
CEACAM6	P40199	False	CEAM6_HUMAN		CPI-SS001BF66E8	CEACAM6	0.0	0.0	0.04	0.0	0.0	0.0	0.0
CLSTN2	Q9H4D0	False	CSTN2_HUMAN		CPI-SS01A7DC3C1	CLSTN2	0.01	0.002	0.0	0.006	0.031	0.0	0.0
LRRTM1	Q86UE6	False	LRRT1_HUMAN		CPI-SS0EEFFA23C	LRRTM1	0.002	0.002	0.0	0.004	0.003	0.0	0.0
LRRTM3	Q86VH5	False	LRRT3_HUMAN		CPI-SS026EC3854	LRRTM3	0.014	0.002	0.0	0.002	0.014	0.0	0.011
LRRTM4	Q86VH4	False	LRRT4_HUMAN		CPI-SS0F97A06CD	LRRTM4	0.007	0.005	0.0	0.034	0.047	0.0	0.004
FN1	P02751	False	FINC_HUMAN		CPI-SC034EE8AAA	FN1	0.242	0.832	0.899	0.996	0.755	1.0	0.185
VCAM1	P19320	False	VCAM1_HUMAN		CPI-SC06C0A2080	VCAM1	0.819	0.02	0.074	0.049	0.069	0.0	0.214
GJA1	P17302	False	CXA1_HUMAN		CPI-SS04829AC68	GJA1	0.33	0.877	0.04	0.482	0.092	0.189	0.075
F2	P00734	False	THRB_HUMAN		CPI-SS058209EC7	F2	0.002	0.0	0.758	0.004	0.0	0.0	0.0
