id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	directionality	classification	CM|CM	CM|EC	CM|EP	CM|FB	CM|PR	CM|SM	CM|UN	EC|CM	EC|EC	EC|EP	EC|FB	EC|PR	EC|SM	EC|UN	EP|CM	EP|EC	EP|EP	EP|FB	EP|PR	EP|SM	EP|UN	FB|CM	FB|EC	FB|EP	FB|FB	FB|PR	FB|SM	FB|UN	PR|CM	PR|EC	PR|EP	PR|FB	PR|PR	PR|SM	PR|UN	SM|CM	SM|EC	SM|EP	SM|FB	SM|PR	SM|SM	SM|UN	UN|CM	UN|EC	UN|EP	UN|FB	UN|PR	UN|SM	UN|UN
CPI-SS00C24ED50	CDH5_CDH5	simple:P33151	simple:P33151	CDH5	CDH5	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by Cadherin	0.005	0.809	0.01	0.033	0.005	0.0	0.015	0.809	1.614	0.815	0.837	0.81	0.0	0.819	0.01	0.815	0.016	0.039	0.011	0.0	0.021	0.033	0.837	0.039	0.061	0.034	0.0	0.043	0.005	0.81	0.011	0.034	0.006	0.0	0.016	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.819	0.021	0.043	0.016	0.0	0.025
CPI-SS0C53F7672	CDH6_CDH6	simple:P55285	simple:P55285	CDH6	CDH6	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by Cadherin	0.003	0.002	0.036	0.028	0.009	0.016	0.0	0.002	0.002	0.035	0.027	0.008	0.015	0.0	0.036	0.035	0.068	0.061	0.041	0.049	0.0	0.028	0.027	0.061	0.053	0.034	0.041	0.0	0.009	0.008	0.041	0.034	0.014	0.022	0.0	0.016	0.015	0.049	0.041	0.022	0.029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0BE3D537D	CDH7_CDH7	simple:Q9ULB5	simple:Q9ULB5	CDH7	CDH7	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by Cadherin	0.016	0.027	0.012	0.016	0.251	0.0	0.0	0.027	0.037	0.022	0.027	0.261	0.0	0.0	0.012	0.022	0.008	0.012	0.247	0.0	0.0	0.016	0.027	0.012	0.017	0.251	0.0	0.0	0.251	0.261	0.247	0.251	0.486	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS001BF66E8	CEACAM6_CEACAM6	simple:P40199	simple:P40199	CEACAM6	CEACAM6	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by CEAM	0.0	0.0	0.029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.029	0.0	0.058	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS01A7DC3C1	CLSTN2_NRXN3	simple:Q9H4D0	simple:Q9HDB5	CLSTN2	NRXN3	False	False	False	curated	False	Ligand-Receptor	Signaling by Calsyntenin	0.007	0.005	0.009	0.009	0.016	0.015	0.012	0.004	0.001	0.005	0.005	0.012	0.011	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.003	0.007	0.007	0.014	0.013	0.011	0.027	0.024	0.028	0.028	0.035	0.034	0.032	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0EEFFA23C	LRRTM1_NRXN3	simple:Q86UE6	simple:Q9HDB5	LRRTM1	NRXN3	False	False	False	curated	False	Ligand-Receptor	Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein	0.004	0.002	0.006	0.006	0.013	0.012	0.009	0.003	0.001	0.005	0.005	0.012	0.011	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.003	0.006	0.006	0.013	0.012	0.01	0.005	0.003	0.007	0.006	0.014	0.012	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS026EC3854	LRRTM3_NRXN3	simple:Q86VH5	simple:Q9HDB5	LRRTM3	NRXN3	False	False	False	curated	False	Ligand-Receptor	Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein	0.01	0.008	0.011	0.011	0.018	0.017	0.015	0.004	0.002	0.006	0.006	0.013	0.011	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.004	0.002	0.006	0.005	0.012	0.011	0.009	0.013	0.011	0.015	0.015	0.022	0.021	0.018	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.016	0.013	0.017	0.017	0.024	0.023	0.021
CPI-SS0F97A06CD	LRRTM4_NRXN3	simple:Q86VH4	simple:Q9HDB5	LRRTM4	NRXN3	False	False	False	curated	False	Ligand-Receptor	Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein	0.006	0.004	0.008	0.008	0.015	0.014	0.011	0.005	0.003	0.007	0.006	0.014	0.012	0.01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.015	0.013	0.017	0.016	0.023	0.022	0.02	0.034	0.032	0.036	0.035	0.042	0.041	0.039	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.005	0.009	0.008	0.016	0.014	0.012
CPI-SC034EE8AAA	FN1_integrin_a4b7_complex	simple:P02751	complex:integrin_a4b7_complex	FN1		True	False	False	curated	True	Adhesion-Adhesion	Adhesion by Fibronectin	0.129	0.0	0.0	0.0	0.129	0.0	0.0	0.76	0.0	0.0	0.0	0.76	0.0	0.0	1.036	0.0	0.0	0.0	1.036	0.0	0.0	1.82	0.0	0.0	0.0	1.82	0.0	0.0	0.892	0.0	0.0	0.0	0.892	0.0	0.0	1.719	0.0	0.0	0.0	1.719	0.0	0.0	0.219	0.0	0.0	0.0	0.219	0.0	0.0
CPI-SC06C0A2080	VCAM1_integrin_a4b7_complex	simple:P19320	complex:integrin_a4b7_complex	VCAM1		False	False	False	curated	True	Ligand-Receptor	Adhesion by VCAM	0.671	0.0	0.0	0.0	0.671	0.0	0.0	0.008	0.0	0.0	0.0	0.008	0.0	0.0	0.025	0.0	0.0	0.0	0.025	0.0	0.0	0.019	0.0	0.0	0.0	0.019	0.0	0.0	0.047	0.0	0.0	0.0	0.047	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.246	0.0	0.0	0.0	0.246	0.0	0.0
