gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	gene	EC	MP	PC	VSMC
SULT1E1	P49888	True	ST1E1_HUMAN	DHEAsulfate_bySULT1E1	CPI-CS0917E42F5	SULT1E1	0.037	0.08	0.045	0.132
ALDH1A1	P00352	True	AL1A1_HUMAN	atRetinoicAcid_byALDH1A1	CPI-CS08EE9E5CE	ALDH1A1	0.003	0.016	0.004	0.0
ALDH1A2	O94788	True	AL1A2_HUMAN	atRetinoicAcid_byALDH1A2	CPI-CS033058D2B	ALDH1A2	0.167	0.419	0.351	0.098
ALDH1A3	P47895	True	AL1A3_HUMAN	atRetinoicAcid_byALDH1A3	CPI-CS0C61C245A	ALDH1A3	0.001	0.009	0.001	0.003
PTGES	O14684	True	PTGES_HUMAN	ProstaglandinE2_byPTGES	CPI-CS0F0453B03	PTGES	0.003	0.015	0.004	0.013
PTGES	O14684	True	PTGES_HUMAN	ProstaglandinE2_byPTGES	CPI-CS023F349AF	PTGES	0.003	0.015	0.004	0.013
CDH5	P33151	False	CADH5_HUMAN		CPI-SS00C24ED50	CDH5	0.933	0.018	0.023	0.022
CDH6	P55285	False	CADH6_HUMAN		CPI-SS0C53F7672	CDH6	0.012	0.005	0.025	0.057
CDH7	Q9ULB5	False	CADH7_HUMAN		CPI-SS0BE3D537D	CDH7	0.055	0.182	0.077	0.019
CLSTN2	Q9H4D0	False	CSTN2_HUMAN		CPI-SS01A7DC3C1	CLSTN2	0.005	0.04	0.004	0.016
LRRTM1	Q86UE6	False	LRRT1_HUMAN		CPI-SS0EEFFA23C	LRRTM1	0.002	0.002	0.0	0.0
LRRTM3	Q86VH5	False	LRRT3_HUMAN		CPI-SS026EC3854	LRRTM3	0.001	0.008	0.002	0.006
LRRTM4	Q86VH4	False	LRRT4_HUMAN		CPI-SS0F97A06CD	LRRTM4	0.009	0.024	0.008	0.009
FN1	P02751	False	FINC_HUMAN		CPI-SC034EE8AAA	FN1	0.554	0.549	0.897	1.0
VCAM1	P19320	False	VCAM1_HUMAN		CPI-SC06C0A2080	VCAM1	0.034	0.112	0.059	0.025
GJA1	P17302	False	CXA1_HUMAN		CPI-SS04829AC68	GJA1	0.812	0.081	0.061	0.114
THBS1	P07996	False	TSP1_HUMAN		CPI-SS0C93E48D7	THBS1	0.313	0.063	0.05	0.694
AGT	P01019	False	ANGT_HUMAN		CPI-SS05996C8FD	AGT	0.0	0.001	0.001	0.025
AGT	P01019	False	ANGT_HUMAN		CPI-SS069924427	AGT	0.0	0.001	0.001	0.025
BDNF	P23560	False	BDNF_HUMAN		CPI-SS0BA601DC4	BDNF	0.04	0.124	0.056	0.218
CLSTN2	Q9H4D0	False	CSTN2_HUMAN		CPI-SS09A6C048C	CLSTN2	0.005	0.04	0.004	0.016
LRRTM1	Q86UE6	False	LRRT1_HUMAN		CPI-SS043D3630C	LRRTM1	0.002	0.002	0.0	0.0
LRRTM3	Q86VH5	False	LRRT3_HUMAN		CPI-SS0626DF0EB	LRRTM3	0.001	0.008	0.002	0.006
LRRTM4	Q86VH4	False	LRRT4_HUMAN		CPI-SS03466C597	LRRTM4	0.009	0.024	0.008	0.009
CCL21	O00585	False	CCL21_HUMAN		CPI-SS0ECD9BB5E	CCL21	0.0	0.004	0.002	0.0
CCL25	O15444	False	CCL25_HUMAN		CPI-SS0CCD89E02	CCL25	0.0	0.001	0.0	0.0
CXCL13	O43927	False	CXL13_HUMAN		CPI-SS083B5EBAB	CXCL13	0.001	0.002	0.0	0.0
CXCL1	P09341	False	GROA_HUMAN		CPI-SS08102DC9E	CXCL1	0.022	0.0	0.001	0.0
CXCL3	P19876	False	CXCL3_HUMAN		CPI-SS09185EA8F	CXCL3	0.009	0.001	0.002	0.006
CXCL6	P80162	False	CXCL6_HUMAN		CPI-SS093B46106	CXCL6	0.0	0.0	0.0	0.0
CXCL8	P10145	False	IL8_HUMAN		CPI-SS0315F51DD	CXCL8	0.012	0.0	0.0	0.003
CXCL12	P48061	False	SDF1_HUMAN		CPI-SS0A28DCA72	CXCL12	0.061	0.246	0.068	0.12
CXCL14	O95715	False	CXL14_HUMAN		CPI-SS0669CC233	CXCL14	0.002	0.005	0.001	0.003
C1QL1	O75973	False	C1QRF_HUMAN		CPI-SS0F62347D4	C1QL1	0.005	0.042	0.004	0.0
EDN1	P05305	False	EDN1_HUMAN		CPI-SS0D8632EB4	EDN1	0.077	0.002	0.004	0.117
EDN3	P14138	False	EDN3_HUMAN		CPI-SS03D5CBF55	EDN3	0.001	0.011	0.001	0.006
EFNA5	P52803	False	EFNA5_HUMAN		CPI-SS0FC01B947	EFNA5	0.127	0.118	0.07	0.047
EFNB2	P52799	False	EFNB2_HUMAN		CPI-SS087E0E3FB	EFNB2	0.653	0.262	0.442	0.287
EFNA5	P52803	False	EFNA5_HUMAN		CPI-SS09E3F5044	EFNA5	0.127	0.118	0.07	0.047
EFNB2	P52799	False	EFNB2_HUMAN		CPI-SS05ABE6795	EFNB2	0.653	0.262	0.442	0.287
AREG	P15514	False	AREG_HUMAN		CPI-SS052119104	AREG	0.052	0.002	0.007	0.016
FGF2	P09038	False	FGF2_HUMAN		CPI-SS01F67987A	FGF2	0.025	0.034	0.01	0.05
FGF4	P08620	False	FGF4_HUMAN		CPI-SS0FFB9E01B	FGF4	0.0	0.0	0.0	0.0
FGF5	P12034	False	FGF5_HUMAN		CPI-SS01333FFA6	FGF5	0.004	0.002	0.002	0.063
FLRT3	Q9NZU0	False	FLRT3_HUMAN		CPI-SS08BFFB96E	FLRT3	0.048	0.099	0.056	0.025
TENM1	Q9UKZ4	False	TEN1_HUMAN		CPI-SS083BB1EB3	TENM1	0.034	0.095	0.038	0.028
TENM3	Q9P273	False	TEN3_HUMAN		CPI-SS075F456AF	TENM3	0.039	0.144	0.054	0.091
GRP	P07492	False	GRP_HUMAN		CPI-SS07AF9303D	GRP	0.001	0.004	0.001	0.006
PENK	P01210	False	PENK_HUMAN		CPI-SS09F7A6011	PENK	0.002	0.009	0.002	0.003
HLA-E	P13747	False	HLAE_HUMAN		CPI-SS0C4FA643F	HLA-E	0.89	0.141	0.323	0.397
HLA-E	P13747	False	HLAE_HUMAN		CPI-SC066BD3097	HLA-E	0.89	0.141	0.323	0.397
HLA-E	P13747	False	HLAE_HUMAN		CPI-SC04E52CC72	HLA-E	0.89	0.141	0.323	0.397
MDK	P21741	False	MK_HUMAN		CPI-SS027E12A36	MDK	0.394	0.915	0.719	0.587
PTN	P21246	False	PTN_HUMAN		CPI-SS04E690D72	PTN	0.129	0.544	0.196	0.218
CNTN1	Q12860	False	CNTN1_HUMAN		CPI-SS0730D1EF3	CNTN1	0.021	0.085	0.026	0.025
DLK1	P80370	False	DLK1_HUMAN		CPI-SS007AA9FDE	DLK1	0.089	0.215	0.138	0.06
JAG1	P78504	False	JAG1_HUMAN		CPI-SS0B99F22A2	JAG1	0.31	0.182	0.358	0.89
PENK	P01210	False	PENK_HUMAN		CPI-SS0D1EF9598	PENK	0.002	0.009	0.002	0.003
PGF	P49763	False	PLGF_HUMAN		CPI-SS07361522F	PGF	0.839	0.076	0.23	0.199
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SS0B9B3870A	VEGFA	0.031	0.063	0.028	0.057
PGF	P49763	False	PLGF_HUMAN		CPI-SC0B51DC960	PGF	0.839	0.076	0.23	0.199
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SC0AFC650CD	VEGFA	0.031	0.063	0.028	0.057
PGF	P49763	False	PLGF_HUMAN		CPI-SS065D9259F	PGF	0.839	0.076	0.23	0.199
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SS046F8AD8B	VEGFA	0.031	0.063	0.028	0.057
PDGFA	P04085	False	PDGFA_HUMAN		CPI-SS0B70EB09E	PDGFA	0.444	0.104	0.309	0.634
NPY	P01303	False	NPY_HUMAN		CPI-SS0666DE74B	NPY	0.0	0.0	0.0	0.0
NPY	P01303	False	NPY_HUMAN		CPI-SS0E2083FAC	NPY	0.0	0.0	0.0	0.0
GNRH2	O43555	False	GON2_HUMAN		CPI-SS0D9BC4188	GNRH2	0.0	0.0	0.0	0.0
RSPO2	Q6UXX9	False	RSPO2_HUMAN		CPI-SS056D0AD0D	RSPO2	0.001	0.003	0.001	0.0
RSPO3	Q9BXY4	False	RSPO3_HUMAN		CPI-SS0C3906934	RSPO3	0.025	0.135	0.018	0.262
VIP	P01282	False	VIP_HUMAN		CPI-SS02CAD3BF8	VIP	0.01	0.011	0.001	0.003
SEMA3E	O15041	False	SEM3E_HUMAN		CPI-SS0F3A089DE	SEMA3E	0.017	0.026	0.024	0.006
SST	P61278	False	SMS_HUMAN		CPI-SS0FE594C97	SST	0.0	0.0	0.0	0.0
SDC2	P34741	False	SDC2_HUMAN		CPI-SS0D681D90E	SDC2	0.163	0.292	0.354	0.909
TAC1	P20366	False	TKN1_HUMAN		CPI-SS02A8BD654	TAC1	0.105	0.319	0.142	0.091
TNFSF10	P50591	False	TNF10_HUMAN		CPI-SS05A3055C3	TNFSF10	0.501	0.01	0.007	0.016
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SS0C03F7CDC	VEGFA	0.031	0.063	0.028	0.057
WNT2B	Q93097	False	WNT2B_HUMAN		CPI-SS0786D3749	WNT2B	0.035	0.015	0.016	0.025
WNT4	P56705	False	WNT4_HUMAN		CPI-SS0EE63435D	WNT4	0.004	0.003	0.0	0.0
WNT5A	P41221	False	WNT5A_HUMAN		CPI-SS007954822	WNT5A	0.175	0.197	0.087	0.095
WNT9A	O14904	False	WNT9A_HUMAN		CPI-SS0EBBBD522	WNT9A	0.002	0.0	0.0	0.0
WNT2B	Q93097	False	WNT2B_HUMAN		CPI-SS05207EFF8	WNT2B	0.035	0.015	0.016	0.025
WNT4	P56705	False	WNT4_HUMAN		CPI-SS036707F4C	WNT4	0.004	0.003	0.0	0.0
WNT5A	P41221	False	WNT5A_HUMAN		CPI-SS0F1E79A03	WNT5A	0.175	0.197	0.087	0.095
WNT9A	O14904	False	WNT9A_HUMAN		CPI-SS0A93EEAEB	WNT9A	0.002	0.0	0.0	0.0
WNT2B	Q93097	False	WNT2B_HUMAN		CPI-SS08643DD8A	WNT2B	0.035	0.015	0.016	0.025
WNT4	P56705	False	WNT4_HUMAN		CPI-SS0661CE946	WNT4	0.004	0.003	0.0	0.0
WNT5A	P41221	False	WNT5A_HUMAN		CPI-SS03F33B34C	WNT5A	0.175	0.197	0.087	0.095
WNT9A	O14904	False	WNT9A_HUMAN		CPI-SS00877D499	WNT9A	0.002	0.0	0.0	0.0
WNT2B	Q93097	False	WNT2B_HUMAN		CPI-SS010F961E8	WNT2B	0.035	0.015	0.016	0.025
WNT4	P56705	False	WNT4_HUMAN		CPI-SS068E97BDA	WNT4	0.004	0.003	0.0	0.0
WNT5A	P41221	False	WNT5A_HUMAN		CPI-SS03C93A8FE	WNT5A	0.175	0.197	0.087	0.095
WNT9A	O14904	False	WNT9A_HUMAN		CPI-SS04662DF1A	WNT9A	0.002	0.0	0.0	0.0
GDNF	P39905	False	GDNF_HUMAN		CPI-SC0BDF87EA3	GDNF	0.003	0.022	0.006	0.009
ESAM	Q96AP7	False	ESAM_HUMAN		CPI-SS04C672963	ESAM	0.95	0.048	0.131	0.284
FTL	P02792	False	FRIL_HUMAN		CPI-SS00577086D	FTL	1.0	0.983	0.992	0.997
KLRD1	Q13241	True	KLRD1_HUMAN	CD94:NKG2C	CPI-SC066BD3097	KLRD1	0.0	0.001	0.0	0.0
