gene	mean	EC_2_mean	EC_2_positive_frac	EC_3_mean	EC_3_positive_frac	log2FC	-log10 p-val	is_significant
SAMD11	0.046598636	0.0695111	0.09723320158102766	0.013848892	0.0192090395480226	-2.319167	13.446451	1
HES4	0.54620504	0.6697591	0.6490118577075099	0.36958537	0.3728813559322034	-0.8575598	33.390987	1
MXRA8	0.06347608	0.10397788	0.14466403162055336	0.0055768746	0.00903954802259887	-4.196423	33.24391	1
VWA1	0.17211679	0.07956816	0.1067193675889328	0.3044035	0.319774011299435	1.9343836	34.653473	1
RER1	0.6256583	0.71228427	0.6980237154150197	0.50182617	0.5322033898305085	-0.5051804	18.44417	1
MEGF6	0.017009806	0.025340153	0.03873517786561265	0.0051034293	0.007909604519774011	-2.2895727	5.666925	1
GPR153	0.032395348	0.051211037	0.0782608695652174	0.0055014095	0.00903954802259887	-3.1954074	14.646213	1
ENO1	2.0079687	1.7054065	0.9675889328063241	2.4404426	0.9943502824858758	0.5170015	44.55244	1
SLC25A33	0.08978428	0.1149674	0.16284584980237155	0.053781334	0.06779661016949153	-1.0946217	8.187825	1
CTNNBIP1	0.3315444	0.38735247	0.4671936758893281	0.25176194	0.30056497175141245	-0.6213862	12.059143	1
UBE4B	0.17522964	0.20954162	0.28221343873517785	0.12619148	0.15593220338983052	-0.7311678	7.9749103	1
PGD	0.54437435	0.668128	0.6679841897233202	0.36747068	0.4033898305084746	-0.8623189	38.67232	1
KAZN	0.11351008	0.13985845	0.19288537549407114	0.075841635	0.10621468926553672	-0.8820356	7.3086543	1
DDI2	0.19737272	0.14779423	0.20474308300395258	0.2682429	0.3096045197740113	0.85951185	11.682331	1
HSPB7	0.034175303	0.013488283	0.018972332015810278	0.06374513	0.08135593220338982	2.2322135	9.132463	1
EPHA2	0.1626444	0.19535235	0.2600790513833992	0.115896925	0.15141242937853108	-0.7527303	7.92451	1
MFAP2	0.42085317	0.52260613	0.5660079051383399	0.27539602	0.31412429378531076	-0.9239688	30.725569	1
RCC2	0.26620314	0.3184532	0.3968379446640316	0.1915159	0.24067796610169492	-0.73331696	12.8758745	1
MICOS10	1.2848537	1.4861134	0.9446640316205533	0.99719477	0.7694915254237288	-0.5755494	44.55244	1
CAMK2N1	0.13198034	0.21664049	0.26403162055335966	0.010977199	0.015819209039548022	-4.2903037	44.55244	1
CDA	0.13088022	0.15610202	0.21106719367588933	0.09482722	0.11412429378531073	-0.71851933	5.5111146	1
ASAP3	0.020543793	0.029513944	0.045059288537549404	0.0077228863	0.010169491525423728	-1.9205039	5.3300257	1
HMGCL	0.18760903	0.1583471	0.21739130434782608	0.22943941	0.27796610169491526	0.5347407	5.025404	1
ZNF593	0.1947324	0.2304902	0.29881422924901185	0.14362732	0.192090395480226	-0.68199694	8.215321	1
HMGN2	0.98198223	1.1278672	0.8584980237154151	0.7734566	0.6903954802259887	-0.5441464	36.54049	1
FCN3	0.046962667	0.002590504	0.0047430830039525695	0.11038732	0.11186440677966102	5.3598604	19.201641	1
AHDC1	0.19076216	0.22104803	0.2964426877470356	0.14747861	0.1864406779661017	-0.5835287	5.8820004	1
RAB42	0.009892248	0.015877824	0.02766798418972332	0.0013374184	0.0022598870056497176	-3.474519	5.8927984	1
LAPTM5	0.65439826	0.5523106	0.5944664031620553	0.80031544	0.688135593220339	0.53500795	20.329462	1
SNRNP40	0.23567829	0.27178556	0.35177865612648224	0.18407395	0.2384180790960452	-0.56193036	7.0917134	1
SERINC2	0.09209257	0.11347875	0.15810276679841898	0.061517052	0.08587570621468926	-0.88229126	6.032451	1
TINAGL1	0.017454715	0.028425463	0.039525691699604744	0.0017741942	0.0022598870056497176	-3.927908	8.890169	1
COL16A1	0.04557146	0.073720545	0.10909090909090909	0.005336585	0.00903954802259887	-3.7632499	23.768005	1
ZBTB8OS	0.30879992	0.3603522	0.43873517786561267	0.23510492	0.28926553672316385	-0.6158896	11.07381	1
GJA4	0.46557164	0.61770993	0.5604743083003952	0.2480936	0.2576271186440678	-1.3156972	44.55244	1
SH3D21	0.052813683	0.026787866	0.04110671936758893	0.09001469	0.11186440677966102	1.744807	9.716252	1
LSM10	0.4607531	0.52428526	0.5802371541501976	0.36992815	0.41694915254237286	-0.50299215	12.253797	1
RRAGC	0.36862105	0.43036467	0.49960474308300395	0.280353	0.3310734463276836	-0.61813575	13.489317	1
HEYL	0.11195062	0.18366157	0.24347826086956523	0.009441867	0.013559322033898305	-4.26742	44.55244	1
RLF	0.2802311	0.22874211	0.3011857707509881	0.35383028	0.4011299435028249	0.62911254	10.120118	1
ZMPSTE24	0.2647652	0.3074811	0.3786561264822134	0.20370823	0.2598870056497175	-0.5937545	8.721137	1
