id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	directionality	classification	CM|CM	CM|EC	CM|EP	CM|FB	CM|UN	EC|CM	EC|EC	EC|EP	EC|FB	EC|UN	EP|CM	EP|EC	EP|EP	EP|FB	EP|UN	FB|CM	FB|EC	FB|EP	FB|FB	FB|UN	UN|CM	UN|EC	UN|EP	UN|FB	UN|UN
CPI-SS0DA0F5556	CDH3_CDH3	simple:P22223	simple:P22223	CDH3	CDH3	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by Cadherin	0.009	0.0	0.0	0.006	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.006	0.0	0.0	0.003	0.006	0.009	0.0	0.0	0.006	0.01
CPI-SS00C24ED50	CDH5_CDH5	simple:P33151	simple:P33151	CDH5	CDH5	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by Cadherin	0.001	0.535	0.004	0.004	0.007	0.535	1.069	0.538	0.538	0.541	0.004	0.538	0.008	0.008	0.011	0.004	0.538	0.008	0.008	0.011	0.007	0.541	0.011	0.011	0.014
CPI-SS0C53F7672	CDH6_CDH6	simple:P55285	simple:P55285	CDH6	CDH6	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by Cadherin	0.001	0.0	0.014	0.022	0.006	0.0	0.0	0.0	0.0	0.0	0.014	0.0	0.026	0.035	0.018	0.022	0.0	0.035	0.043	0.027	0.006	0.0	0.018	0.027	0.01
CPI-SS001BF66E8	CEACAM6_CEACAM6	simple:P40199	simple:P40199	CEACAM6	CEACAM6	False	False	False	curated	False	Adhesion-Adhesion	Adhesion by CEAM	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.097	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS085C6A191	SELPLG_SELE	simple:Q14242	simple:P16581	SELPLG	SELE	False	True	False	curated	False	Ligand-Receptor	Signaling by Selectin	0.0	0.0	0.0	0.007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.008	0.0
CPI-SS06F83AE58	CD44_SELE	simple:P16070	simple:P16581	CD44	SELE	False	True	False	curated	False	Ligand-Receptor		0.0	0.0	0.0	0.014	0.0	0.0	0.0	0.0	0.176	0.0	0.0	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.142	0.0	0.0	0.0	0.0	0.014	0.0
CPI-SS04829AC68	GJA1_GJA1	simple:P17302	simple:P17302	GJA1	GJA1	False	False	False	curated	False	Gap-Gap	Adhesion by GAP junction	0.263	0.614	0.154	0.492	0.198	0.614	0.965	0.505	0.843	0.549	0.154	0.505	0.044	0.383	0.089	0.492	0.843	0.383	0.722	0.428	0.198	0.549	0.089	0.428	0.133
CPI-SS019ABECEC	ASIP_MC1R	simple:P42127	simple:Q01726	ASIP	MC1R	True	False	True	curated	False	Ligand-Receptor	Signaling by Agouti-related protein	0.009	0.009	0.003	0.013	0.015	0.0	0.0	0.0	0.0	0.0	0.01	0.011	0.005	0.014	0.017	0.015	0.015	0.01	0.019	0.022	0.011	0.011	0.006	0.015	0.018
CPI-SS00BD8FF72	POMC_MC1R	simple:P01189	simple:Q01726	POMC	MC1R	True	False	True	curated	False	Ligand-Receptor	Signaling by Podocalyxin-like protein	0.008	0.009	0.003	0.012	0.015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01	0.01	0.005	0.014	0.017
CPI-SS086CB298F	APLN_APLNR	simple:Q9ULZ1	simple:P35414	APLN	APLNR	True	False	True	curated	False	Ligand-Receptor	Signaling by Apelin	0.005	0.28	0.0	0.044	0.0	0.381	0.656	0.0	0.42	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.285	0.0	0.048	0.0	0.0	0.0	0.0	0.0	0.0
