id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	directionality	classification	CM|CM	CM|EC	CM|EP	CM|PV	CM|UN	EC|CM	EC|EC	EC|EP	EC|PV	EC|UN	EP|CM	EP|EC	EP|EP	EP|PV	EP|UN	PV|CM	PV|EC	PV|EP	PV|PV	PV|UN	UN|CM	UN|EC	UN|EP	UN|PV	UN|UN
CPI-SS04829AC68	GJA1_GJA1	simple:P17302	simple:P17302	GJA1	GJA1	False	False	False	curated	False	Gap-Gap	Adhesion by GAP junction	0.177	0.625	0.106	0.205	0.137	0.625	1.073	0.553	0.653	0.585	0.106	0.553	0.034	0.134	0.065	0.205	0.653	0.134	0.233	0.165	0.137	0.585	0.065	0.165	0.097
CPI-SS058209EC7	F2_F2R	simple:P00734	simple:P25116	F2	F2R	True	False	True	curated	False	Ligand-Receptor	Adhesion by Prothrombin	0.02	0.28	0.019	0.187	0.021	0.0	0.0	0.0	0.0	0.0	0.436	0.696	0.435	0.602	0.437	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0C93E48D7	THBS1_CD36	simple:P07996	simple:P16671	THBS1	CD36	False	False	True	curated	False	Ligand-Receptor	Signaling by Thrombospondin precursor	0.019	0.019	0.017	0.085	0.022	0.134	0.133	0.132	0.2	0.137	0.01	0.01	0.008	0.076	0.013	0.082	0.081	0.079	0.147	0.084	0.011	0.011	0.009	0.077	0.014
CPI-SS05996C8FD	AGT_AGTR1	simple:P01019	simple:P30556	AGT	AGTR1	True	False	True	curated	False	Ligand-Receptor	Signaling by Angiotensinogen	0.021	0.028	0.28	0.056	0.0	0.003	0.009	0.261	0.037	0.0	0.522	0.529	0.781	0.557	0.0	0.005	0.012	0.264	0.04	0.0	0.008	0.015	0.266	0.042	0.0
CPI-SS069924427	AGT_AGTR2	simple:P01019	simple:P50052	AGT	AGTR2	True	False	True	curated	False	Ligand-Receptor	Signaling by Angiotensinogen	0.0	0.0	0.022	0.02	0.0	0.0	0.0	0.003	0.001	0.0	0.0	0.0	0.522	0.521	0.0	0.0	0.0	0.006	0.004	0.0	0.0	0.0	0.008	0.006	0.0
CPI-SS0BA601DC4	BDNF_NTRK2	simple:P23560	simple:Q16620	BDNF	NTRK2	True	False	True	curated	False	Ligand-Receptor	Signaling by Brain-derived neurotrophic factor	0.007	0.004	0.008	0.088	0.013	0.013	0.009	0.014	0.094	0.018	0.0	0.0	0.0	0.0	0.0	0.078	0.074	0.079	0.159	0.083	0.008	0.005	0.009	0.089	0.014
CPI-SS09A6C048C	CLSTN2_NRXN1	simple:Q9H4D0	simple:Q9ULB1	CLSTN2	NRXN1	False	False	False	curated	False	Ligand-Receptor	Signaling by Calsyntenin	0.255	0.026	0.038	0.194	0.074	0.255	0.026	0.037	0.194	0.074	0.0	0.0	0.0	0.0	0.0	0.265	0.036	0.047	0.204	0.084	0.254	0.024	0.036	0.192	0.073
CPI-SS043D3630C	LRRTM1_NRXN1	simple:Q86UE6	simple:Q9ULB1	LRRTM1	NRXN1	False	False	False	curated	False	Ligand-Receptor	Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein	0.253	0.024	0.036	0.192	0.072	0.255	0.026	0.037	0.194	0.074	0.0	0.0	0.0	0.0	0.0	0.254	0.025	0.036	0.193	0.073	0.0	0.0	0.0	0.0	0.0
CPI-SS0626DF0EB	LRRTM3_NRXN1	simple:Q86VH5	simple:Q9ULB1	LRRTM3	NRXN1	False	False	False	curated	False	Ligand-Receptor	Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein	0.257	0.028	0.04	0.196	0.076	0.254	0.025	0.037	0.193	0.074	0.0	0.0	0.0	0.0	0.0	0.259	0.029	0.041	0.197	0.078	0.257	0.028	0.039	0.196	0.076
CPI-SS03466C597	LRRTM4_NRXN1	simple:Q86VH4	simple:Q9ULB1	LRRTM4	NRXN1	False	False	False	curated	False	Ligand-Receptor	Signaling by Leucine-Rich Repeat Transmembrane Neuronal Protein	0.255	0.026	0.038	0.194	0.075	0.257	0.028	0.04	0.196	0.076	0.0	0.0	0.0	0.0	0.0	0.268	0.039	0.05	0.207	0.087	0.253	0.024	0.036	0.192	0.073
CPI-SS0ECD9BB5E	CCL21_ACKR4	simple:O00585	simple:Q9NPB9	CCL21	ACKR4	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0.09	0.091	0.0	0.091	0.093	0.021	0.022	0.0	0.022	0.024	0.023	0.024	0.0	0.024	0.026	0.068	0.069	0.0	0.069	0.071	0.02	0.021	0.0	0.021	0.023
CPI-SS0CCD89E02	CCL25_ACKR4	simple:O15444	simple:Q9NPB9	CCL25	ACKR4	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.004	0.0	0.004	0.006	0.0	0.0	0.0	0.0	0.0
CPI-SS083B5EBAB	CXCL13_ACKR4	simple:O43927	simple:Q9NPB9	CXCL13	ACKR4	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.004	0.0	0.004	0.006	0.0	0.0	0.0	0.0	0.0
CPI-SS08102DC9E	CXCL1_CXCR2	simple:P09341	simple:P25025	CXCL1	CXCR2	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0.0	0.0	0.0	0.001	0.002	0.004	0.0	0.0	0.004	0.006	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.003	0.005	0.0	0.0	0.0	0.0	0.0
CPI-SS09185EA8F	CXCL3_CXCR2	simple:P19876	simple:P25025	CXCL3	CXCR2	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0.001	0.0	0.0	0.001	0.003	0.005	0.0	0.0	0.005	0.007	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.002	0.003	0.0	0.0	0.0	0.0	0.0
CPI-SS093B46106	CXCL6_CXCR2	simple:P80162	simple:P25025	CXCL6	CXCR2	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.002	0.004	0.0	0.0	0.0	0.0	0.0
CPI-SS0315F51DD	CXCL8_CXCR2	simple:P10145	simple:P25025	CXCL8	CXCR2	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0.001	0.0	0.0	0.001	0.003	0.019	0.0	0.0	0.02	0.021	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.002	0.003	0.0	0.0	0.0	0.0	0.0
CPI-SS0A28DCA72	CXCL12_CXCR4	simple:P48061	simple:P61073	CXCL12	CXCR4	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0.083	0.417	0.079	0.111	0.085	0.012	0.346	0.008	0.04	0.015	0.023	0.356	0.019	0.051	0.025	0.134	0.468	0.13	0.162	0.137	0.041	0.375	0.037	0.069	0.044
CPI-SS0669CC233	CXCL14_CXCR4	simple:O95715	simple:P61073	CXCL14	CXCR4	True	False	True	curated	False	Ligand-Receptor	Signaling by Chemokines	0.01	0.344	0.006	0.038	0.012	0.009	0.343	0.005	0.037	0.012	0.034	0.368	0.03	0.062	0.037	0.012	0.346	0.008	0.04	0.015	0.022	0.356	0.018	0.05	0.025
CPI-SS0F62347D4	C1QL1_ADGRB3	simple:O75973	simple:O60242	C1QL1	ADGRB3	True	False	True	curated	False	Ligand-Receptor	Signaling by Complement	0.027	0.03	0.0	0.065	0.029	0.008	0.012	0.0	0.046	0.01	0.012	0.016	0.0	0.05	0.014	0.023	0.027	0.0	0.061	0.025	0.009	0.013	0.0	0.047	0.011
CPI-CS0917E42F5	DHEAsulfate_bySULT1E1_PPARG	complex:DHEAsulfate_bySULT1E1	simple:P37231		PPARG	True	False	True	curated	False	Ligand-Receptor	Signaling by Dehydroepiandrosterone	0.004	0.068	0.253	0.066	0.01	0.004	0.068	0.253	0.066	0.01	0.082	0.147	0.332	0.145	0.089	0.043	0.108	0.293	0.105	0.05	0.0	0.0	0.0	0.0	0.0
CPI-SS0D8632EB4	EDN1_EDNRA	simple:P05305	simple:P25101	EDN1	EDNRA	True	False	True	curated	False	Ligand-Receptor	Signaling by Endothelin	0.062	0.014	0.004	0.424	0.022	0.092	0.043	0.033	0.453	0.052	0.0	0.0	0.0	0.0	0.0	0.065	0.016	0.006	0.426	0.025	0.0	0.0	0.0	0.0	0.0
CPI-SS056AA08CF	EDN2_EDNRA	simple:P20800	simple:P25101	EDN2	EDNRA	True	False	True	curated	False	Ligand-Receptor	Signaling by Endothelin	0.062	0.013	0.003	0.423	0.022	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS03D5CBF55	EDN3_EDNRA	simple:P14138	simple:P25101	EDN3	EDNRA	True	False	True	curated	False	Ligand-Receptor	Signaling by Endothelin	0.062	0.013	0.003	0.423	0.022	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.069	0.02	0.01	0.43	0.029	0.0	0.0	0.0	0.0	0.0
CPI-SS0FC01B947	EFNA5_EPHA4	simple:P52803	simple:P54764	EFNA5	EPHA4	False	False	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.179	0.021	0.025	0.087	0.103	0.184	0.027	0.031	0.092	0.109	0.171	0.014	0.018	0.079	0.096	0.235	0.078	0.082	0.144	0.16	0.171	0.014	0.018	0.079	0.096
CPI-SS087E0E3FB	EFNB2_EPHA4	simple:P52799	simple:P54764	EFNB2	EPHA4	False	True	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.205	0.047	0.051	0.113	0.129	0.458	0.301	0.305	0.367	0.383	0.19	0.033	0.037	0.098	0.115	0.395	0.238	0.242	0.304	0.32	0.187	0.03	0.034	0.095	0.112
CPI-SS09E3F5044	EFNA5_EPHA5	simple:P52803	simple:P54756	EFNA5	EPHA5	False	False	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.012	0.0	0.0	0.013	0.0	0.017	0.0	0.0	0.018	0.0	0.005	0.0	0.0	0.005	0.0	0.069	0.0	0.0	0.07	0.0	0.005	0.0	0.0	0.005	0.0
CPI-SS05ABE6795	EFNB2_EPHB6	simple:P52799	simple:O15197	EFNB2	EPHB6	True	True	True	curated	False	Ligand-Receptor	Signaling by Ephrin	0.043	0.043	0.043	0.1	0.041	0.297	0.297	0.297	0.354	0.294	0.029	0.028	0.029	0.086	0.026	0.234	0.234	0.234	0.291	0.231	0.026	0.025	0.025	0.083	0.023
CPI-SS052119104	AREG_EGFR	simple:P15514	simple:P00533	AREG	EGFR	True	False	True	curated	False	Ligand-Receptor	Signaling by Epidermal growth factor	0.072	0.073	0.242	0.217	0.0	0.114	0.116	0.284	0.259	0.0	0.359	0.361	0.529	0.504	0.0	0.022	0.023	0.192	0.167	0.0	0.03	0.031	0.2	0.175	0.0
CPI-SS01F67987A	FGF2_FGFR1	simple:P09038	simple:P11362	FGF2	FGFR1	True	False	True	curated	False	Ligand-Receptor	Signaling by Fibroblast growth factor	0.101	0.302	0.026	0.268	0.072	0.106	0.306	0.031	0.273	0.076	0.134	0.335	0.059	0.302	0.105	0.115	0.315	0.039	0.282	0.085	0.102	0.303	0.027	0.269	0.073
CPI-SS01333FFA6	FGF5_FGFR1	simple:P12034	simple:P11362	FGF5	FGFR1	True	False	True	curated	False	Ligand-Receptor	Signaling by Fibroblast growth factor	0.092	0.293	0.017	0.26	0.063	0.093	0.293	0.018	0.26	0.063	0.0	0.0	0.0	0.0	0.0	0.093	0.293	0.017	0.26	0.063	0.094	0.295	0.019	0.261	0.065
CPI-SS08BFFB96E	FLRT3_ADGRL2	simple:Q9NZU0	simple:O95490	FLRT3	ADGRL2	False	False	True	curated	False	Ligand-Receptor	Signaling by Fibronectin	0.04	0.289	0.033	0.241	0.03	0.039	0.288	0.033	0.24	0.03	0.124	0.373	0.118	0.325	0.114	0.073	0.322	0.067	0.274	0.063	0.038	0.287	0.032	0.239	0.028
CPI-SS083BB1EB3	TENM1_ADGRL2	simple:Q9UKZ4	simple:O95490	TENM1	ADGRL2	False	False	True	curated	False	Ligand-Receptor	Signaling by Teneurin	0.037	0.286	0.031	0.238	0.027	0.0	0.0	0.0	0.0	0.0	0.037	0.286	0.031	0.238	0.028	0.086	0.335	0.079	0.287	0.076	0.038	0.287	0.031	0.239	0.028
CPI-SS075F456AF	TENM3_ADGRL2	simple:Q9P273	simple:O95490	TENM3	ADGRL2	False	False	True	curated	False	Ligand-Receptor	Signaling by Teneurin	0.06	0.309	0.054	0.261	0.05	0.037	0.286	0.031	0.238	0.027	0.04	0.289	0.034	0.241	0.03	0.107	0.356	0.101	0.308	0.097	0.048	0.297	0.042	0.249	0.038
CPI-SS07AF9303D	GRP_GRPR	simple:P07492	simple:P30550	GRP	GRPR	True	False	True	curated	False	Ligand-Receptor	Signaling by Gastrin	0.004	0.004	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.003	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS027E12A36	MDK_PTPRZ1	simple:P21741	simple:P23471	MDK	PTPRZ1	True	False	False	curated	False	Ligand-Receptor	Signaling by Midkine	0.514	0.0	0.52	0.0	0.0	0.083	0.0	0.089	0.0	0.0	0.7	0.0	0.706	0.0	0.0	0.886	0.0	0.892	0.0	0.0	0.206	0.0	0.212	0.0	0.0
CPI-SS04E690D72	PTN_PTPRZ1	simple:P21246	simple:P23471	PTN	PTPRZ1	True	False	False	curated	False	Ligand-Receptor	Signaling by Pleiotrophin	0.223	0.0	0.229	0.0	0.0	0.019	0.0	0.025	0.0	0.0	0.025	0.0	0.031	0.0	0.0	0.49	0.0	0.496	0.0	0.0	0.063	0.0	0.069	0.0	0.0
CPI-SS0730D1EF3	CNTN1_MCAM	simple:Q12860	simple:P43121	CNTN1	MCAM	False	False	False	curated	False	Adhesion-Adhesion		0.086	0.498	0.019	0.251	0.056	0.0	0.0	0.0	0.0	0.0	0.083	0.495	0.016	0.248	0.053	0.124	0.536	0.057	0.289	0.094	0.082	0.494	0.015	0.247	0.052
CPI-SS007AA9FDE	DLK1_NOTCH3	simple:P80370	simple:Q9UM47	DLK1	NOTCH3	False	False	True	curated	False	Ligand-Receptor	Signaling by Notch	0.06	0.065	0.053	0.198	0.046	0.141	0.146	0.134	0.279	0.127	0.98	0.986	0.973	1.118	0.966	0.667	0.672	0.659	0.805	0.653	0.095	0.101	0.088	0.233	0.081
CPI-SS0B99F22A2	JAG1_NOTCH3	simple:P78504	simple:Q9UM47	JAG1	NOTCH3	False	False	True	curated	False	Ligand-Receptor	Signaling by Notch	0.103	0.109	0.096	0.241	0.089	0.202	0.207	0.194	0.339	0.188	0.042	0.047	0.034	0.179	0.027	0.219	0.224	0.211	0.356	0.205	0.089	0.095	0.082	0.227	0.075
CPI-SS0D1EF9598	PENK_OPRK1	simple:P01210	simple:P41145	PENK	OPRK1	True	False	True	curated	False	Ligand-Receptor	Signaling by Opioid	0.003	0.004	0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.083	0.084	0.0	0.087	0.0	0.009	0.01	0.0	0.014	0.0
CPI-SS07361522F	PGF_FLT1	simple:P49763	simple:P17948	PGF	FLT1	True	False	True	curated	False	Ligand-Receptor	Signaling by Placenta growth factor	0.034	1.481	0.051	0.202	0.099	0.237	1.684	0.253	0.405	0.301	0.044	1.492	0.061	0.212	0.109	0.137	1.584	0.154	0.305	0.201	0.026	1.473	0.043	0.194	0.09
CPI-SS0B9B3870A	VEGFA_FLT1	simple:P15692	simple:P17948	VEGFA	FLT1	True	False	True	curated	False	Ligand-Receptor	Signaling by Vascular endothelial growth factor	0.549	1.996	0.565	0.717	0.613	0.158	1.606	0.175	0.327	0.223	0.572	2.02	0.589	0.74	0.637	0.274	1.721	0.291	0.442	0.338	0.623	2.071	0.64	0.792	0.688
CPI-SC0B51DC960	PGF_FLT1_complex	simple:P49763	complex:FLT1_complex	PGF		True	False	True	curated	False	Ligand-Receptor	Signaling by Placenta growth factor	0.034	0.855	0.023	0.046	0.076	0.237	1.057	0.225	0.248	0.279	0.044	0.865	0.033	0.056	0.086	0.137	0.957	0.125	0.148	0.179	0.026	0.847	0.015	0.037	0.068
CPI-SC0AFC650CD	VEGFA_FLT1_complex	simple:P15692	complex:FLT1_complex	VEGFA		True	False	True	curated	False	Ligand-Receptor	Signaling by Vascular endothelial growth factor	0.549	1.369	0.537	0.56	0.591	0.158	0.979	0.147	0.17	0.201	0.572	1.393	0.561	0.584	0.614	0.274	1.094	0.262	0.285	0.316	0.623	1.444	0.612	0.635	0.666
CPI-SS065D9259F	PGF_NRP2	simple:P49763	simple:O60462	PGF	NRP2	True	False	True	curated	False	Ligand-Receptor	Signaling by Placenta growth factor	0.145	0.688	0.06	0.315	0.127	0.347	0.89	0.262	0.518	0.33	0.155	0.698	0.07	0.325	0.137	0.248	0.79	0.162	0.418	0.23	0.137	0.679	0.051	0.307	0.119
CPI-SS046F8AD8B	VEGFA_NRP2	simple:P15692	simple:O60462	VEGFA	NRP2	True	False	True	curated	False	Ligand-Receptor	Signaling by Vascular endothelial growth factor	0.659	1.202	0.574	0.83	0.642	0.269	0.812	0.184	0.439	0.251	0.683	1.226	0.598	0.853	0.665	0.385	0.927	0.299	0.555	0.367	0.734	1.277	0.649	0.904	0.716
CPI-SS0B70EB09E	PDGFA_PDGFRA	simple:P04085	simple:P16234	PDGFA	PDGFRA	True	False	True	curated	False	Ligand-Receptor	Signaling by Platelet-derived growth factor	0.055	0.053	0.036	0.423	0.05	0.299	0.297	0.28	0.667	0.293	0.068	0.065	0.048	0.436	0.062	0.213	0.211	0.194	0.581	0.207	0.04	0.038	0.021	0.408	0.034
CPI-SS0666DE74B	NPY_NPY1R	simple:P01303	simple:P25929	NPY	NPY1R	True	False	True	curated	False	Ligand-Receptor	Signaling by Pro-neuregulin	0.029	0.004	0.002	0.101	0.003	0.0	0.0	0.0	0.0	0.0	0.029	0.004	0.003	0.101	0.003	0.039	0.014	0.013	0.112	0.013	0.03	0.004	0.003	0.102	0.003
CPI-SS0E2083FAC	NPY_NPY2R	simple:P01303	simple:P49146	NPY	NPY2R	True	False	True	curated	False	Ligand-Receptor	Signaling by Pro-neuregulin	0.001	0.0	0.0	0.001	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.001	0.0	0.011	0.0	0.0	0.012	0.0	0.002	0.0	0.0	0.002	0.0
CPI-SS0D9BC4188	GNRH2_GNRHR	simple:O43555	simple:P30968	GNRH2	GNRHR	True	False	True	curated	False	Ligand-Receptor	Signaling by Progonadoliberin	0.001	0.0	0.0	0.0	0.003	0.001	0.0	0.0	0.0	0.003	0.084	0.0	0.0	0.0	0.086	0.0	0.0	0.0	0.0	0.002	0.002	0.0	0.0	0.0	0.004
CPI-CS0F0453B03	ProstaglandinE2_byPTGES_PTGER2	complex:ProstaglandinE2_byPTGES	simple:P43116		PTGER2	True	False	True	curated	False	Ligand-Receptor	Signaling by Prostaglandin	0.002	0.003	0.0	0.012	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.01	0.0	0.02	0.0	0.016	0.017	0.0	0.026	0.0	0.002	0.003	0.0	0.013	0.0
CPI-CS023F349AF	ProstaglandinE2_byPTGES_PTGER4	complex:ProstaglandinE2_byPTGES	simple:P35408		PTGER4	True	False	True	curated	False	Ligand-Receptor	Signaling by Prostaglandin	0.002	0.009	0.0	0.021	0.004	0.0	0.0	0.0	0.0	0.0	0.01	0.016	0.0	0.028	0.011	0.016	0.023	0.0	0.035	0.018	0.003	0.009	0.0	0.021	0.005
CPI-SS056D0AD0D	RSPO2_LGR5	simple:Q6UXX9	simple:O75473	RSPO2	LGR5	True	False	True	curated	False	Ligand-Receptor	Signaling by R-spondin	0.001	0.0	0.032	0.025	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.032	0.025	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0C3906934	RSPO3_LGR5	simple:Q9BXY4	simple:O75473	RSPO3	LGR5	True	False	True	curated	False	Ligand-Receptor	Signaling by R-spondin	0.536	0.0	0.568	0.56	0.0	0.012	0.0	0.043	0.036	0.0	0.032	0.0	0.064	0.056	0.0	0.088	0.0	0.119	0.112	0.0	0.255	0.0	0.286	0.279	0.0
CPI-CS08EE9E5CE	atRetinoicAcid_byALDH1A1_RORB	complex:atRetinoicAcid_byALDH1A1	simple:Q92753		RORB	True	False	True	curated	False	Ligand-Receptor	Signaling by Retinoic Acid	0.002	0.005	0.0	0.015	0.008	0.002	0.005	0.0	0.016	0.008	0.621	0.624	0.0	0.635	0.627	0.017	0.02	0.0	0.031	0.023	0.003	0.006	0.0	0.016	0.008
CPI-CS033058D2B	atRetinoicAcid_byALDH1A2_RORB	complex:atRetinoicAcid_byALDH1A2	simple:Q92753		RORB	True	False	True	curated	False	Ligand-Receptor	Signaling by Retinoic Acid	0.005	0.008	0.0	0.019	0.011	0.007	0.01	0.0	0.021	0.013	0.002	0.005	0.0	0.016	0.008	0.245	0.248	0.0	0.259	0.251	0.002	0.005	0.0	0.016	0.008
CPI-CS0C61C245A	atRetinoicAcid_byALDH1A3_RORB	complex:atRetinoicAcid_byALDH1A3	simple:Q92753		RORB	True	False	True	curated	False	Ligand-Receptor	Signaling by Retinoic Acid	0.0	0.003	0.0	0.014	0.006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.005	0.008	0.0	0.019	0.011	0.0	0.0	0.0	0.0	0.0
CPI-SS02CAD3BF8	VIP_SCTR	simple:P01282	simple:P47872	VIP	SCTR	True	False	True	curated	False	Ligand-Receptor	Signaling by Vasoactive Intestinal Peptide	0.0	0.0	0.0	0.001	0.0	0.005	0.0	0.0	0.005	0.0	0.0	0.0	0.0	0.0	0.0	0.012	0.0	0.0	0.012	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0F3A089DE	SEMA3E_PLXND1	simple:O15041	simple:Q9Y4D7	SEMA3E	PLXND1	True	False	True	curated	False	Ligand-Receptor	Signaling by Semaphorin	0.06	0.555	0.017	0.142	0.047	0.06	0.556	0.018	0.143	0.048	0.0	0.0	0.0	0.0	0.0	0.077	0.573	0.035	0.16	0.065	0.062	0.557	0.019	0.144	0.049
CPI-SS0FE594C97	SST_SSTR2	simple:P61278	simple:P30874	SST	SSTR2	True	False	True	curated	False	Ligand-Receptor	Signaling by Somatostatin	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.001	0.036	0.003	0.003	0.0	0.0	0.0	0.0	0.0
